4.43,406,569.6,77.5%,4,2,2,50%,13,7,18
Veigar,2,1,1,3.5,1.5,4,5,8.84,401,575.2
Taliyah,1,1,0,6,0,8,14,9.45,463,652.6
Ahri,1,0,1,0,4,2,0.5,7.85,321,415.7
