5.97,244,204.9,79.6%,71,43,28,60.6%,47,115,640
Nami,13,11,2,0.62,0.85,11.69,14.55,0.41,250,187.1
Yuumi,10,4,6,0.5,1.1,7.7,7.45,0.21,222,262.5
Heimerdinger,6,4,2,1.17,1.83,6.67,4.27,1.03,264,293.6
Lulu,6,4,2,0.83,1.17,10.67,9.86,0.59,244,147.1
Karma,6,3,3,0.83,2.33,8.83,4.14,0.7,237,254.5
