7.06,478,600.4,71.2%,96,68,28,70.8%,443,125,439
Zeri,25,20,5,5,1.16,4.36,8.07,10.82,502,564.3
KaiSa,13,11,2,6.46,1.08,6.08,11.64,10.87,517,732.5
Aphelios,11,8,3,4.82,1.18,4.82,8.15,10.08,482,583.6
Ezreal,10,9,1,3.8,0.6,4.8,14.33,10.07,460,683.7
Varus,10,5,5,4.9,1.8,4,4.94,9.4,448,690.3
