3.3,389,442.8,59.7%,12,6,6,50%,22,27,67
KSante,5,3,2,1.4,1.8,5.2,3.67,8.02,368,348.8
Renekton,4,0,4,1.5,3.25,3.75,1.62,8.77,382,462.2
Jax,3,3,0,3,1.67,8.67,7,8.54,437,572.1
