1.73,365,448.9,53.4%,82,21,61,25.6%,119,230,279
KSante,24,9,15,1.75,2.42,4.13,2.43,8.06,363,396.6
Renekton,16,6,10,1.63,2.5,3.5,2.05,8.68,383,429.4
Jax,8,0,8,1.13,3.13,1.13,0.72,8.17,354,461.1
Sion,6,1,5,0.67,2.33,2.67,1.43,7.34,323,445.4
Poppy,4,2,2,0.75,2,6,3.38,7.61,345,533.6
