3.06,418,555.9,65.1%,51,25,26,49%,158,111,182
Varus,14,9,5,3.93,1.93,4.36,4.3,9.24,430,625.1
Lucian,8,6,2,2.38,1.5,4.13,4.33,9.45,419,612.1
Zeri,7,1,6,2.14,3,2.57,1.57,9.93,405,464.9
Aphelios,5,2,3,3.8,2.4,4,3.25,9.85,442,577.3
Caitlyn,4,2,2,3.5,2.5,2.75,2.5,9.74,423,458.2
