2.16,379,553.5,66.8%,66,16,50,24.2%,154,196,270
Azir,14,6,8,2.36,3,5.43,2.6,8.78,399,667.2
Annie,10,6,4,3.2,2.4,6.9,4.21,7.47,375,577.4
Akali,7,0,7,4.14,4.43,3.14,1.65,7.96,376,520.6
Sylas,5,2,3,1.6,2,4.4,3,8.98,404,375.6
Leblanc,5,1,4,2.4,2.4,3.6,2.5,8.29,362,638.9
