T1,VICTORY,13,11,3,1,2
Maokai,Sejuani,Karma,Jax,Viktor
KT,DEFEAT,2,0,0,0,0
Ashe,Elise,Caitlyn,Jayce,LeeSin
Zeus
Gnar,Teleport,Flash,3364,3078,3053,3051,1037,1033,3047
4/0/3,7.0,243,10.2,11652,9901
Oner
Vi,Smite,Flash,3364,2421,6632,3067,3133,3111
2/1/4,6.0,135,5.7,8929,5229
Faker
Annie,Teleport,Flash,3364,6657,3157,1056,3158
1/0/6,7.0,178,7.5,9677,11094
Gumayusi
Lucian,Dot,Flash,3363,3094,1038,6671,3134,2422,1037
3/1/5,8.0,227,9.5,11620,12360
Keria
Nami,Heal,Flash,3364,3158,3853,3916,4005,3114
3/0/6,9.0,7,0.3,7672,5160
Kiin
Camille,Teleport,Flash,3364,3133,2421,1036,1036,6632,3158
0/3/0,0.0,190,8,7383,4468
Cuzz
MonkeyKing,Smite,Flash,3364,6632,2055,3133,3111
1/3/1,0.7,116,4.9,6329,3853
Bdd
Azir,Flash,Teleport,3364,6653,1056,3108,3191,3111
0/2/2,1.0,186,7.8,7699,14000
Aiming
Zeri,Barrier,Flash,3363,2031,6673,1055,3085,3006,1038
1/2/0,0.5,207,8.7,8963,6475
Lehends
Lulu,Heal,Flash,3364,3158,2065,3853,2055
0/3/1,0.3,14,0.6,4770,2277
|
T1,VICTORY,18,11,4,1,1
Maokai,Sejuani,Karma,Jax,Viktor
KT,DEFEAT,9,1,0,0,1
Ashe,Elise,Caitlyn,Kalista,Jayce
Zeus
KSante,Haste,Teleport,3364,3193,6665,3111
4/0/3,7.0,243,10.2,11652,9901
Oner
Vi,Smite,Flash,3364,2421,6632,6609,1029,3111
2/1/4,6.0,135,5.7,8929,5229
Faker
Annie,Teleport,Flash,3364,3089,2424,3108,3158,1056,6657
1/0/6,7.0,178,7.5,9677,11094
Gumayusi
Draven,Heal,Flash,3363,3072,3508,3031,3006,6673
3/1/5,8.0,227,9.5,11620,12360
Keria
Varus,Barrier,Flash,3364,3142,3864,2055,3009,3134,3179
3/0/6,9.0,7,0.3,7672,5160
Kiin
Gwen,Haste,Teleport,3364,3089,4637,4633,3158
0/3/0,0.0,190,8,7383,4468
Cuzz
MonkeyKing,Smite,Flash,3364,6632,2055,2421,3123,3047,3067
1/3/1,0.7,116,4.9,6329,3853
Bdd
Gragas,Flash,Teleport,3364,6657,3040,3111,3108,1056
0/2/2,1.0,186,7.8,7699,14000
Aiming
Lucian,Boost,Flash,3363,6671,6675,3094,3158
1/2/0,0.5,207,8.7,8963,6475
Lehends
Nami,Heal,Flash,3364,3158,4005,3853,2055,1033
0/3/1,0.3,14,0.6,4770,2277
