HLE,DEFEAT,13,4,2,1,2
Caitlyn,Ashe,Heimerdinger,Ryze,Kassadin
DRX,VICTORY,20,9,4,1,0
Yuumi,Lucian,Zeri,Akali,Sylas
kingen
Sion,Teleport,Flash,3364,6665,2055,3111,4401,3105,1033
1/4/6,1.8,207,5.5,11511,13634
Clid
Elise,Smite,Flash,3364,3152,3157,2055,3108,3135,3020
3/2/4,3.5,197,5.2,13312,23976
Zeka
Yone,Teleport,Flash,3363,3091,3031,3026,6673,3006,1057
5/3/4,3.0,354,9.4,17202,26637
Viper
Draven,Boost,Flash,3363,3095,3508,3036,3094,6692,3006
3/4/4,1.8,359,9.5,18123,25908
Life
RenataGlasc,Dot,Flash,3364,3853,2065,3157,2055,3158,1028
1/7/8,1.3,27,0.7,9158,6803
Rascal
Chogath,Flash,Teleport,3364,3075,3068,3047,3110,6665
1/3/7,2.7,297,7.9,14417,15089
Croco
Maokai,Smite,Flash,3364,2055,1052,4628,6653,4637,3111
6/3/9,5.0,157,4.2,12826,28176
FATE
Azir,Teleport,Flash,3363,3157,4644,3020,3089,3135
5/3/7,4.0,335,8.9,15762,29052
deokdam
Varus,Flash,Heal,3363,3142,3009,3134,6692,3042,6694
8/2/6,7.0,267,7.1,16093,29122
BeryL
Karma,Dot,Flash,3364,3853,2065,2055,3222,3158
0/2/15,7.5,36,1,9083,8311
|
DRX,DEFEAT,4,0,1,0,0
Maokai,Elise,Kassadin,Vi,Sejuani
HLE,VICTORY,17,8,3,1,2
Caitlyn,Ashe,Yuumi,Lulu,KSante
kingen
Renekton,Flash,Teleport,3364,6693,2055,3047,3153
1/4/6,1.8,207,5.5,11511,13634
Clid
MonkeyKing,Smite,Flash,3364,1036,3067,6632,3047
3/2/4,3.5,197,5.2,13312,23976
Zeka
Azir,Teleport,Flash,3363,4630,6653,3020,1082,1056
5/3/4,3.0,354,9.4,17202,26637
Viper
Zeri,Flash,Boost,3363,6673,3006,3086,1042,1042
3/4/4,1.8,359,9.5,18123,25908
Life
Soraka,Heal,Flash,3364,3851,4642,2055,3158,3067
1/7/8,1.3,27,0.7,9158,6803
Rascal
Gnar,Teleport,Flash,3364,3078,1028,3047,3053
1/3/7,2.7,297,7.9,14417,15089
Croco
Viego,Smite,Flash,3364,3047,6632,3066,1031
6/3/9,5.0,157,4.2,12826,28176
FATE
Akali,Teleport,Flash,3364,3152,2421,3020,4645
5/3/7,4.0,335,8.9,15762,29052
deokdam
Varus,Heal,Flash,3363,3142,3133,3070,6692,3009
8/2/6,7.0,267,7.1,16093,29122
BeryL
Heimerdinger,Dot,Flash,3364,3853,1052,2055,1011,3165,3020
0/2/15,7.5,36,1,9083,8311
|
HLE,VICTORY,20,9,1,1,0
Caitlyn,Ashe,Varus,Renekton,Tristana
DRX,DEFEAT,10,7,4,1,2
Yuumi,Lucian,Zeri,Karma,Pyke
kingen
Ornn,Teleport,Flash,3363,7027,3193,3067,3111,3068,1011
1/4/6,1.8,207,5.5,11511,13634
Clid
Elise,Smite,Flash,3364,items/7011,3157,4630,1026,3020
3/2/4,3.5,197,5.2,13312,23976
Zeka
Kassadin,Teleport,Flash,3364,3135,7028,3157,3040,1058,3020
5/3/4,3.0,354,9.4,17202,26637
Viper
Draven,Boost,Flash,3363,3508,3031,items/7001,3094,3072,3006
3/4/4,1.8,359,9.5,18123,25908
Life
Soraka,Heal,Flash,3364,3853,items/7020,4643,3066,2422,3083
1/7/8,1.3,27,0.7,9158,6803
Rascal
Aatrox,Flash,Teleport,3364,6692,3156,3111,6694,3133,1037
1/3/7,2.7,297,7.9,14417,15089
Croco
Maokai,Smite,Flash,3364,2055,8020,6667,4637,3111
6/3/9,5.0,157,4.2,12826,28176
FATE
Jayce,Teleport,Flash,3364,2055,3156,6692,3158,3042,3035
5/3/7,4.0,335,8.9,15762,29052
deokdam
Ezreal,Flash,Heal,3363,3077,6672,3158,3508,3156,6694
8/2/6,7.0,267,7.1,16093,29122
BeryL
Heimerdinger,Dot,Flash,3364,3853,3158,2055,3165,3102
0/2/15,7.5,36,1,9083,8311
