GEN,DEFEAT,6,1,2,0,1
Malphite,Varus,Sejuani,Kennen,Veigar
KT,VICTORY,14,10,3,1,1
Annie,Zeri,KSante,Maokai,MonkeyKing
Doran
Jayce,Teleport,Flash,3363,3035,6630,2055,3042,3133,3158
0/4/3,0.8,281,8.5,11793,14940
Peanut
Viego,Flash,Smite,3364,2421,6632,3047,3071,1038
3/1/2,5.0,230,7,11779,11224
Chovy
Lissandra,Teleport,Flash,3364,6656,3157,4630,3089,3158
1/3/4,1.7,303,9.2,12198,10907
Peyz
Aphelios,Haste,Flash,3363,6671,1018,1037,3006,3036,3072
2/3/2,1.3,301,9.1,13422,23613
Delight
TahmKench,Dot,Flash,3364,3190,3111,3860,2055,3082,1028
0/3/2,0.7,38,1.2,6900,5274
Kiin
Sion,Teleport,Flash,3364,3076,3143,6665,3068,3047
1/2/9,5.0,256,7.7,12633,13409
Cuzz
Vi,Smite,Flash,3364,3047,3026,1057,6632,6609
5/1/7,12.0,227,6.9,13283,9559
Bdd
Ahri,Flash,Teleport,3364,3089,2033,6656,4630,3108,3111
3/1/9,12.0,278,8.4,12710,17200
Aiming
Xayah,Boost,Flash,3363,6671,3072,3094,3006,6675
4/1/8,12.0,327,9.9,15683,17820
Lehends
Rakan,Heal,Flash,3364,3111,2065,3860,3107
1/1/8,9.0,50,1.5,8247,3348
|
GEN,VICTORY,17,9,4,1,1
Sejuani,Varus,Vi,Lissandra,Veigar
KT,DEFEAT,4,2,1,0,1
Annie,Zeri,KSante,Thresh,RenataGlasc
Doran
Ornn,Teleport,Flash,3364,3068,3143,3047,7027
0/4/3,0.8,281,8.5,11793,14940
Peanut
MonkeyKing,Flash,Smite,3364,3111,items/7017,1037,3026,3071
3/1/2,5.0,230,7,11779,11224
Chovy
Ahri,Teleport,Flash,3364,items/7014,3157,3089,1082,3111
1/3/4,1.7,303,9.2,12198,10907
Peyz
Aphelios,Boost,Flash,3363,items/7006,3086,3006,3036,3031
2/3/2,1.3,301,9.1,13422,23613
Delight
TahmKench,Heal,Flash,3364,3190,3107,3860,3111
0/3/2,0.7,38,1.2,6900,5274
Kiin
Malphite,Teleport,Flash,3364,3076,3082,3068,6665,3111
1/2/9,5.0,256,7.7,12633,13409
Cuzz
Viego,Smite,Flash,3364,3047,2055,6632,3071,1036,1033
5/1/7,12.0,227,6.9,13283,9559
Bdd
TwistedFate,Flash,Teleport,3363,6657,2033,3094,3100,3111
3/1/9,12.0,278,8.4,12710,17200
Aiming
Xayah,Boost,Flash,3363,6671,3085,6675,3006,3036
4/1/8,12.0,327,9.9,15683,17820
Lehends
Rakan,Heal,Flash,3364,3111,2065,3860,3067,2055
1/1/8,9.0,50,1.5,8247,3348
|
KT,DEFEAT,7,3,3,0,1
Maokai,Vi,Ahri,Nautilus,Tristana
GEN,VICTORY,12,8,2,2,1
Annie,Zeri,Varus,Veigar,Leblanc
Doran
Renekton,Teleport,Flash,3364,2420,6630,3143,3071,3047
0/4/3,0.8,281,8.5,11793,14940
Peanut
Sejuani,Smite,Flash,3364,6660,6667,2055,3083,3047
3/1/2,5.0,230,7,11779,11224
Chovy
Taliyah,Flash,Teleport,3363,6653,3040,3135,1058,1058,3158
1/3/4,1.7,303,9.2,12198,10907
Peyz
Ezreal,Boost,Flash,3363,6694,3123,6691,3042,3508,3158
2/3/2,1.3,301,9.1,13422,23613
Delight
Karma,Dot,Flash,3364,3158,2065,3853,2055,1057,3114
0/3/2,0.7,38,1.2,6900,5274
Kiin
Gnar,Teleport,Flash,3364,1057,3078,2055,3742,3047,3071
1/2/9,5.0,256,7.7,12633,13409
Cuzz
Elise,Flash,Smite,3364,3152,3102,3135,2423,3020,1082
5/1/7,12.0,227,6.9,13283,9559
Bdd
KSante,Teleport,Flash,3364,6665,3193,3068,3075,3111
3/1/9,12.0,278,8.4,12710,17200
Aiming
Aphelios,Boost,Flash,3363,6671,3006,3036,3072,3031
4/1/8,12.0,327,9.9,15683,17820
Lehends
Thresh,Dot,Flash,3364,2065,3222,3857,2055,3158
1/1/8,9.0,50,1.5,8247,3348
|
KT,DEFEAT,6,4,0,0,2
Ahri,KSante,Aphelios,Leblanc,Sylas
GEN,VICTORY,14,9,4,1,0
Annie,Zeri,Sejuani,Veigar,Kennen
Doran
Jax,Teleport,Flash,3340,1033,3157,3803,6632,3111
0/4/3,0.8,281,8.5,11793,14940
Peanut
Vi,Smite,Flash,3364,3071,2055,6632,1011,3082,3111
3/1/2,5.0,230,7,11779,11224
Chovy
TwistedFate,Flash,Teleport,3364,3094,2033,3100,6657,3111
1/3/4,1.7,303,9.2,12198,10907
Peyz
Varus,Boost,Flash,3363,3042,6691,3142,3123,3158
2/3/2,1.3,301,9.1,13422,23613
Delight
Nautilus,Dot,Flash,3364,3111,3001,3860,2055,1029
0/3/2,0.7,38,1.2,6900,5274
Kiin
Gragas,Teleport,Flash,3364,3165,2421,3191,3158,6657,3108
1/2/9,5.0,256,7.7,12633,13409
Cuzz
MonkeyKing,Flash,Smite,3364,3071,6632,1036,3111
5/1/7,12.0,227,6.9,13283,9559
Bdd
Lissandra,Teleport,Flash,3364,6656,3157,1058,1082,3158,3135
3/1/9,12.0,278,8.4,12710,17200
Aiming
Xayah,Boost,Flash,3363,6671,1055,1018,3006,1038,6675
4/1/8,12.0,327,9.9,15683,17820
Lehends
Rakan,Dot,Flash,3364,2065,3107,3860,2055,3111
1/1/8,9.0,50,1.5,8247,3348
