KDF,DEFEAT,11,3,3,0,2
Vi,Elise,Ashe,Kassadin,Azir
DRX,VICTORY,14,8,3,1,0
Yuumi,Lucian,Maokai,Heimerdinger,Ryze
DuDu
Gwen,Dot,Teleport,3364,3157,3089,4633,1082,3158,3135
0/4/4,1.0,396,9.3,15482,29604
YoungJae
MonkeyKing,Flash,Smite,3364,3156,6632,3111,2055,3071,1033
4/2/4,4.0,213,5,13184,16269
Bulldog
Viktor,Haste,Flash,3363,2421,3108,3158,3089,6657,3040
2/2/4,3.0,345,8.1,14398,35224
Taeyoon
Varus,Flash,Teleport,3363,3142,6695,6694,3042,6692,3009
5/2/0,2.5,379,8.9,16941,32292
Moham
Karma,Flash,Heal,3364,3853,2065,3222,2055,3158
0/4/6,1.5,30,0.7,8840,9451
Rascal
KSante,Haste,Teleport,3364,3193,3075,3068,6665,3111,3067
4/0/5,9.0,349,8.2,16943,20036
Croco
Sejuani,Smite,Flash,3364,3803,3211,3083,6667,3111
0/2/8,4.0,220,5.2,12189,11266
FATE
Akali,Teleport,Flash,3364,3157,3152,1052,3020,3089,4645
5/3/2,2.3,322,7.6,16294,24584
deokdam
Sivir,Flash,Heal,3363,3155,3036,6672,3006,3046,6675
4/1/5,9.0,428,10.1,19011,33468
BeryL
Caitlyn,Barrier,Flash,3364,3864,3179,6692,3035,3158
1/5/8,1.8,76,1.8,11108,13010
|
KDF,DEFEAT,4,3,0,0,1
Vi,Elise,Kassadin,Ryze,Azir
DRX,VICTORY,20,10,3,1,1
Yuumi,Nami,Maokai,Jax,Fiora
DuDu
Renekton,Teleport,Flash,3364,3133,3047,6630,1031,3071,1037
0/4/4,1.0,396,9.3,15482,29604
YoungJae
Sejuani,Flash,Smite,3364,6667,3068,1029,2055,3047
4/2/4,4.0,213,5,13184,16269
Bulldog
Viktor,Haste,Flash,3363,2421,1058,1058,6657,3040,3158
2/2/4,3.0,345,8.1,14398,35224
Taeyoon
Ashe,Flash,Boost,3363,2055,1036,3070,4005,3074,3158
5/2/0,2.5,379,8.9,16941,32292
Moham
Karma,Flash,Heal,3364,3853,2065,2031,2055,3158
0/4/6,1.5,30,0.7,8840,9451
Rascal
KSante,Haste,Teleport,3364,3111,3068,3105,6662,1033
4/0/5,9.0,349,8.2,16943,20036
Croco
MonkeyKing,Smite,Flash,3364,2421,1031,3071,6632,3111
0/2/8,4.0,220,5.2,12189,11266
FATE
Sylas,Teleport,Flash,3364,2421,1058,4645,3111,6657,3041
5/3/2,2.3,322,7.6,16294,24584
deokdam
Varus,Flash,Heal,3363,2421,3142,3042,6692,3009
4/1/5,9.0,428,10.1,19011,33468
BeryL
Caitlyn,Barrier,Flash,3364,3864,3158,2055,3179,6691,1036
1/5/8,1.8,76,1.8,11108,13010
