KT,6,3,1,0,1
Ashe,Vi,Renekton,Kassadin,Akali
NS,13,8,3,0,1
Maokai,Caitlyn,Ryze,Gnar,Fiora
Kiin
Urgot,Teleport,Flash,3364,6665,2421,2055,3071,3074,3047
3/4/3,1.5,310,9.6,13217k,17709
Cuzz
Sejuani,Smite,Flash,3364,3047,2055,3075,1057,6667
0/2/5,2.5,168,5.2,9127k,5711
Bdd
Syndra,Flash,Teleport,3363,6653,2031,2055,3020,3040,4645
1/2/5,3.0,267,8.3,11558k,18889
Aiming
Lucian,Teleport,Flash,3363,6671,3094,3036,2422,3031
1/2/4,2.5,341,10.6,13410k,15919
Lehends
Nami,Heal,Flash,3364,4005,3158,3853,2055,3114,1057
1/3/4,1.7,12,0.4,6740k,4034
DnDn
KSante,Teleport,Flash,3364,6662,3143,2055,3047,1033,3075
1/1/7,8.0,263,8.2,11588k,9634
Sylvie
MonkeyKing,Smite,Flash,3364,6632,3071,2055,1031,3111
1/2/8,4.5,175,5.4,10680k,10203
FIESTA
Sylas,Teleport,Flash,3364,3157,3111,4645,3108,6657
3/2/5,4.0,288,8.9,12698k,8206
Vital
Zeri,Barrier,Flash,3363,6675,3085,1038,6673,3006,3036
8/1/3,11.0,391,12.1,16604k,22209
Peter
Yuumi,Heal,Exhaust,3364,3853,3222,6617
0/0/11,11.0,11,0.3,7078k,4608
|
KT,15,10,5,1,2
Ashe,Vi,Renekton,Syndra,Sylas
NS,8,0,0,0,0
Maokai,Caitlyn,Ryze,Gnar,Fiora
Kiin
Jax,Teleport,Flash,3340,3161,1057,2055,6333,6632,3158
3/4/3,1.5,310,9.6,13217k,17709
Cuzz
Sejuani,Smite,Flash,3364,6667,3047,3143,1028,3075,2055
0/2/5,2.5,168,5.2,9127k,5711
Bdd
Yone,Flash,Teleport,3364,3051,3026,3031,3086,6673,3006
1/2/5,3.0,267,8.3,11558k,18889
Aiming
Zeri,Boost,Flash,3363,3085,3026,6675,3006,6673,3036
1/2/4,2.5,341,10.6,13410k,15919
Lehends
Lulu,Heal,Flash,3364,3158,2065,3853,3011
1/3/4,1.7,12,0.4,6740k,4034
DnDn
KSante,Teleport,Flash,3363,6662,3143,2055,3047,1057,3075
1/1/7,8.0,263,8.2,11588k,9634
Sylvie
MonkeyKing,Smite,Flash,3364,6632,3071,2055,3047,1011
1/2/8,4.5,175,5.4,10680k,10203
FIESTA
Kassadin,Teleport,Flash,3364,3157,6657,3047,3040
3/2/5,4.0,288,8.9,12698k,8206
Vital
Sivir,Haste,Flash,3363,6672,3006,1018,3036,3133,3046
8/1/3,11.0,391,12.1,16604k,22209
Peter
Yuumi,Exhaust,Dot,3364,3853,6617,3222,2055
0/0/11,11.0,11,0.3,7078k,4608
|
KT,12,10,3,1,2
Ashe,Vi,Yuumi,Wukong,KSante
NS,2,1,1,0,0
Maokai,Caitlyn,Lucian,Gnar,Elise
Kiin
Renekton,Teleport,Flash,3364,2421,6630,4401,6333,3047
3/4/3,1.5,310,9.6,13217k,17709
Cuzz
Zac,Smite,Flash,3364,6667,1028,3111,3065,1006
0/2/5,2.5,168,5.2,9127k,5711
Bdd
Ryze,Flash,Teleport,3364,3040,2421,1058,6657,3102,3111
1/2/5,3.0,267,8.3,11558k,18889
Aiming
Ezreal,Boost,Flash,3363,3155,1036,3042,3508,6694,3158
1/2/4,2.5,341,10.6,13410k,15919
Lehends
Karma,Dot,Flash,3364,1057,2065,3853,2421,3158
1/3/4,1.7,12,0.4,6740k,4034
DnDn
Jax,Teleport,Flash,3340,3158,3157,2055,3067,6632,3133
1/1/7,8.0,263,8.2,11588k,9634
Sylvie
Sejuani,Smite,Flash,3364,3111,6667,3075
1/2/8,4.5,175,5.4,10680k,10203
FIESTA
Syndra,Teleport,Flash,3363,3040,2055,4630,6653,3020,3916
3/2/5,4.0,288,8.9,12698k,8206
Vital
Varus,Heal,Flash,3363,3042,6692,3142,3009,1036,1036
8/1/3,11.0,391,12.1,16604k,22209
Peter
Heimerdinger,Flash,Dot,3364,3853,3116,3111,3916
0/0/11,11.0,11,0.3,7078k,4608
|
