HLE,14,11,2,2,1
KSante,Yuumi,Annie,Lucian,TahmKench
T1,7,7,4,1,1
Neeko,Milio,Zeri,Gragas,Nautilus
kingen
Sion,Teleport,Flash,3364,6667,3110,3075,1011,3068,3047
0/1/10,10.0,337,7.6,15267k,14096
Clid
Vi,Smite,Flash,3364,3047,3110,3071,6632,3026
5/3/5,3.3,240,5.4,15731k,11865
Zeka
Ahri,Teleport,Flash,3364,3135,6656,3157,3158,3089,4628
4/0/8,12.0,425,9.6,19989k,26114
Viper
Aphelios,Boost,Flash,3363,6671,3026,3095,3072,3036,3006
5/2/6,5.5,488,11.1,21236k,43620
Life
Lulu,Heal,Flash,3364,3853,2065,2055,2421,3158,3504
0/1/12,12.0,20,0.5,9866k,3785
Zeus
Jax,Teleport,Flash,3340,3157,3105,3071,6632,3091,3047
0/4/6,1.5,395,9,16821k,16659
Oner
Maokai,Smite,Flash,3364,3143,2055,6667,4637,3067,3158
1/4/6,1.8,220,5,12637k,19444
Faker
Jayce,Teleport,Flash,3363,3142,3161,3026,3042,3158,6694
3/2/3,3.0,421,9.5,19156k,30425
Gumayusi
Jhin,Boost,Flash,3363,3072,3026,6671,3095,3009,3036
2/0/4,6.0,449,10.2,19148k,17265
Keria
Rakan,Heal,Flash,3364,2065,3860,2055,3109,3111,3916
1/4/6,1.8,63,1.4,9911k,2592
|
T1,8,10,4,1,2
Vi,Blitzcrank,Lulu,Malphite,Wukong
HLE,3,1,0,0,0
Neeko,Maokai,Annie,Gnar,Ahri
kingen
Jax,Teleport,Flash,3340,6632,3071,1036,1054,3111
0/1/10,10.0,337,7.6,15267k,14096
Clid
Sejuani,Smite,Flash,3364,3111,3068,6667,3067,1033
5/3/5,3.3,240,5.4,15731k,11865
Zeka
KSante,Teleport,Flash,3364,3067,3111,3193,1028,1054,6665
4/0/8,12.0,425,9.6,19989k,26114
Viper
Aphelios,Haste,Flash,3363,3095,3036,6671,3006
5/2/6,5.5,488,11.1,21236k,43620
Life
Milio,Exhaust,Flash,3364,2065,3853,1001,3504
0/1/12,12.0,20,0.5,9866k,3785
Zeus
Sion,Teleport,Flash,3363,1011,3105,3047,3076,3068,2031
0/4/6,1.5,395,9,16821k,16659
Oner
Viego,Smite,Flash,3364,3047,2055,3133,1036,6632,3067
1/4/6,1.8,220,5,12637k,19444
Faker
Gragas,Teleport,Flash,3363,2055,6656,2421,3191,3158,3108
3/2/3,3.0,421,9.5,19156k,30425
Gumayusi
Zeri,Boost,Flash,3363,2055,3085,3095,3133,1037,3006
2/0/4,6.0,449,10.2,19148k,17265
Keria
Yuumi,Heal,Exhaust,3364,3853,2055,2420,3504,3067
1/4/6,1.8,63,1.4,9911k,2592
|
T1,8,8,3,1,2
Vi,Blitzcrank,Lulu,Malphite,Wukong
HLE,4,1,1,0,0
Neeko,Annie,KSante,Gnar,Sejuani
kingen
Sion,Teleport,Flash,3364,6667,3068,1033,1029,3047
0/1/10,10.0,337,7.6,15267k,14096
Clid
KhaZix,Smite,Flash,3364,3158,3179,3814,6691
5/3/5,3.3,240,5.4,15731k,11865
Zeka
Ahri,Teleport,Flash,3364,6656,1058,1058,3102,3158,1082
4/0/8,12.0,425,9.6,19989k,26114
Viper
Aphelios,Haste,Flash,3363,3095,1053,6671,3036,3006
5/2/6,5.5,488,11.1,21236k,43620
Life
Milio,Exhaust,Flash,3364,2065,3853,3158,3504
0/1/12,12.0,20,0.5,9866k,3785
Zeus
Ornn,Teleport,Flash,3363,1011,2055,7027,1011,3047,3068
0/4/6,1.5,395,9,16821k,16659
Oner
Viego,Smite,Flash,3364,2055,3047,6632,3071
1/4/6,1.8,220,5,12637k,19444
Faker
Gragas,Teleport,Flash,3364,2055,items/7014,3157,3158,3916
3/2/3,3.0,421,9.5,19156k,30425
Gumayusi
Zeri,Boost,Flash,3363,items/7018,3072,3085,3006
2/0/4,6.0,449,10.2,19148k,17265
Keria
Yuumi,Heal,Exhaust,3364,3853,4642,3067,3504
1/4/6,1.8,63,1.4,9911k,2592
|
