DK,DEFEAT,5,3,0,0,0
Veigar,Vi,Draven,Yone,KSante
HLE,VICTORY,17,10,5,2,2
Annie,Caitlyn,Lucian,Nidalee,Leblanc
Canna
Jayce,Teleport,Flash,3363,1036,6692,3042,6694,3134,2422
1/1/1,2.0,318,10.4,12860,14754
Canyon
MonkeyKing,Smite,Flash,3363,2055,1036,6632,3071,3111
2/4/1,0.8,161,5.3,9792,6942
ShowMaker
Taliyah,Teleport,Flash,3363,6653,2423,4630,3020,3040,1026
0/4/3,0.8,284,9.3,10771,11050
Deft
Varus,Flash,Boost,3363,2420,3142,3158,6692,3042
2/4/2,1.0,275,9,11884,12885
Kellin
Karma,Dot,Flash,3364,3853,2065,2055,3158,3916
0/4/4,1.0,15,0.5,6602,5074
kingen
Gragas,Teleport,Flash,3364,3040,3157,6657,3158
1/0/7,8.0,279,9.1,12401,11791
Clid
Sejuani,Smite,Flash,3364,3047,6667,6660,3083
0/1/10,10.0,196,6.4,11416,7523
Zeka
Tristana,Teleport,Flash,3364,1038,6672,2421,3006,3072,6675
4/2/6,5.0,358,11.7,17044,13455
Viper
Zeri,Boost,Flash,3363,2421,6673,3085,6675,3006
9/0/4,13.0,277,9.1,15423,15057
Life
Rakan,Dot,Flash,3364,3860,2065,2055,3114,3111,3916
3/2/13,8.0,40,1.3,9535,4712
|
DK,VICTORY,6,11,4,1,2
Veigar,Vi,Rakan,Ahri,Leblanc
HLE,DEFEAT,2,0,0,0,0
Annie,Caitlyn,Varus,Sejuani,Maokai
Canna
Renekton,Teleport,Flash,3364,2055,6630,3026,3071,3047,1036
1/1/1,2.0,318,10.4,12860,14754
Canyon
Elise,Smite,Flash,3364,2055,3157,3145,4636,3020
2/4/1,0.8,161,5.3,9792,6942
ShowMaker
Jayce,Teleport,Flash,3363,6695,2055,2421,3158,3042,6692
0/4/3,0.8,284,9.3,10771,11050
Deft
Lucian,Flash,Dot,3363,2420,6671,3158,1055,3035,6675
2/4/2,1.0,275,9,11884,12885
Kellin
Sona,Heal,Flash,3364,3853,2065,3070,3158,3916
0/4/4,1.0,15,0.5,6602,5074
kingen
KSante,Teleport,Flash,3364,6665,1033,3105,3075,2055,3111
1/0/7,8.0,279,9.1,12401,11791
Clid
MonkeyKing,Smite,Flash,3364,2055,3067,1036,3047,3133,6632
0/1/10,10.0,196,6.4,11416,7523
Zeka
Taliyah,Teleport,Flash,3363,3040,2055,2423,4644,3158,4645
4/2/6,5.0,358,11.7,17044,13455
Viper
Draven,Boost,Flash,3363,2031,2055,1037,3072,3508,3047
9/0/4,13.0,277,9.1,15423,15057
Life
Nami,Heal,Flash,3364,3853,2055,1001,4005,3916,1004
3/2/13,8.0,40,1.3,9535,4712
|
HLE,VICTORY,10,7,1,1,1
Caitlyn,Elise,Aphelios,Renekton,Kennen
DK,DEFEAT,11,5,3,1,0
Annie,Varus,Vi,Tristana,Jayce
Canna
Gnar,Teleport,Flash,3364,3091,2055,3071,3111,3078,1028
1/1/1,2.0,318,10.4,12860,14754
Canyon
Maokai,Smite,Flash,3364,6667,2055,3024,3082,6660,3111
2/4/1,0.8,161,5.3,9792,6942
ShowMaker
Yone,Teleport,Flash,3363,3031,3072,3006,6673
0/4/3,0.8,284,9.3,10771,11050
Deft
Lucian,Boost,Flash,3363,6671,1018,3094,6675,3158
2/4/2,1.0,275,9,11884,12885
Kellin
Nami,Heal,Flash,3364,3853,3916,4005,3158
0/4/4,1.0,15,0.5,6602,5074
kingen
KSante,Teleport,Haste,3364,1029,3193,3068,3047,6662
1/0/7,8.0,279,9.1,12401,11791
Clid
Sejuani,Smite,Flash,3364,1028,2421,1028,6667,3068,3111
0/1/10,10.0,196,6.4,11416,7523
Zeka
Taliyah,Teleport,Flash,3363,1026,3157,4630,3158,3040,6653
4/2/6,5.0,358,11.7,17044,13455
Viper
Zeri,Flash,Barrier,3363,6675,3086,3072,3006,6673
9/0/4,13.0,277,9.1,15423,15057
Life
Lulu,Heal,Flash,3364,3853,2065,2055,3158,1057,3114
3/2/13,8.0,40,1.3,9535,4712
|
DK,DEFEAT,6,0,4,0,1
Veigar,Vi,Rakan,Yone,Tristana
HLE,VICTORY,17,7,0,1,1
Annie,Caitlyn,Lucian,Elise,Renekton
Canna
Jayce,Teleport,Flash,3363,6692,3042,6695,2422
1/1/1,2.0,318,10.4,12860,14754
Canyon
MonkeyKing,Smite,Flash,3364,2055,2421,1031,3071,6632,3111
2/4/1,0.8,161,5.3,9792,6942
ShowMaker
Taliyah,Teleport,Flash,3363,6653,2423,3191,3158,3040,3108
0/4/3,0.8,284,9.3,10771,11050
Deft
Varus,Flash,Boost,3363,2421,3047,3124,6673,3085
2/4/2,1.0,275,9,11884,12885
Kellin
Heimerdinger,Exhaust,Flash,3364,3853,3116,2055,3158,3916
0/4/4,1.0,15,0.5,6602,5074
kingen
Gragas,Teleport,Flash,3364,3089,6657,3040,1052,3158
1/0/7,8.0,279,9.1,12401,11791
Clid
Sejuani,Smite,Flash,3364,3111,3001,2055,3083,6660,1029
0/1/10,10.0,196,6.4,11416,7523
Zeka
Yasuo,Teleport,Flash,3363,3031,2421,2055,3072,6673,3006
4/2/6,5.0,358,11.7,17044,13455
Viper
Zeri,Boost,Flash,3363,2421,6673,6675,3085,3006
9/0/4,13.0,277,9.1,15423,15057
Life
Lulu,Heal,Flash,3364,3860,2065,2421,3916,1001
3/2/13,8.0,40,1.3,9535,4712
