T1,12,11,4,1,2
Maokai,Kassadin,Zeri,KSante,Akali
BRO,9,2,1,0,0
Caitlyn,Jayce,Elise,Jax,Fiora
Zeus
Gnar,Teleport,Flash,3364,3078,3053,6609,3105,1057,3047
5/2/3,4.0,322,9.8,15716k,28299
Oner
Sejuani,Smite,Flash,3364,8001,2421,6667,3076,1011,3111
1/2/9,5.0,172,5.2,11322k,11148
Faker
Viktor,Teleport,Flash,3364,3089,1082,2055,6655,3135,3158
2/3/4,2.0,282,8.6,12734k,20385
Gumayusi
Sivir,Heal,Flash,3363,6672,6675,3094,3036,3006
2/1/6,8.0,404,12.3,16133k,19687
Keria
Ashe,Barrier,Flash,3364,4005,3864,2055,6609,3158
2/1/5,7.0,32,1,9072k,9046
Morgan
Renekton,Teleport,Flash,3364,6630,2055,6333,3065,3047
1/2/2,1.5,310,9.4,11836k,10503
UmTi
MonkeyKing,Smite,Flash,3364,2421,2055,3111,3071,6632
3/3/4,2.3,194,5.9,10802k,17286
Karis
Azir,Flash,Teleport,3364,6653,2421,3089,3111,3135,3041
3/1/3,6.0,370,11.2,14947k,14598
Hena
Varus,Boost,Flash,3363,6673,3124,3006,3091,1042,1018
1/3/3,1.3,299,9.1,12399k,10931
Effort
Karma,Flash,Heal,3364,3853,2031,3222,2055,3114,3158
1/3/3,1.3,33,1,6982k,3720
|
BRO,9,2,1,0,1
Ashe,Caitlyn,Kassadin,Jayce,KSante
T1,18,10,4,1,0
Maokai,Elise,Sylas,Renekton,Gnar
Zeus
Jax,Teleport,Flash,3340,3082,2055,6632,4401,3111
5/2/3,4.0,322,9.8,15716k,28299
Oner
MonkeyKing,Smite,Flash,3364,3111,2055,3155,3071,6632
1/2/9,5.0,172,5.2,11322k,11148
Faker
Akali,Flash,Teleport,3364,3152,4645,1058,3111,1058
2/3/4,2.0,282,8.6,12734k,20385
Gumayusi
Lucian,Dot,Flash,3363,3508,6675,1042,6672,3047,1018
2/1/6,8.0,404,12.3,16133k,19687
Keria
Sona,Flash,Heal,3364,3853,2065,2055,3067,3070,3158
2/1/5,7.0,32,1,9072k,9046
Morgan
Gragas,Teleport,Flash,3364,3040,6656,3135,3158
1/2/2,1.5,310,9.4,11836k,10503
UmTi
Vi,Smite,Flash,3364,2421,2055,6667,1029,6609,3047
3/3/4,2.3,194,5.9,10802k,17286
Karis
Azir,Teleport,Flash,3363,3108,4645,3070,6655,3020,3135
3/1/3,6.0,370,11.2,14947k,14598
Hena
Zeri,Haste,Flash,3363,6675,3085,3072,6673,1018,3006
1/3/3,1.3,299,9.1,12399k,10931
Effort
Nami,Heal,Flash,3364,6616,3853,3158,4005,3916
1/3/3,1.3,33,1,6982k,3720
|
