DK,VICTORY,12,9,3,1,1
KSante,Varus,Rakan,Samira,Draven
NS,DEFEAT,0,3,0,0,1
Caitlyn,Lucian,Annie,Renekton,Leblanc
Canna
Sion,Teleport,Flash,3364,6665,3068,3047,3076,1029
0/0/4,4.0,214,8.9,9878,8462
Canyon
LeeSin,Smite,Flash,3340,2055,6630,3053,2422
4/0/6,10.0,142,5.9,8918,6936
ShowMaker
Veigar,Teleport,Flash,3364,6657,2423,3158,3040,1058
3/0/4,7.0,280,11.6,11232,9936
Deft
Ashe,Flash,Heal,3363,2420,3006,6672,1055,3031
3/0/8,11.0,225,9.3,11032,10730
Kellin
Heimerdinger,Dot,Flash,3364,3853,3116,3158,3916
2/0/8,10.0,25,1,7255,4931
DnDn
Fiora,Teleport,Haste,3364,3074,6632,3158,3133,2055
0/1/0,0.0,227,9.4,9495,8315
Sylvie
Elise,Smite,Flash,3364,2421,3152,2055,3020
0/2/0,0.0,115,4.8,6549,3281
FIESTA
Jayce,Teleport,Flash,3363,1036,1036,6692,3042,3158,1055
0/4/0,0.0,243,10.1,9226,9070
Vital
Aphelios,Boost,Flash,3363,1018,6671,3035,3006
0/2/0,0.0,195,8.1,7905,3522
Peter
Nautilus,Flash,Dot,3364,3860,3190,3009,2055
0/3/0,0.0,30,1.2,5204,354
|
NS,DEFEAT,8,0,0,0,0
Ashe,Lucian,Caitlyn,Leblanc,Jayce
DK,VICTORY,23,9,4,1,2
Annie,KSante,Elise,MonkeyKing,Ahri
Canna
Darius,Haste,Flash,3364,6631,3742,2055,3111,1028,1036
0/0/4,4.0,214,8.9,9878,8462
Canyon
Vi,Smite,Flash,3364,6632,3067,2055,3133,3047
4/0/6,10.0,142,5.9,8918,6936
ShowMaker
Gragas,Teleport,Flash,3364,6657,6660,3158,3070,1031,3076
3/0/4,7.0,280,11.6,11232,9936
Deft
Zeri,Boost,Flash,3363,1055,2031,1018,3046,3006,6673
3/0/8,11.0,225,9.3,11032,10730
Kellin
Lulu,Flash,Heal,3364,3860,2065,3158,2055
2/0/8,10.0,25,1,7255,4931
DnDn
Kennen,Teleport,Flash,3364,2420,3152,2055,3135,4645,3020
0/1/0,0.0,227,9.4,9495,8315
Sylvie
LeeSin,Smite,Flash,3340,6630,2421,1031,3071,3047
0/2/0,0.0,115,4.8,6549,3281
FIESTA
Renekton,Teleport,Flash,3364,3742,6630,2420,3111,3066,1057
0/4/0,0.0,243,10.1,9226,9070
Vital
Varus,Flash,Heal,3363,2421,2055,6673,3006,3046,3124
0/2/0,0.0,195,8.1,7905,3522
Peter
Karma,Dot,Flash,3364,3853,2065,2055,2421,3916,3158
0/3/0,0.0,30,1.2,5204,354
