T1,DEFEAT,16,4,4,0,1
Vi,Jayce,Akali,Ornn,Gnar
HLE,VICTORY,18,9,2,2,1
Annie,Ashe,Caitlyn,Jax,Gragas
Zeus
Renekton,Teleport,Flash,3364,3026,6693,3071,1037,3155,3047
4/3/3,2.3,293,7.2,14233,16726
Oner
LeeSin,Smite,Flash,3340,2055,6630,3071,3026,3155,3047
4/4/6,2.5,223,5.5,13507,8797
Faker
Azir,Teleport,Flash,3364,3089,6655,2421,4645,3158
3/4/8,2.8,294,7.2,13785,36271
Gumayusi
Lucian,Dot,Flash,3363,3508,3094,6671,3006,3036,3031
5/3/6,3.7,404,9.9,17927,26259
Keria
Sona,Heal,Flash,3364,2065,3853,4643,3070,3158,3916
0/4/13,3.2,23,0.6,8880,9529
kingen
KSante,Teleport,Flash,3364,6665,3193,8001,3047,2055,3068
3/3/8,3.7,311,7.7,16177,18412
Clid
MonkeyKing,Smite,Flash,3364,3053,3071,3047,6632,3026
5/5/6,2.2,204,5,15077,15286
Zeka
Taliyah,Teleport,Flash,3363,6655,4630,3157,3040,3089,3158
5/3/10,5.0,348,8.6,18013,31418
Viper
Draven,Barrier,Flash,3363,3086,3139,3031,3072,6673,3047
4/4/8,3.0,383,9.4,19118,30287
Life
Nami,Heal,Flash,3364,3853,4643,2421,4005,3916,3158
1/1/16,17.0,13,0.3,10505,8911
|
T1,VICTORY,22,8,5,1,2
Jayce,Karma,Draven,Taliyah,Ornn
HLE,DEFEAT,9,2,0,1,0
Annie,Caitlyn,Ashe,Azir,Leblanc
Zeus
KSante,Haste,Teleport,3364,3193,6665,3068,2055,3082,3047
4/3/3,2.3,293,7.2,14233,16726
Oner
LeeSin,Smite,Flash,3340,3026,6630,3071,3111
4/4/6,2.5,223,5.5,13507,8797
Faker
Ahri,Teleport,Flash,3364,6656,3157,3089,3158,4628
3/4/8,2.8,294,7.2,13785,36271
Gumayusi
Lucian,Boost,Flash,3363,3134,3031,6671,3094,3158,3035
5/3/6,3.7,404,9.9,17927,26259
Keria
Nami,Heal,Flash,3364,4005,3853,3158,3011
0/4/13,3.2,23,0.6,8880,9529
kingen
Gragas,Teleport,Flash,3364,6665,3076,1011,2055,3068,3158
3/3/8,3.7,311,7.7,16177,18412
Clid
MonkeyKing,Smite,Flash,3364,2421,2055,3044,3047,6632,3071
5/5/6,2.2,204,5,15077,15286
Zeka
Akali,Teleport,Flash,3364,4645,3152,3157,3020
5/3/10,5.0,348,8.6,18013,31418
Viper
Xayah,Heal,Flash,3363,6671,3035,1018,3094,6675,3006
4/4/8,3.0,383,9.4,19118,30287
Life
Rakan,Dot,Flash,3364,3860,2065,2055,2421,3916,3117
1/1/16,17.0,13,0.3,10505,8911
|
T1,VICTORY,14,8,3,0,1
Jayce,Draven,Rakan,Taliyah,Akali
HLE,DEFEAT,4,2,0,0,1
Annie,Caitlyn,Ashe,MonkeyKing,LeeSin
Zeus
Gnar,Teleport,Flash,3363,3078,3071,3047
4/3/3,2.3,293,7.2,14233,16726
Oner
Nocturne,Smite,Flash,3364,2421,6631,3133,3067,3158
4/4/6,2.5,223,5.5,13507,8797
Faker
Azir,Teleport,Flash,3363,2033,6655,2055,1082,3020,4645
3/4/8,2.8,294,7.2,13785,36271
Gumayusi
Lucian,Dot,Flash,3363,3134,6671,1018,2422,3094
5/3/6,3.7,404,9.9,17927,26259
Keria
Nami,Heal,Flash,3364,3158,3853,4005
0/4/13,3.2,23,0.6,8880,9529
kingen
KSante,Teleport,Haste,3364,3193,3047,6665
3/3/8,3.7,311,7.7,16177,18412
Clid
Vi,Smite,Flash,3364,2055,3082,6632,1011,3047
5/5/6,2.2,204,5,15077,15286
Zeka
Viktor,Teleport,Flash,3363,1056,2031,1052,3020,6655,3145
5/3/10,5.0,348,8.6,18013,31418
Viper
Zeri,Barrier,Flash,3363,1055,1037,6673,3133,1018,3006
4/4/8,3.0,383,9.4,19118,30287
Life
Lulu,Heal,Flash,3364,3851,2065,2055,2422,1052
1/1/16,17.0,13,0.3,10505,8911
