NS,VICTORY,11,9,3,1,1
Yuumi,Maokai,Leblanc,Jax,Lulu
DRX,DEFEAT,4,0,1,0,1
Neeko,Milio,KSante,Heimerdinger,Leona
DnDn
Renekton,Teleport,Flash,3363,6630,3143,1011,3047,3076
1/1/5,6.0,260,9.1,11131,17287
Sylvie
Poppy,Smite,Flash,3364,3068,3067,3158,3001
0/1/4,4.0,166,5.8,9033,1448
FIESTA
Azir,Teleport,Flash,3363,2421,3135,3020,6653,1082,3115
4/1/6,10.0,283,9.9,13906,19823
Jiwoo
Varus,Flash,Boost,3363,3087,2421,3006,3091,3124
6/0/4,10.0,338,11.9,15259,14863
Peter
Nautilus,Flash,Dot,3364,3860,3001,3111,1028,1029
0/1/6,6.0,35,1.2,6779,2173
Rascal
Volibear,Flash,Teleport,3364,6632,4401,3076,3047,1056,1028
0/3/2,0.7,255,9,9779,20677
Juhan
Sejuani,Smite,Flash,3364,2055,6667,1028,3111,1057,6660
0/2/4,2.0,139,4.9,7659,3489
FATE
Tristana,Teleport,Flash,3363,2055,3072,6675,1001,6672,1055
4/2/0,2.0,243,8.5,11447,10215
Paduck
Zeri,Flash,Haste,3363,3078,2055,3085,3006,3077,1011
0/3/4,1.3,290,10.2,10929,6223
BeryL
Rakan,Heal,Flash,3364,3860,3001,3111,1028
0/1/4,4.0,37,1.3,5769,1207
|
DRX,VICTORY,16,8,2,2,2
KSante,Poppy,Neeko,Gragas,Heimerdinger
NS,DEFEAT,10,2,3,0,0
Milio,Yuumi,Vi,Draven,Leona
DnDn
Renekton,Flash,Teleport,3364,6630,4401,1031,3047,2421,3071
1/1/5,6.0,260,9.1,11131,17287
Sylvie
Sejuani,Smite,Flash,3364,2055,6660,6667,3109,3047,1057
0/1/4,4.0,166,5.8,9033,1448
FIESTA
Leblanc,Teleport,Flash,3364,1058,4636,3135,3020,1082,3087
4/1/6,10.0,283,9.9,13906,19823
Jiwoo
Zeri,Flash,Boost,3363,3085,3035,3006,3748,3078,1018
6/0/4,10.0,338,11.9,15259,14863
Peter
Rakan,Dot,Flash,3364,3860,2065,3114,3111,3012
0/1/6,6.0,35,1.2,6779,2173
Rascal
Sion,Teleport,Haste,3363,3075,3068,2055,1057,6665,3047
0/3/2,0.7,255,9,9779,20677
Juhan
Maokai,Smite,Flash,3364,2055,6667,2421,3067,4637,3158
0/2/4,2.0,139,4.9,7659,3489
FATE
Tristana,Teleport,Flash,3363,3111,3035,1018,3072,3087,6675
4/2/0,2.0,243,8.5,11447,10215
Paduck
Varus,Flash,Boost,3363,3087,4633,2055,3115,1058,3006
0/3/4,1.3,290,10.2,10929,6223
BeryL
Lulu,Flash,Heal,3364,3853,2065,3114,3158,3012
0/1/4,4.0,37,1.3,5769,1207
|
NS,DEFEAT,6,4,2,0,0
Yuumi,Leblanc,Maokai,Rakan,Annie
DRX,VICTORY,14,8,4,2,2
Milio,Azir,Neeko,Tristana,Lulu
DnDn
KSante,Teleport,Flash,3363,3068,6662,2055,3047,3075,3105
1/1/5,6.0,260,9.1,11131,17287
Sylvie
Sejuani,Smite,Flash,3364,3068,3047,2055,3001,1011,3076
0/1/4,4.0,166,5.8,9033,1448
FIESTA
Jayce,Teleport,Flash,3363,2420,3123,6691,6694,3158,3042
4/1/6,10.0,283,9.9,13906,19823
Jiwoo
Aphelios,Flash,Boost,3363,6671,3145,3072,3006,3036,6672
6/0/4,10.0,338,11.9,15259,14863
Peter
Nautilus,Flash,Dot,3364,3860,3111,3001,3023,1028
0/1/6,6.0,35,1.2,6779,2173
Rascal
Renekton,Flash,Teleport,3364,6630,3026,3047,1036,3071,2055
0/3/2,0.7,255,9,9779,20677
Juhan
MonkeyKing,Smite,Flash,3364,3047,6632,2420,1031,3071
0/2/4,2.0,139,4.9,7659,3489
FATE
Ahri,Teleport,Flash,3364,2420,6656,3089,3158,4630,4628
4/2/0,2.0,243,8.5,11447,10215
Paduck
Zeri,Flash,Boost,3363,3748,3072,3078,3006,3085,3035
0/3/4,1.3,290,10.2,10929,6223
BeryL
RenataGlasc,Heal,Flash,3364,3860,3107,2065,3009
0/1/4,4.0,37,1.3,5769,1207
