KT,VICTORY,20,9,3,1,1
KSante,Milio,Vi,Rakan,TahmKench
GEN,DEFEAT,3,1,1,0,1
Neeko,Yuumi,Zeri,Viego,MonkeyKing
Kiin
Jax,Teleport,Flash,3340,3191,2421,3108,3071,6632,3158
8/2/5,6.5,170,7.1,11164,12376
Cuzz
Sejuani,Smite,Flash,3364,3047,6660,1011,6667,3082
2/1/15,17.0,151,6.3,9074,8064
Bdd
Annie,Flash,Teleport,3364,6653,3116,3191,3108,3158
3/0/11,14.0,196,8.2,10584,16417
Aiming
Aphelios,Boost,Flash,3363,6671,3006,1038,3036,3095
7/0/7,14.0,255,10.6,13639,21199
Lehends
Nautilus,Exhaust,Flash,3364,3111,3860,3001,3067
0/0/15,15.0,34,1.4,6563,4032
Doran
Gnar,Teleport,Flash,3364,3111,3078,3044,1055
0/6/1,0.2,150,6.2,7081,11440
Peanut
Maokai,Flash,Smite,3364,6667,3158,1011,3082
1/4/2,0.8,128,5.3,7641,7002
Chovy
Tristana,Teleport,Flash,3364,6672,3072,1018,1055,1083,3111
1/2/2,1.5,219,9.1,9497,8803
Peyz
Draven,Boost,Flash,3363,6671,2055,1001,1055,3134,3508
1/3/1,0.7,220,9.2,9229,6513
Delight
Braum,Dot,Flash,3364,3190,3111,3857,2055,1028
0/5/3,0.6,27,1.1,5058,4359
|
GEN,VICTORY,12,9,2,1,2
Sejuani,Sion,Lucian,MonkeyKing,Viego
KT,DEFEAT,2,0,1,0,0
Neeko,Zeri,KSante,Ahri,AurelionSol
Kiin
Jax,Teleport,Flash,3340,3071,3157,6632,3111,1033
8/2/5,6.5,170,7.1,11164,12376
Cuzz
Vi,Flash,Smite,3364,3071,6632,3111,1029
2/1/15,17.0,151,6.3,9074,8064
Bdd
Gragas,Teleport,Flash,3364,6656,3158,1058,1056,1082,3102
3/0/11,14.0,196,8.2,10584,16417
Aiming
Draven,Boost,Flash,3363,6671,1001,3123,3508,6676
7/0/7,14.0,255,10.6,13639,21199
Lehends
Milio,Heal,Flash,3364,3158,3504,3860,2055,3067,1052
0/0/15,15.0,34,1.4,6563,4032
Doran
Ornn,Teleport,Flash,3363,1054,1031,6660,7026,3047
0/6/1,0.2,150,6.2,7081,11440
Peanut
Volibear,Smite,Flash,3364,6662,2055,2003,3023,3047
1/4/2,0.8,128,5.3,7641,7002
Chovy
Annie,Flash,Teleport,3364,6653,3116,2424,3158
1/2/2,1.5,219,9.1,9497,8803
Peyz
Aphelios,Haste,Flash,3363,6671,3006,3036
1/3/1,0.7,220,9.2,9229,6513
Delight
Yuumi,Exhaust,Heal,3364,6620,3114,3851,2055
0/5/3,0.6,27,1.1,5058,4359
|
KT,DEFEAT,0,3,0,0,2
KSante,Vi,Annie,Viego,MonkeyKing
GEN,VICTORY,13,9,4,1,0
Neeko,Sejuani,Sion,Yone,Jayce
Kiin
Renekton,Teleport,Flash,3364,2055,6630,2421,1055,3071,3047
8/2/5,6.5,170,7.1,11164,12376
Cuzz
Maokai,Smite,Flash,3364,4637,1057,3158,3001,2055,3916
2/1/15,17.0,151,6.3,9074,8064
Bdd
Ahri,Flash,Teleport,3364,1026,2424,6656,3089,4630,3158
3/0/11,14.0,196,8.2,10584,16417
Aiming
Zeri,Haste,Flash,3363,3085,3078,3077,3006,1011,1028
7/0/7,14.0,255,10.6,13639,21199
Lehends
Lulu,Exhaust,Flash,3364,3158,2065,3853,2055,3114,1052
0/0/15,15.0,34,1.4,6563,4032
Doran
Jax,Teleport,Flash,3340,3071,2421,3108,6632,3111,3191
0/6/1,0.2,150,6.2,7081,11440
Peanut
Kindred,Flash,Smite,3364,6671,6672,3111,1018,3134
1/4/2,0.8,128,5.3,7641,7002
Chovy
Gragas,Teleport,Flash,3364,6656,3157,3102,3158
1/2/2,1.5,219,9.1,9497,8803
Peyz
Twitch,Boost,Flash,3363,1055,3006,3085,6676,3153
1/3/1,0.7,220,9.2,9229,6513
Delight
Yuumi,Exhaust,Dot,3364,6620,3222,3853,3916
0/5/3,0.6,27,1.1,5058,4359
