BRO,4,1,0,0,0
Karma,Varus,Annie,Xayah,Aphelios
GEN,19,10,3,1,2
Lucian,Ashe,Caitlyn,Renekton,LeeSin
Morgan
Jax,Teleport,Flash,3340,2055,6632,3110,3047
3/4/1,1.0,176,7.3,8567k,8908
UmTi
Sejuani,Smite,Flash,3364,8001,6660,3047,2055,1033,1028
1/4/3,1.0,125,5.2,6848k,5681
Karis
Gragas,Flash,Teleport,3364,6657,3070,3067,3158,1058
0/5/1,0.2,182,7.6,7070k,8503
Hena
Zeri,Barrier,Flash,3363,3133,6673,3006,1037
0/4/1,0.2,213,8.9,8238k,7963
Effort
Lulu,Flash,Heal,3364,3860,2065,3158
0/2/1,0.5,29,1.2,4790k,3421
Doran
Jayce,Teleport,Flash,3363,3158,6630,3042,3035,1055
6/3/6,4.0,218,9.1,12148k,18382
Peanut
Elise,Flash,Smite,3364,2424,3165,3020,3152,3145
5/0/10,15.0,118,4.9,10181k,14249
Chovy
KSante,Teleport,Flash,3364,6665,3105,3111,3068
2/0/10,12.0,200,8.4,9928k,10633
Peyz
Draven,Boost,Flash,3363,6693,1018,3006,3035,3508,3031
4/0/9,13.0,244,10.2,13694k,18832
Delight
Nautilus,Dot,Flash,3364,3001,2421,3860,2055,3111,1052
2/1/11,13.0,37,1.5,7064k,5724
|
GEN,12,11,2,1,2
Lucian,Karma,Caitlyn,Xayah,Zeri
BRO,2,2,2,0,0
Elise,Ashe,Varus,Irelia,Renekton
Morgan
Sejuani,Dot,Teleport,3364,6665,3024,2055,3158,3068,3082
3/4/1,1.0,176,7.3,8567k,8908
UmTi
Viego,Flash,Smite,3364,2420,6672,3047,2055,3071,1031
1/4/3,1.0,125,5.2,6848k,5681
Karis
Annie,Teleport,Flash,3363,6657,2424,4630,3116,3158,3089
0/5/1,0.2,182,7.6,7070k,8503
Hena
Aphelios,Heal,Flash,3363,6671,3006,3072,3031
0/4/1,0.2,213,8.9,8238k,7963
Effort
Thresh,Dot,Flash,3364,2065,2421,3857,2055,3158,3067
0/2/1,0.5,29,1.2,4790k,3421
Doran
Jayce,Teleport,Flash,3364,3035,2055,1036,3042,6692,3158
6/3/6,4.0,218,9.1,12148k,18382
Peanut
LeeSin,Smite,Flash,3340,6630,1036,1033,3067,3047
5/0/10,15.0,118,4.9,10181k,14249
Chovy
Gragas,Flash,Teleport,3364,6657,2421,3040,3111,1052
2/0/10,12.0,200,8.4,9928k,10633
Peyz
Jinx,Boost,Flash,3363,3031,3094,6672,3006
4/0/9,13.0,244,10.2,13694k,18832
Delight
Rakan,Flash,Dot,3364,3860,2065,2055,1004,1033,3111
2/1/11,13.0,37,1.5,7064k,5724
|
