T1,DEFEAT,6,4,2,1,2
Zeri,Vi,KSante,Malphite,Kennen
GEN,VICTORY,22,9,4,2,0
Annie,Lucian,Elise,TahmKench,Lissandra
Zeus
Jayce,Teleport,Flash,3363,6692,3042,6694,2055,3161,3158
1/6/4,0.8,308,8.2,15208,19178
Oner
Sejuani,Smite,Flash,3364,3047,3068,6667,3066,1057
1/4/4,1.2,171,4.5,11087,10231
Faker
Veigar,Teleport,Flash,3364,3742,3158,3135,3040,6657
3/4/2,1.2,320,8.5,13856,16178
Gumayusi
Varus,Boost,Flash,3363,6673,3124,3026,3006,3091
0/2/3,1.5,392,10.4,14898,10884
Keria
Nautilus,Dot,Flash,3364,3047,3860,2055,3001,3076,1011
1/6/3,0.7,36,1,8021,4778
Doran
Gragas,Teleport,Flash,3364,3158,3157,1058,6657,4645,1058
1/0/11,12.0,307,8.2,15110,23981
Peanut
MonkeyKing,Flash,Smite,3364,2421,6632,1031,3111,3071
4/5/9,2.6,201,5.3,12900,9063
Chovy
Ahri,Teleport,Flash,3364,6656,3157,3102,3041,3158,4628
3/1/12,15.0,311,8.3,14997,20315
Peyz
Xayah,Boost,Flash,3363,6671,3139,3006,3094,3036,6675
14/0/3,17.0,452,12,21245,25815
Delight
Rakan,Dot,Flash,3364,2065,3107,3860,2055,3111,1057
0/0/17,17.0,64,1.7,10225,6613
|
T1,DEFEAT,9,3,2,0,1
Zeri,Vi,Rakan,Blitzcrank,Malphite
GEN,VICTORY,19,11,4,2,1
Annie,Lucian,Elise,Sejuani,Lissandra
Zeus
Kennen,Teleport,Flash,3364,3089,3152,3135,2055,1058,3020
1/6/4,0.8,308,8.2,15208,19178
Oner
Viego,Smite,Flash,3364,2055,6632,3071,3053,3111
1/4/4,1.2,171,4.5,11087,10231
Faker
KSante,Teleport,Flash,3364,2055,6665,3193,3076,3111,3082
3/4/2,1.2,320,8.5,13856,16178
Gumayusi
Caitlyn,Heal,Flash,3363,1018,3139,6671,3006,3094,3031
0/2/3,1.5,392,10.4,14898,10884
Keria
Lux,Dot,Flash,3364,6656,3853,2055,3158,3165,1052
1/6/3,0.7,36,1,8021,4778
Doran
Gragas,Teleport,Flash,3364,4645,3157,3158,6657,1026
1/0/11,12.0,307,8.2,15110,23981
Peanut
MonkeyKing,Flash,Smite,3364,2421,6632,3071,1057,3067,3111
4/5/9,2.6,201,5.3,12900,9063
Chovy
Ahri,Teleport,Flash,3364,6656,3102,3158,4628,4645,3041
3/1/12,15.0,311,8.3,14997,20315
Peyz
Aphelios,Boost,Flash,3363,6671,3086,3006,3026,3072,3031
14/0/3,17.0,452,12,21245,25815
Delight
Nautilus,Dot,Flash,3364,3001,8001,3860,2055,3111
0/0/17,17.0,64,1.7,10225,6613
|
T1,VICTORY,12,9,1,1,1
Zeri,Ahri,KSante,Yone,Gragas
GEN,DEFEAT,9,4,2,0,1
Annie,Lucian,Elise,Jayce,Kennen
Zeus
Sion,Teleport,Flash,3364,1054,6665,3076,1031,6660,3047
1/6/4,0.8,308,8.2,15208,19178
Oner
MonkeyKing,Smite,Flash,3364,2421,3071,6632,1031,3111
1/4/4,1.2,171,4.5,11087,10231
Faker
Veigar,Teleport,Flash,3364,6657,3040,2423,3066,1031,3158
3/4/2,1.2,320,8.5,13856,16178
Gumayusi
Jinx,Haste,Flash,3363,3036,3085,2055,3006,6672,1037
0/2/3,1.5,392,10.4,14898,10884
Keria
TahmKench,Dot,Flash,3364,3190,3860,3111,3067
1/6/3,0.7,36,1,8021,4778
Doran
Gnar,Teleport,Flash,3364,3071,3078,2055,3066,3047,1057
1/0/11,12.0,307,8.2,15110,23981
Peanut
Sejuani,Flash,Smite,3364,6667,6660,3024,3082,3047
4/5/9,2.6,201,5.3,12900,9063
Chovy
Lissandra,Teleport,Flash,3364,6656,3157,2055,3020,1082,3135
3/1/12,15.0,311,8.3,14997,20315
Peyz
Xayah,Haste,Flash,3363,6671,1018,1055,1018,3006,6675
14/0/3,17.0,452,12,21245,25815
Delight
Rakan,Dot,Flash,3364,2065,3111,3860,2055,1057
0/0/17,17.0,64,1.7,10225,6613
|
GEN,VICTORY,19,9,2,2,1
Lucian,Vi,Caitlyn,Malphite,Thresh
T1,DEFEAT,14,4,3,0,1
Annie,Zeri,MonkeyKing,TahmKench,Blitzcrank
Zeus
KSante,Teleport,Flash,3364,6662,3143,3105,1029,3047
1/6/4,0.8,308,8.2,15208,19178
Oner
Maokai,Flash,Smite,3364,3110,3158,3067,1011,6667
1/4/4,1.2,171,4.5,11087,10231
Faker
Tristana,Teleport,Flash,3363,6672,2420,3111,3072,3035,6675
3/4/2,1.2,320,8.5,13856,16178
Gumayusi
Jinx,Boost,Flash,3363,1037,3006,3085,3026,3036,6672
0/2/3,1.5,392,10.4,14898,10884
Keria
Lulu,Heal,Flash,3364,2065,3222,3853,4643,3158,1028
1/6/3,0.7,36,1,8021,4778
Doran
Sion,Teleport,Flash,3364,6662,3068,3075,2055,3047
1/0/11,12.0,307,8.2,15110,23981
Peanut
LeeSin,Smite,Flash,3340,2055,6630,3071,3026,3082,3047
4/5/9,2.6,201,5.3,12900,9063
Chovy
Ahri,Teleport,Flash,3364,6656,1058,3157,3158,1056,4628
3/1/12,15.0,311,8.3,14997,20315
Peyz
Aphelios,Boost,Flash,3363,3031,3085,6671,3036,1018,3006
14/0/3,17.0,452,12,21245,25815
Delight
Braum,Exhaust,Flash,3364,3190,3857,4643,3047,3076
0/0/17,17.0,64,1.7,10225,6613
