BRO,10,11,3,2,1
Wukong,Sylas,Karma,Vi,Elise
LSB,3,3,1,0,1
Maokai,Lucian,Renekton,Alistar,Heimerdinger
Morgan
Jax,Teleport,Flash,3340,2420,2055,3091,6632,3071,3047
2/0/4,6.0,316,9.8,14120k,14702
UmTi
Sejuani,Smite,Flash,3364,3047,8001,3024,6667,3067
0/0/9,9.0,184,5.7,10935k,6034
Karis
Ryze,Flash,Teleport,3364,6657,2421,3040,3158,3135,3108
4/0/4,8.0,334,10.4,14585k,21757
Hena
Varus,Haste,Flash,3363,6673,3091,2421,3124,3006
2/1/7,9.0,287,8.9,13141k,11067
Effort
Nautilus,Flash,Dot,3364,3860,2421,4643,2031,3001,3111
2/2/7,4.5,43,1.3,9342k,3858
Burdol
KSante,Teleport,Flash,3364,3066,1057,3068,6662,3047
1/2/2,1.5,252,7.8,10494k,7595
Willer
Nocturne,Flash,Smite,3364,2055,3111,3075,6631
1/3/0,0.3,194,6,9769k,4524
Clozer
Kassadin,Teleport,Flash,3363,2055,3135,6657,3111,3040
0/2/3,1.5,309,9.6,12030k,16985
Envyy
Sivir,Flash,Heal,3363,6672,3046,3036,1037,3006,1018
1/2/2,1.5,358,11.1,13878k,11344
Kael
Ashe,Barrier,Flash,3364,1036,3864,1036,4005,3158
0/1/3,3.0,25,0.8,6802k,9610
|
BRO,13,6,4,2,2
Wukong,Sylas,Karma,Akali,Kassadin
LSB,13,9,3,1,0
Maokai,Lucian,Ryze,Leona,Nautilus
Morgan
Renekton,Teleport,Flash,3364,6630,3075,3026,6333,4401,3047
2/0/4,6.0,316,9.8,14120k,14702
UmTi
Elise,Smite,Flash,3364,3152,3157,4645,2055,3020,3135
0/0/9,9.0,184,5.7,10935k,6034
Karis
Syndra,Flash,Teleport,3364,6653,3089,3135,3111,3040
4/0/4,8.0,334,10.4,14585k,21757
Hena
Varus,Boost,Flash,3363,3042,6692,3142,3158,6694,3814
2/1/7,9.0,287,8.9,13141k,11067
Effort
Soraka,Flash,Heal,3364,3860,2065,3222,2055,3011,3111
2/2/7,4.5,43,1.3,9342k,3858
Burdol
Fiora,Teleport,Haste,3364,3181,6333,2420,3074,6632,3111
1/2/2,1.5,252,7.8,10494k,7595
Willer
Sejuani,Flash,Smite,3364,4401,3111,6667,3083
1/3/0,0.3,194,6,9769k,4524
Clozer
Azir,Teleport,Flash,3363,3157,3089,3102,3135,3111,6655
0/2/3,1.5,309,9.6,12030k,16985
Envyy
Ashe,Flash,Boost,3363,4005,2421,3074,6609,3158,3042
1/2/2,1.5,358,11.1,13878k,11344
Kael
Heimerdinger,Dot,Flash,3364,1057,3853,3165,3116,3158
0/1/3,3.0,25,0.8,6802k,9610
|
BRO,1,0,0,0,1
Wukong,Sylas,Karma,Akali,Azir
LSB,15,9,4,1,1
Lucian,Renekton,Ryze,Kassadin,Syndra
Morgan
Jax,Teleport,Flash,3340,6632,2055,3071,3047
2/0/4,6.0,316,9.8,14120k,14702
UmTi
Sejuani,Smite,Flash,3364,2055,3047,1011,3076,1033,6667
0/0/9,9.0,184,5.7,10935k,6034
Karis
Viktor,Flash,Teleport,3364,6657,3040,4630,3020,2055
4/0/4,8.0,334,10.4,14585k,21757
Hena
Varus,Boost,Flash,3363,3070,6692,3142,3158,3133,1036
2/1/7,9.0,287,8.9,13141k,11067
Effort
Soraka,Flash,Heal,3364,3860,2055,3222,2420,3158
2/2/7,4.5,43,1.3,9342k,3858
Burdol
KSante,Teleport,Haste,3364,3076,2055,3193,3068,6662,3047
1/2/2,1.5,252,7.8,10494k,7595
Willer
Maokai,Flash,Smite,3364,3111,4637,6667,1057,2055
1/3/0,0.3,194,6,9769k,4524
Clozer
Irelia,Teleport,Flash,3363,6630,3026,1036,3153,1036,3111
0/2/3,1.5,309,9.6,12030k,16985
Envyy
Ashe,Flash,Boost,3363,4005,3123,3158,3070,3074,3133
1/2/2,1.5,358,11.1,13878k,11344
Kael
Heimerdinger,Heal,Flash,3364,1026,3853,2055,3116,3158,3916
0/1/3,3.0,25,0.8,6802k,9610
|
