BRO,VICTORY,21,11,3,1,2
Jayce,Tristana,Leblanc,Varus,Ashe
DRX,DEFEAT,4,3,2,0,0
Neeko,Vi,Poppy,KSante,Renekton
Morgan
Gragas,Teleport,Flash,3364,3157,6656,3135,4632,3158
3/1/5,8.0,258,7.5,13110,18554
UmTi
Skarner,Smite,Flash,3364,3143,6660,3111,1057,3001
2/0/15,17.0,187,5.5,12626,8327
Karis
Azir,Flash,Teleport,3364,4644,3157,3135,3020,3115
5/0/13,18.0,327,9.6,15650,21711
Hena
Aphelios,Boost,Flash,3363,3006,6672,6671,3036,6673,3086
11/0/5,16.0,342,10,18062,36463
Effort
Milio,Flash,Heal,3364,3860,2065,3107,3158
0/3/19,6.3,31,0.9,9012,2440
Rascal
Jax,Flash,Teleport,3340,6632,3157,3071,3111,1028
0/4/1,0.2,291,8.5,12199,6329
Juhan
Sejuani,Smite,Flash,3364,2055,6660,6667,3111,8020
1/5/2,0.6,164,4.8,9393,7691
FATE
Yone,Teleport,Flash,3364,6671,3139,3006,3072
1/2/1,1.0,308,9,12419,9770
Paduck
Ziggs,Flash,Teleport,3363,6653,2055,3089,3020,2421,4645
1/3/1,0.7,330,9.6,12977,23490
BeryL
Leona,Dot,Flash,3364,3860,3001,2055,3111,1011,3067
1/7/2,0.4,44,1.3,7440,1914
|
DRX,VICTORY,13,10,2,1,2
Vi,Poppy,Neeko,Gragas,Viego
BRO,DEFEAT,5,0,2,0,0
Jayce,Tristana,Leblanc,Varus,Ashe
Morgan
Jax,Flash,Teleport,3340,3157,2055,3111,3181,6632,3071
3/1/5,8.0,258,7.5,13110,18554
UmTi
Sejuani,Smite,Flash,3364,6667,6660,3109,3047,1057
2/0/15,17.0,187,5.5,12626,8327
Karis
Azir,Teleport,Flash,3363,3115,4644,3020,3089
5/0/13,18.0,327,9.6,15650,21711
Hena
Draven,Flash,Boost,3363,3031,3140,3508,3134,3036,2422
11/0/5,16.0,342,10,18062,36463
Effort
Blitzcrank,Dot,Flash,3364,3860,6656,3009,1033
0/3/19,6.3,31,0.9,9012,2440
Rascal
Renekton,Teleport,Flash,3364,6630,1028,3071,3044,3047
0/4/1,0.2,291,8.5,12199,6329
Juhan
Skarner,Smite,Flash,3364,2055,3067,3001,1057,6660,3111
1/5/2,0.6,164,4.8,9393,7691
FATE
Ahri,Flash,Teleport,3364,4628,6656,1082,3111,1058,1058
1/2/1,1.0,308,9,12419,9770
Paduck
Aphelios,Barrier,Flash,3363,6672,1055,6671,3006,3035,1018
1/3/1,0.7,330,9.6,12977,23490
BeryL
Milio,Flash,Heal,3364,3860,2065,2055,3012,1004,3158
1/7/2,0.4,44,1.3,7440,1914
|
BRO,VICTORY,8,9,2,2,2
Jayce,Tristana,Leblanc,Blitzcrank,Heimerdinger
DRX,DEFEAT,0,3,3,0,0
Vi,Neeko,Azir,Annie,Syndra
Morgan
KSante,Teleport,Flash,3364,8020,3105,2055,6665,3075,3111
3/1/5,8.0,258,7.5,13110,18554
UmTi
Poppy,Smite,Flash,3364,1057,8020,3111,6660,3001
2/0/15,17.0,187,5.5,12626,8327
Karis
Veigar,Flash,Teleport,3364,6657,3040,3135,3111,1058
5/0/13,18.0,327,9.6,15650,21711
Hena
Aphelios,Boost,Flash,3363,3006,6672,6671,3036,3155,1036
11/0/5,16.0,342,10,18062,36463
Effort
Milio,Flash,Heal,3364,3860,2065,3012,3114,3158
0/3/19,6.3,31,0.9,9012,2440
Rascal
Renekton,Flash,Teleport,3364,6630,2420,3071,1033,3047,1038
0/4/1,0.2,291,8.5,12199,6329
Juhan
Sejuani,Smite,Flash,3364,2055,6660,6667,3047,3067,1057
1/5/2,0.6,164,4.8,9393,7691
FATE
Ahri,Teleport,Flash,3364,2055,6656,4645,3111,1058,1058
1/2/1,1.0,308,9,12419,9770
Paduck
Varus,Flash,Haste,3363,4633,3115,4630,3087,3020
1/3/1,0.7,330,9.6,12977,23490
BeryL
Ashe,Heal,Flash,3364,3864,3179,2055,4005,3158
1/7/2,0.4,44,1.3,7440,1914
