HLE,20,11,2,1,2
Vi,Poppy,Viego,Rakan,Alistar
NS,7,0,1,0,0
Yone,Renekton,LeBlanc,Rumble,Ivern
kingen
Gwen,Teleport,Flash,3364,1054,2421,4633,3158,3115
5/0/3,8.0,200,8.9,10699k,12635
Grizzly
Nautilus,Smite,Flash,3364,3105,3068,3111,1028,1028
0/2/10,5.0,105,4.7,7891k,5933
Zeka
Tristana,Teleport,Flash,3363,6675,3072,6672,3087,3111
11/2/7,9.0,253,11.3,14816k,29547
Viper
Kaisa,Boost,Flash,3363,6677,1037,3115,1055,3087,3006
3/2/5,4.0,220,9.8,10180k,13303
Life
Rell,Dot,Flash,3364,3860,2421,2055,3001,3158
1/1/13,14.0,24,1.1,6879k,3724
DnDn
KSante,Teleport,Flash,3363,8020,3057,2055,1029,3111,3067
0/2/0,0.0,164,7.3,6441k,7171
Sylvie
Maokai,Smite,Flash,3364,6667,8020,2055,3158
4/5/1,1.0,108,4.8,7164k,6542
FIESTA
Azir,Teleport,Flash,3363,2420,2055,3020,3115,6653,1056
3/6/2,0.8,196,8.7,9232k,12107
Jiwoo
Xayah,Flash,Heal,3363,1055,1036,1038,6672,1018,3006
0/4/4,1.0,228,10.2,8402k,10049
Peter
Braum,Flash,Exhaust,3364,3860,3190,3111,1029,2055
0/3/4,1.3,35,1.6,4866k,2429
|
NS,4,3,2,0,2
Yone,Rumble,LeBlanc,Maokai,Ivern
HLE,10,9,2,1,0
Poppy,Vi,Cassiopeia,Rakan,Viego
kingen
Renekton,Teleport,Flash,3364,6630,3111,2055,3082,1028,3071
5/0/3,8.0,200,8.9,10699k,12635
Grizzly
Skarner,Smite,Flash,3364,6660,3111,2055,6667,8020
0/2/10,5.0,105,4.7,7891k,5933
Zeka
Azir,Teleport,Flash,3363,3108,6653,2421,3020,1043,1026
11/2/7,9.0,253,11.3,14816k,29547
Viper
Xayah,Flash,Boost,3363,6675,2420,3035,3006,6672
3/2/5,4.0,220,9.8,10180k,13303
Life
Alistar,Flash,Dot,3364,3860,3001,3111,3023,2055
1/1/13,14.0,24,1.1,6879k,3724
DnDn
Ornn,Teleport,Flash,3363,7027,3068,1054,3047,1028
0/2/0,0.0,164,7.3,6441k,7171
Sylvie
Sejuani,Smite,Flash,3364,3068,3111,3023,7027,1028
4/5/1,1.0,108,4.8,7164k,6542
FIESTA
Tristana,Teleport,Flash,3363,3111,3140,6672,3072,7032
3/6/2,0.8,196,8.7,9232k,12107
Jiwoo
Kaisa,Haste,Flash,3363,1052,1037,3087,3115,3006
0/4/4,1.0,228,10.2,8402k,10049
Peter
Rell,Dot,Flash,3364,3860,2003,2421,3001,3158
0/3/4,1.3,35,1.6,4866k,2429
|
