GEN,19,9,4,1,2
Ashe,Heimerdinger,Twitch,Jax,Kassadin
DRX,4,2,1,0,0
Yuumi,Ryze,Lucian,Jayce,Gnar
Doran
Renekton,Teleport,Flash,3364,3026,6630,2055,6609,3156,3047
4/2/7,5.5,316,9.7,15320k,24278
Peanut
Maokai,Flash,Smite,3364,6667,3111,4637,3110,1028
3/2/8,5.5,188,5.8,11945k,15885
Chovy
Sylas,Teleport,Flash,3364,6657,3157,2055,3089,4630,3111
2/0/9,11.0,304,9.3,13731k,16071
Peyz
Jhin,Heal,Flash,3363,3142,2055,3009,3814,6676,6692
8/0/6,14.0,322,9.9,15041k,15258
Delight
Karma,Dot,Flash,3364,2065,3011,3853,2055,3158,3114
2/0/12,14.0,25,0.8,8800k,10207
Rascal
Fiora,Haste,Teleport,3364,6632,3111,3074,3181,3133,2055
3/5/1,0.8,295,9,13450k,23516
Croco
Vi,Smite,Flash,3364,2055,1028,6667,6609,3111
0/4/2,0.5,170,5.2,8673k,6473
FATE
Viktor,Teleport,Flash,3363,2055,6657,3040,3020,3135
0/2/0,0.0,298,9.1,10602k,22956
deokdam
Varus,Flash,Teleport,3363,3142,1036,2055,6692,3009,3042
1/4/0,0.2,284,8.7,11293k,16585
BeryL
Soraka,Heal,Flash,3364,3853,2065,2055,3158
0/4/1,0.2,23,0.7,6336k,5254
|
DRX,8,2,0,0,0
Ryze,Maokai,Caitlyn,Kassadin,Jayce
GEN,24,10,4,2,2
Ashe,Heimerdinger,Jax,Renekton,Fiora
Doran
Camille,Flash,Teleport,3364,2421,3158,3133,6632,3074
4/2/7,5.5,316,9.7,15320k,24278
Peanut
Sejuani,Smite,Flash,3364,3801,3067,1011,6667,3047
3/2/8,5.5,188,5.8,11945k,15885
Chovy
Sylas,Teleport,Flash,3364,3157,6657,1058,3020,1082
2/0/9,11.0,304,9.3,13731k,16071
Peyz
Lucian,Flash,Dot,3363,6671,3094,3031,2422,3134
8/0/6,14.0,322,9.9,15041k,15258
Delight
Nami,Heal,Flash,3364,3853,4005,2055,4642,3158,1052
2/0/12,14.0,25,0.8,8800k,10207
Rascal
KSante,Teleport,Haste,3364,6662,3047,3068,3105,3076
3/5/1,0.8,295,9,13450k,23516
Croco
MonkeyKing,Flash,Smite,3364,2420,6632,3111,3105,3071
0/4/2,0.5,170,5.2,8673k,6473
FATE
Akali,Teleport,Flash,3364,3152,3157,3041,4645,3020,4630
0/2/0,0.0,298,9.1,10602k,22956
deokdam
Zeri,Barrier,Flash,3363,2420,3006,1038,3046,6675,6673
1/4/0,0.2,284,8.7,11293k,16585
BeryL
Yuumi,Exhaust,Heal,3364,2065,3222,3853,2055,4642,3916
0/4/1,0.2,23,0.7,6336k,5254
|
