DK,DEFEAT,6,2,1,0,0
Varus,Rakan,Renekton,Taliyah,Gragas
BRO,VICTORY,14,7,5,1,2
Annie,Ashe,Caitlyn,Veigar,Elise
Canna
Jayce,Teleport,Flash,3363,6692,2055,2420,2422,3042,6694
0/2/4,2.0,305,8,11951,17935
Canyon
Vi,Smite,Flash,3364,2055,2420,1031,3071,6632,3158
2/3/3,1.7,208,5.5,11080,8986
ShowMaker
Syndra,Teleport,Flash,3363,3916,2055,4645,3158,6655,3135
1/4/2,0.8,307,8.1,12144,20051
Deft
Lucian,Flash,Dot,3363,1038,6671,3094,6695,3036,2422
3/4/3,1.5,359,9.5,16314,20813
Kellin
Nami,Heal,Flash,3364,3853,3916,2055,4005,3158,3114
0/1/6,6.0,15,0.4,7787,5637
Morgan
KSante,Teleport,Haste,3364,8001,3105,6662,3068,3047
4/2/3,3.5,296,7.8,14270,9931
UmTi
LeeSin,Smite,Flash,3340,6630,3071,3026,3047
4/1/10,14.0,235,6.2,13887,9295
Karis
Akali,Flash,Teleport,3364,3152,3157,3020,4645
2/1/8,10.0,308,8.1,14251,12737
Hena
Zeri,Barrier,Flash,3363,6673,3072,2421,3031,3006,3086
4/1/7,11.0,323,8.5,15746,16277
Effort
Lulu,Flash,Heal,3364,3853,2065,3114,1057,3158
0/1/11,11.0,20,0.5,8800,3745
|
DK,VICTORY,18,9,3,1,0
Varus,Gragas,KSante,Renekton,Akali
BRO,DEFEAT,5,3,0,0,2
Annie,Ashe,Caitlyn,Veigar,Elise
Canna
Jayce,Teleport,Flash,3363,3042,6630,2422,6694
0/2/4,2.0,305,8,11951,17935
Canyon
MonkeyKing,Smite,Flash,3364,1029,3071,6632,3047
2/3/3,1.7,208,5.5,11080,8986
ShowMaker
Leblanc,Teleport,Flash,3364,3089,2055,3158,6655,4645
1/4/2,0.8,307,8.1,12144,20051
Deft
Lucian,Flash,Dot,3363,6671,6675,3094,3158
3/4/3,1.5,359,9.5,16314,20813
Kellin
Nami,Heal,Flash,3364,3853,2031,4005,3916,3158
0/1/6,6.0,15,0.4,7787,5637
Morgan
Irelia,Teleport,Flash,3364,2420,3153,2055,6632,1029,3047
4/2/3,3.5,296,7.8,14270,9931
UmTi
LeeSin,Smite,Flash,3340,3071,6630,3047
4/1/10,14.0,235,6.2,13887,9295
Karis
Azir,Flash,Teleport,3364,6655,1058,1056,3020,2055,3145
2/1/8,10.0,308,8.1,14251,12737
Hena
Zeri,Barrier,Flash,3363,6673,3072,3006
4/1/7,11.0,323,8.5,15746,16277
Effort
Lulu,Flash,Heal,3364,3853,2065,2055,3114,1033,3158
0/1/11,11.0,20,0.5,8800,3745
|
BRO,DEFEAT,7,2,0,0,1
Caitlyn,Ashe,Lucian,Leblanc,Veigar
DK,VICTORY,22,9,4,1,1
Annie,KSante,Varus,Elise,MonkeyKing
Canna
Renekton,Teleport,Flash,3364,6630,2055,3143,3071,1057,3047
0/2/4,2.0,305,8,11951,17935
Canyon
Vi,Smite,Flash,3364,6667,3047,3071,2055
2/3/3,1.7,208,5.5,11080,8986
ShowMaker
Ahri,Flash,Teleport,3364,6656,3157,3158,1058,1058
1/4/2,0.8,307,8.1,12144,20051
Deft
Xayah,Heal,Flash,3363,1018,6675,3035,6672,3006
3/4/3,1.5,359,9.5,16314,20813
Kellin
Rakan,Flash,Dot,3364,3860,2065,2055,3114,3067,3158
0/1/6,6.0,15,0.4,7787,5637
Morgan
Sion,Teleport,Flash,3364,6665,3075,3068,3047
4/2/3,3.5,296,7.8,14270,9931
UmTi
LeeSin,Smite,Flash,3340,2055,6630,6609,3053,3047
4/1/10,14.0,235,6.2,13887,9295
Karis
Taliyah,Teleport,Flash,3363,6655,2055,3916,3158,3089,3040
2/1/8,10.0,308,8.1,14251,12737
Hena
Draven,Flash,Boost,3363,6673,3086,3031,3134,3508,3006
4/1/7,11.0,323,8.5,15746,16277
Effort
RenataGlasc,Dot,Flash,3364,3853,2065,3222,3158
0/1/11,11.0,20,0.5,8800,3745
