LSB,10,1,3,0,1
Maokai,Lulu,Varus,Kassadin,KSante
KDF,13,11,3,2,0
Elise,Lucian,Vi,Renekton,Sylas
Burdol
Gnar,Teleport,Flash,3364,4401,2055,1031,3071,3078,3047
1/3/3,1.3,332,8.9,13237k,12790
Willer
MonkeyKing,Flash,Smite,3364,1031,6632,3111,2421,3071
1/2/6,3.5,220,5.9,11381k,11073
Clozer
Akali,Teleport,Flash,3364,3152,3157,2055,3135,3089,3111
4/2/2,3.0,357,9.5,15125k,14280
Envyy
Caitlyn,Flash,Heal,3363,2421,6671,3031,3072,3006,3094
4/2/4,4.0,380,10.1,15894k,17347
Kael
Karma,Dot,Flash,3364,1004,2055,3853,3222,3067,3158
0/4/8,2.0,28,0.7,7400k,5532
DuDu
Jax,Teleport,Flash,3340,3161,3158,6632,2055,6333,3156
3/1/1,4.0,356,9.5,16135k,10265
YoungJae
Sejuani,Flash,Smite,3364,3047,3068,3076,6667,3082
1/2/9,5.0,209,5.6,12398k,8932
Bulldog
Azir,Teleport,Flash,3363,1058,3020,3089,6653,3135
3/2/2,2.5,326,8.7,15939k,34701
Taeyoon
Jhin,Flash,Heal,3363,6671,2420,3036,3031,3094,3009
6/3/4,3.3,354,9.4,17305k,21355
Jun
Ashe,Barrier,Flash,3364,4643,3179,3864,4005,3123,3158
0/2/10,5.0,68,1.8,10564k,13962
|
KDF,6,2,1,0,1
Vi,Sylas,Elise,Irelia,Kassadin
LSB,11,9,3,2,1
KSante,Ashe,Renekton,Jax,Fiora
Burdol
Gnar,Teleport,Flash,3364,2420,3047,3078,2055,3105,3053
1/3/3,1.3,332,8.9,13237k,12790
Willer
Sejuani,Flash,Smite,3364,3083,6660,3111,2055,3067,3105
1/2/6,3.5,220,5.9,11381k,11073
Clozer
Akali,Teleport,Flash,3364,3152,1058,4630,3089,3111,2055
4/2/2,3.0,357,9.5,15125k,14280
Envyy
Varus,Flash,Boost,3363,3142,1036,1036,3042,6692,3009
4/2/4,4.0,380,10.1,15894k,17347
Kael
Jhin,Heal,Flash,3364,2055,3179,3864,3134,3133,3009
0/4/8,2.0,28,0.7,7400k,5532
DuDu
Jayce,Teleport,Flash,3364,2420,3133,3142,3042,6692,3158
3/1/1,4.0,356,9.5,16135k,10265
YoungJae
Maokai,Flash,Smite,3364,4637,3111,3067,2421,6667
1/2/9,5.0,209,5.6,12398k,8932
Bulldog
Azir,Teleport,Flash,3363,3157,3135,2055,6653,3145,3020
3/2/2,2.5,326,8.7,15939k,34701
Taeyoon
Caitlyn,Flash,Boost,3363,3031,6671,3094,3006
6/3/4,3.3,354,9.4,17305k,21355
Jun
Lux,Heal,Flash,3364,4642,2055,3853,3222,3158,3067
0/2/10,5.0,68,1.8,10564k,13962
|
LSB,8,7,4,1,1
Ashe,Caitlyn,Sejuani,Kassadin,Wukong
KDF,5,2,0,0,1
Elise,Vi,Varus,Renekton,Jayce
Burdol
Gnar,Teleport,Flash,3364,4401,2055,3071,3078,3047
1/3/3,1.3,332,8.9,13237k,12790
Willer
Maokai,Flash,Smite,3364,3111,4637,6667
1/2/6,3.5,220,5.9,11381k,11073
Clozer
Azir,Teleport,Flash,3363,2055,3135,6653,3020,3089,2420
4/2/2,3.0,357,9.5,15125k,14280
Envyy
Lucian,Flash,Dot,3363,3031,6671,3134,2422,3094
4/2/4,4.0,380,10.1,15894k,17347
Kael
Nami,Heal,Flash,3364,3114,3853,3916,3158,4005
0/4/8,2.0,28,0.7,7400k,5532
DuDu
KSante,Teleport,Haste,3364,3193,6665,3047,2055,3082,4401
3/1/1,4.0,356,9.5,16135k,10265
YoungJae
Viego,Flash,Smite,3364,3111,6632,3067,2055,1057,3066
1/2/9,5.0,209,5.6,12398k,8932
Bulldog
Sylas,Teleport,Flash,3364,3157,1026,2055,6657,4630,3111
3/2/2,2.5,326,8.7,15939k,34701
Taeyoon
Zeri,Flash,Boost,3363,1018,3031,3085,6673,3006
6/3/4,3.3,354,9.4,17305k,21355
Jun
Lulu,Heal,Flash,3364,2055,2065,3853,1057,3114,3158
0/2/10,5.0,68,1.8,10564k,13962
|
