DRX,DEFEAT,2,1,0,0,1
Lucian,Varus,Caitlyn,Jayce,Akali
KT,VICTORY,9,9,4,1,1
Maokai,Ashe,Elise,Nautilus,Leona
Rascal
Renekton,Flash,Teleport,3364,6630,2420,3071,2031,3111
2/2/0,1.0,225,8.5,10567,12959
Croco
Sejuani,Smite,Flash,3364,2055,1028,1029,3067,3068,3111
0/2/1,0.5,137,5.2,7285,4370
FATE
Azir,Teleport,Flash,3363,2033,6653,3158,3135,1056
0/2/1,0.5,243,9.2,9034,10772
deokdam
Draven,Flash,Heal,3363,3031,2422,1036,1055,6672
0/1/2,2.0,193,7.3,8180,6803
BeryL
Annie,Dot,Flash,3364,3853,2065,2055,3158
0/2/2,1.0,22,0.8,5666,4796
Kiin
Gragas,Teleport,Flash,3364,1056,6660,3803,6665,3111
0/0/4,4.0,219,8.2,9682,10372
Cuzz
MonkeyKing,Smite,Flash,3364,6632,3067,3133,3111
6/1/1,7.0,182,6.9,10200,12193
Bdd
Taliyah,Flash,Teleport,3364,4644,3040,3111,3086
0/0/6,6.0,253,9.5,10718,9877
Aiming
Zeri,Boost,Flash,3363,6675,3085,3072,6673,1083,3006
3/1/3,6.0,304,11.5,14783,14593
Lehends
Lulu,Exhaust,Flash,3364,2422,2065,3860,1057
0/0/6,6.0,33,1.2,6772,4883
|
KT,VICTORY,18,11,3,2,1
Vi,LeeSin,Ashe,Renekton,Leblanc
DRX,DEFEAT,7,3,1,0,1
Maokai,Lucian,Sejuani,Jayce,Yone
Rascal
Jax,Teleport,Flash,3340,3071,3157,2055,3153,6632,3111
2/2/0,1.0,225,8.5,10567,12959
Croco
Elise,Smite,Flash,3364,4636,3020,3102,1028,3135
0/2/1,0.5,137,5.2,7285,4370
FATE
Irelia,Flash,Teleport,3364,3153,3140,2421,3091,6632,3111
0/2/1,0.5,243,9.2,9034,10772
deokdam
Draven,Heal,Flash,3363,3047,3094,1037,6673,3508,1036
0/1/2,2.0,193,7.3,8180,6803
BeryL
Singed,Dot,Flash,3364,3047,6667,3860
0/2/2,1.0,22,0.8,5666,4796
Kiin
Sion,Flash,Teleport,3364,3105,3068,3067,3047,1028,3075
0/0/4,4.0,219,8.2,9682,10372
Cuzz
Nidalee,Smite,Flash,3364,3152,2055,3135,3020
6/1/1,7.0,182,6.9,10200,12193
Bdd
Ryze,Teleport,Flash,3363,3135,6657,3040,3047
0/0/6,6.0,253,9.5,10718,9877
Aiming
Varus,Flash,Heal,3363,3142,3035,2055,6692,3009,3042
3/1/3,6.0,304,11.5,14783,14593
Lehends
Caitlyn,Barrier,Flash,3364,3864,3142,2055,3179,3158,3123
0/0/6,6.0,33,1.2,6772,4883
