BRO,9,3,2,1,2
Vi,LeBlanc,Milio,Aphelios,Zeri
HLE,17,9,3,0,0
Neeko,Poppy,Yuumi,Viego,LeeSin
Morgan
Gragas,Teleport,Flash,3364,8001,2055,1029,6662,3068,3158
0/3/4,1.3,273,9.1,10700k,16007
UmTi
RekSai,Smite,Flash,3364,6631,3133,3071,2421,3047
1/4/5,1.5,196,6.5,11012k,8228
Ivory
Azir,Flash,Teleport,3363,3157,6653,3135,3020
0/4/6,1.5,263,8.7,11164k,13412
Hena
Varus,Boost,Flash,3363,3087,3108,2421,4633,3115,3006
7/3/2,3.0,304,10.1,13595k,16355
Effort
Leona,Flash,Dot,3364,3857,3001,2055,1004,3012,3111
1/3/8,3.0,36,1.2,7248k,3566
kingen
Renekton,Teleport,Flash,3364,3026,6630,2055,1033,3111,3053
2/2/6,4.0,316,10.5,13978k,16880
Clid
Sejuani,Smite,Flash,3364,3001,1057,4401,6660,3111
0/2/16,8.0,195,6.5,10726k,7402
Zeka
Yone,Teleport,Flash,3363,3072,6671,2421,3091,3006,1031
8/2/7,7.5,338,11.2,15989k,21225
Viper
Kaisa,Boost,Flash,3363,2421,3115,3124,3087,3006
7/0/6,13.0,311,10.3,14374k,19876
Life
Blitzcrank,Dot,Flash,3364,3857,6656,2055,3117,1004
0/3/12,4.0,33,1.1,6933k,4744
|
BRO,5,1,0,0,0
Vi,LeBlanc,Azir,Jax,Annie
HLE,12,10,4,1,2
Neeko,Poppy,Renekton,Gragas,KSante
Morgan
Camille,Teleport,Flash,3364,2420,2055,6632,6333,3047
0/3/4,1.3,273,9.1,10700k,16007
UmTi
Maokai,Smite,Flash,3364,3076,3047,6667,6660
1/4/5,1.5,196,6.5,11012k,8228
Ivory
Jayce,Flash,Teleport,3363,3042,1055,6691,1036,2422
0/4/6,1.5,263,8.7,11164k,13412
Hena
Aphelios,Boost,Flash,3363,3006,6672,6671,3035,1018
7/3/2,3.0,304,10.1,13595k,16355
Effort
Yuumi,Heal,Exhaust,3364,3853,4005,6620
1/3/8,3.0,36,1.2,7248k,3566
kingen
Gnar,Teleport,Flash,3364,1038,2421,3053,3078,3047
2/2/6,4.0,316,10.5,13978k,16880
Clid
Sejuani,Smite,Flash,3364,3047,3075,2420,2055,6660,6667
0/2/16,8.0,195,6.5,10726k,7402
Zeka
Yone,Teleport,Flash,3364,3072,6671,6333,3006
8/2/7,7.5,338,11.2,15989k,21225
Viper
Tristana,Boost,Flash,3363,6671,3072,6672,3006
7/0/6,13.0,311,10.3,14374k,19876
Life
Milio,Heal,Flash,3364,3853,2065,3114,3158
0/3/12,4.0,33,1.1,6933k,4744
|
