NS,5,2,0,0,0
Caitlyn,Ryze,Ashe,Kassadin,Gnar
DK,9,7,4,1,2
Wukong,Vi,Viego,Jax,KSante
DnDn
Irelia,Teleport,Flash,3364,3047,3153,2055,1011,6665,1029
0/2/2,1.0,274,8.6,10471k,5946
Sylvie
Sejuani,Smite,Flash,3364,3047,3067,2055,6667,1011,1028
0/2/4,2.0,132,4.1,7801k,6295
FIESTA
Syndra,Teleport,Flash,3363,2421,3191,6655,3040,3108,3020
2/2/1,1.5,300,9.4,11500k,12722
Vital
Zeri,Barrier,Flash,3363,6675,3085,1018,3035,6673,3006
3/1/1,4.0,364,11.4,14054k,8541
Peter
Yuumi,Heal,Exhaust,3364,3853,6617,3114,1057
0/2/4,2.0,4,0.1,6237k,3095
Canna
Renekton,Teleport,Flash,3364,3111,6630,3026,6333,1036
2/1/5,7.0,293,9.2,14041k,12419
Canyon
Elise,Smite,Flash,3364,2055,2421,3145,4636,4630,3020
3/0/3,6.0,190,6,10910k,7261
ShowMaker
Jayce,Teleport,Flash,3363,6694,2421,3111,3042,6692
3/0/5,8.0,328,10.3,13975k,17010
Deft
Lucian,Flash,Teleport,3363,3035,6671,2422,3094,3031,1018
1/2/4,2.5,307,9.6,13214k,12930
Kellin
Nami,Heal,Flash,3364,3853,1057,4005,3158,3114
0/2/9,4.5,7,0.2,7528k,5880
|
DK,13,9,4,1,2
Wukong,Ashe,Kassadin,Ahri,Renekton
NS,7,1,1,0,0
Caitlyn,Elise,Ryze,Gnar,Jayce
DnDn
Fiora,Teleport,Haste,3364,3181,6632,3047,3074,1037,3133
0/2/2,1.0,274,8.6,10471k,5946
Sylvie
Sejuani,Smite,Flash,3364,2055,1031,6660,6667,4401,3047
0/2/4,2.0,132,4.1,7801k,6295
FIESTA
Sylas,Teleport,Flash,3363,3089,3157,3111,6657,1052
2/2/1,1.5,300,9.4,11500k,12722
Vital
Lucian,Flash,Dot,3363,3035,6671,3094,3158,3508,3031
3/1/1,4.0,364,11.4,14054k,8541
Peter
Nami,Heal,Flash,3364,3853,4005,3158,3916,4642
0/2/4,2.0,4,0.1,6237k,3095
Canna
KSante,Teleport,Flash,3364,6662,3105,2055,3075,6660,3047
2/1/5,7.0,293,9.2,14041k,12419
Canyon
Vi,Smite,Flash,3364,6609,6667,2055,3066,3111,1028
3/0/3,6.0,190,6,10910k,7261
ShowMaker
Azir,Teleport,Flash,3363,1052,2055,3115,3020,4644,3135
3/0/5,8.0,328,10.3,13975k,17010
Deft
Zeri,Barrier,Flash,3363,6673,3046,3031,3006,3035,1018
1/2/4,2.5,307,9.6,13214k,12930
Kellin
Yuumi,Heal,Exhaust,3364,3853,2065,3916,4642,2055
0/2/9,4.5,7,0.2,7528k,5880
|
