T1,VICTORY,13,7,3,1,1
KSante,Leblanc,Sejuani,Tristana,Azir
KDF,DEFEAT,4,2,0,0,1
Vi,Rumble,Neeko,Braum,Xayah
Zeus
Aatrox,Teleport,Flash,3364,6691,3071,3133,1033,3047
5/1/6,11.0,210,8.9,11030,16071
Oner
Maokai,Smite,Flash,3364,3111,4637,3105,1011
1/0/10,11.0,146,6.2,8490,7181
Faker
Jayce,Teleport,Flash,3363,6691,3042,2055,1038,1054,3111
0/3/5,1.7,226,9.5,9629,7394
Gumayusi
Zeri,Boost,Flash,3364,1055,3087,6675,3006,1038,1053
6/0/4,10.0,272,11.5,12299,12164
Keria
Rakan,Dot,Flash,3364,6667,3860,3111
1/0/9,10.0,28,1.2,6309,2920
DuDu
Renekton,Teleport,Flash,3364,3071,3047,6630,3123
2/3/0,0.7,210,8.9,8821,7665
YoungJae
Rell,Flash,Smite,3364,3001,3111,6660,2055,3023,1029
0/3/4,1.3,136,5.7,7308,3784
Bulldog
Xerath,Teleport,Flash,3363,1056,2055,6653,3116,3020
1/2/3,2.0,209,8.8,7978,15222
Taeyoon
Kaisa,Flash,Boost,3363,2055,1055,1042,6675,6672,3006
1/2/1,1.0,248,10.5,9098,6047
Andil
Nautilus,Dot,Flash,3364,3860,2055,3001,3111
0/3/3,1.0,26,1.1,4873,2170
|
T1,VICTORY,15,10,2,1,2
KSante,Leblanc,Sejuani,Rakan,Viego
KDF,DEFEAT,3,2,0,0,0
Vi,Rumble,Neeko,Nautilus,Draven
Zeus
Aatrox,Teleport,Flash,3364,6691,3071,3155,3047
5/1/6,11.0,210,8.9,11030,16071
Oner
Maokai,Smite,Flash,3364,4637,6667,3067,3111
1/0/10,11.0,146,6.2,8490,7181
Faker
Jayce,Teleport,Flash,3363,3042,3133,2055,6691,3035,3111
0/3/5,1.7,226,9.5,9629,7394
Gumayusi
Kaisa,Boost,Flash,3364,3115,2421,3087,3006,3124
6/0/4,10.0,272,11.5,12299,12164
Keria
Alistar,Dot,Flash,3364,3190,3860,3067,3117
1/0/9,10.0,28,1.2,6309,2920
DuDu
Renekton,Teleport,Flash,3364,1055,3071,6630,2055,3047,3123
2/3/0,0.7,210,8.9,8821,7665
YoungJae
Rell,Flash,Smite,3364,3001,6660,3111,2055,1033,1029
0/3/4,1.3,136,5.7,7308,3784
Bulldog
Xerath,Teleport,Flash,3363,1052,1056,6653,3116,3020
1/2/3,2.0,209,8.8,7978,15222
Taeyoon
Zeri,Flash,Boost,3363,1055,1053,1018,6675,3087,3006
1/2/1,1.0,248,10.5,9098,6047
Andil
Braum,Dot,Flash,3364,2055,3190,3857,3111
0/3/3,1.0,26,1.1,4873,2170
