LSB,VICTORY,23,10,1,1,1
Vi,Poppy,Leblanc,Renekton,Alistar
DRX,DEFEAT,5,0,3,0,1
Sejuani,Neeko,Azir,Irelia,Annie
Clear
Jax,Teleport,Flash,3340,3111,2055,2421,3161,3191,6632
2/1/12,14.0,216,7.8,11852,14824
Willer
Nocturne,Flash,Smite,3364,2420,3111,3053,6631,1031
4/1/16,20.0,179,6.5,11681,12264
Clozer
Ahri,Teleport,Flash,3364,6656,3157,1058,4645,3158
3/0/15,18.0,269,9.8,12584,16086
Teddy
Kaisa,Flash,Boost,3363,3006,2421,3124,3087,3115
14/2/5,9.5,269,9.8,15083,23171
Kael
Rell,Dot,Flash,3364,3860,2421,3001,3111
0/1/14,14.0,32,1.2,7577,2903
Rascal
Rumble,Flash,Teleport,3363,1026,4637,3020,4636
3/7/1,0.6,183,6.6,9696,20792
Croco
Maokai,Smite,Flash,3364,1033,2055,3067,6660,6667,3158
0/4/3,0.8,128,4.6,7355,8375
FATE
Jayce,Teleport,Flash,3363,3042,6691,3133,3111,2055,1055
2/4/2,1.0,246,8.9,9922,13671
Paduck
Aphelios,Flash,Boost,3363,6671,2420,6672,3006,1053
0/5/2,0.4,265,9.6,9881,5577
BeryL
Braum,Exhaust,Flash,3364,3857,3190,2055,3111,3067
0/3/3,1.0,43,1.6,5908,5071
|
DRX,DEFEAT,2,1,0,0,1
Neeko,Vi,Leblanc,Blitzcrank,Nautilus
LSB,VICTORY,14,10,4,2,1
Poppy,Sejuani,Tristana,Skarner,Renekton
Clear
Gragas,Flash,Teleport,3364,6656,2421,3108,3158,3135
2/1/12,14.0,216,7.8,11852,14824
Willer
Khazix,Smite,Flash,3364,2055,3179,3047,3134,6692,1036
4/1/16,20.0,179,6.5,11681,12264
Clozer
Azir,Teleport,Flash,3363,2420,1058,3115,3020,6653,2055
3/0/15,18.0,269,9.8,12584,16086
Teddy
Xayah,Flash,Boost,3363,3036,6675,6672,3006
14/2/5,9.5,269,9.8,15083,23171
Kael
Rakan,Dot,Flash,3364,3860,6667,2055,3111
0/1/14,14.0,32,1.2,7577,2903
Rascal
Jax,Teleport,Flash,3340,6632,2055,2420,3161,1052,3111
3/7/1,0.6,183,6.6,9696,20792
Croco
MonkeyKing,Flash,Smite,3364,6632,3071,3111,2421
0/4/3,0.8,128,4.6,7355,8375
FATE
Yone,Teleport,Flash,3364,6671,2055,6673,3006,3026,1053
2/4/2,1.0,246,8.9,9922,13671
Paduck
Kaisa,Flash,Boost,3363,3006,2420,3124,3087,3115
0/5/2,0.4,265,9.6,9881,5577
BeryL
Maokai,Dot,Flash,3364,3165,3860,2424,3001,3047
0/3/3,1.0,43,1.6,5908,5071
