LSB,VICTORY,11,9,3,1,2
KSante,Vi,Milio,Sion,Khazix
NS,DEFEAT,2,1,1,0,0
Neeko,Maokai,Sejuani,MonkeyKing,LeeSin
Burdol
Gragas,Teleport,Flash,3364,3024,1029,6665,3068,3158
1/0/8,9.0,217,8,10078,11776
Willer
Graves,Flash,Smite,3364,3071,3111,3142
0/1/9,9.0,176,6.5,10345,9136
Clozer
Ahri,Teleport,Flash,3364,6656,3135,2055,4628,3111
2/1/7,9.0,257,9.4,11530,12031
Teddy
Zeri,Flash,Boost,3363,3006,3085,3077,1011,3078,2055
8/0/3,11.0,271,10,13536,15327
Kael
Yuumi,Heal,Exhaust,3364,1028,2055,3853,3114,6620,1004
0/0/11,11.0,8,0.3,6653,6295
DnDn
Poppy,Teleport,Flash,3363,6665,3068,2055,3076,3111
0/2/2,1.0,223,8.2,9154,16269
Sylvie
Viego,Smite,Flash,3364,6632,3111,2055,3133,3067
0/4/1,0.2,142,5.2,7414,2492
Quad
Annie,Teleport,Flash,3364,3020,3152,2424,3135,1052
0/2/1,0.5,205,7.5,8679,11081
Vital
Xayah,Boost,Flash,3363,3006,6671,3035,6672,1018
2/2/0,1.0,292,10.7,11284,10774
Peter
Rakan,Flash,Dot,3364,3860,2065,3158
0/1/1,1.0,29,1.1,5216,1812
|
NS,DEFEAT,6,1,1,0,1
Maokai,Zeri,Sejuani,Leblanc,Syndra
LSB,VICTORY,18,9,1,1,1
Vi,Neeko,Lucian,Gwen,Malphite
Burdol
Sion,Teleport,Haste,3363,3009,6667,2055,3076,3068
1/0/8,9.0,217,8,10078,11776
Willer
Khazix,Smite,Flash,3364,3179,3814,2055,1036,3134,3047
0/1/9,9.0,176,6.5,10345,9136
Clozer
Cassiopeia,Teleport,Flash,3364,6657,3116,3040
2/1/7,9.0,257,9.4,11530,12031
Teddy
Aphelios,Boost,Flash,3363,3095,6671,1036,3006,1018,1036
8/0/3,11.0,271,10,13536,15327
Kael
Yuumi,Heal,Exhaust,3364,3853,6620,3114,3113
0/0/11,11.0,8,0.3,6653,6295
DnDn
KSante,Teleport,Flash,3364,2055,3193,6662,3068,3047
0/2/2,1.0,223,8.2,9154,16269
Sylvie
MonkeyKing,Flash,Smite,3364,3071,6632,3111,1029
0/4/1,0.2,142,5.2,7414,2492
Quad
Annie,Teleport,Flash,3364,3152,3157,2055,1056,3020,1058
0/2/1,0.5,205,7.5,8679,11081
Vital
Jinx,Flash,Haste,3363,3006,6671,3035,6672,3094,2055
2/2/0,1.0,292,10.7,11284,10774
Peter
Milio,Heal,Flash,3364,3504,3860,2065,3158,1004
0/1/1,1.0,29,1.1,5216,1812
