HLE,5,1,2,0,1
Poppy,Vi,LeBlanc,LeeSin,Nautilus
BRO,18,9,2,2,1
Yone,Neeko,Annie,Aphelios,Xayah
kingen
Jax,Teleport,Flash,3340,6632,2420,2055,3111,3071,3108
2/3/0,0.7,237,7.9,10660k,11350
Grizzly
Sejuani,Smite,Flash,3364,6667,3068,2055,3111,1057
0/5/4,0.8,156,5.2,8781k,5635
Zeka
Tristana,Teleport,Flash,3363,6675,6672,2055,3111,3072
2/4/1,0.8,312,10.4,12176k,8368
Viper
Ezreal,Heal,Flash,3363,3078,3042,6694,3158
1/4/0,0.2,328,10.9,12005k,16803
Life
Rell,Dot,Flash,3364,3860,2055,2420,3001,1029,3158
0/3/3,1.0,38,1.3,6307k,3849
Morgan
Gragas,Teleport,Flash,3364,3157,6656,2055,1058,3135,3158
3/1/8,11.0,268,8.9,13132k,21856
UmTi
Skarner,Smite,Flash,3364,3742,1011,3047,3001,6660
4/2/10,7.0,170,5.6,12040k,5925
Karis
Azir,Flash,Teleport,3364,6653,2420,3135,3020,3115
3/1/10,13.0,296,9.8,13906k,17546
Hena
Kaisa,Boost,Flash,3363,3046,3035,6675,3006,6672
8/1/6,14.0,310,10.3,15127k,16322
Effort
Rakan,Flash,Dot,3364,3860,2031,6667,3012,3111
0/0/15,15.0,53,1.8,8800k,4295
|
HLE,9,8,2,1,2
Poppy,Tristana,LeBlanc,Skarner,Sejuani
BRO,4,2,2,0,0
Yone,Neeko,Annie,Rakan,Nautilus
kingen
Renekton,Teleport,Flash,3364,3026,6630,3067,3071,3047,1057
2/3/0,0.7,237,7.9,10660k,11350
Grizzly
LeeSin,Smite,Flash,3340,6630,2421,3111,3071,1031
0/5/4,0.8,156,5.2,8781k,5635
Zeka
Akali,Teleport,Flash,3364,3152,3157,3020,3087,1058
2/4/1,0.8,312,10.4,12176k,8368
Viper
Kaisa,Heal,Flash,3363,4630,2421,3115,3087,3124,3006
1/4/0,0.2,328,10.9,12005k,16803
Life
Rell,Dot,Flash,3364,3860,2421,3001,3158,1029
0/3/3,1.0,38,1.3,6307k,3849
Morgan
KSante,Teleport,Flash,3364,1033,2055,3193,6665,3075,3111
3/1/8,11.0,268,8.9,13132k,21856
UmTi
Vi,Smite,Flash,3364,1033,1036,2055,6632,3071,3047
4/2/10,7.0,170,5.6,12040k,5925
Karis
Azir,Flash,Teleport,3364,6655,2420,3115,3020,3108,4645
3/1/10,13.0,296,9.8,13906k,17546
Hena
Aphelios,Boost,Flash,3363,3156,3072,6671,6672,1001
8/1/6,14.0,310,10.3,15127k,16322
Effort
Alistar,Flash,Exhaust,3364,3860,2055,1029,6667,3158
0/0/15,15.0,53,1.8,8800k,4295
|
BRO,6,3,1,0,2
Yone,Annie,LeBlanc,Viego,LeeSin
HLE,14,8,4,2,0
Poppy,Vi,Neeko,Akali,Tristana
kingen
Jax,Teleport,Flash,3340,3157,2055,6632,3161,3111
2/3/0,0.7,237,7.9,10660k,11350
Grizzly
Sejuani,Smite,Flash,3364,6660,1011,3001,8020,3047
0/5/4,0.8,156,5.2,8781k,5635
Zeka
Veigar,Flash,Teleport,3364,6657,1058,3040,3111,1058,3135
2/4/1,0.8,312,10.4,12176k,8368
Viper
Kaisa,Boost,Flash,3363,3020,4630,3115,3087,3124
1/4/0,0.2,328,10.9,12005k,16803
Life
Rell,Flash,Dot,3364,3860,1028,2055,6667,3111
0/3/3,1.0,38,1.3,6307k,3849
Morgan
Renekton,Teleport,Flash,3363,3026,6630,3111,3071,1033
3/1/8,11.0,268,8.9,13132k,21856
UmTi
Maokai,Smite,Flash,3364,6667,4637,3111,8020
4/2/10,7.0,170,5.6,12040k,5925
Karis
Azir,Teleport,Flash,3363,3115,3108,2421,3089,6653,3111
3/1/10,13.0,296,9.8,13906k,17546
Hena
Xayah,Boost,Flash,3363,6675,6672,3156,3046,3006
8/1/6,14.0,310,10.3,15127k,16322
Effort
Rakan,Dot,Flash,3364,3860,3190,3067,1057,3111
0/0/15,15.0,53,1.8,8800k,4295
|
