NS,15,6,4,0,2
Ashe,Varus,Caitlyn,Camille,Kassadin
BRO,11,8,2,2,0
KSante,Ryze,Yuumi,Jayce,Ahri
DnDn
Renekton,Teleport,Flash,3363,6693,3026,6694,3123,3158,3153
3/2/7,5.0,378,9.7,17324k,25020
Sylvie
Vi,Smite,Flash,3364,6609,3742,2421,6667,2055,3111
2/2/8,5.0,198,5.1,12486k,8514
FIESTA
Akali,Teleport,Flash,3364,3157,3152,3089,4645,3111,1082
7/2/3,5.0,345,8.8,16938k,18492
Vital
Zeri,Barrier,Flash,3363,3026,3006,1018,3046,3031,6673
3/2/5,4.0,407,10.4,16361k,17413
Peter
Lulu,Flash,Heal,3364,3853,2065,3158,3222,2055
0/3/13,4.3,14,0.4,8187k,2498
Morgan
Fiora,Teleport,Haste,3364,3181,2055,6333,3074,6632,3047
2/3/0,0.7,391,10,18389k,15713
UmTi
Maokai,Smite,Flash,3364,3158,6667,8001,4637
0/3/9,3.0,192,4.9,13705k,34320
Karis
Azir,Flash,Teleport,3364,4644,2420,3135,3020,1058,4645
5/3/3,2.7,286,7.3,15709k,21139
Hena
Lucian,Exhaust,Flash,3363,3047,3094,6671,3031,3036,1038
4/5/2,1.2,357,9.2,17819k,20071
Effort
Nami,Flash,Heal,3364,3853,3114,4005,3011,3158
0/1/7,7.0,24,0.6,9725k,4816
|
BRO,11,9,3,0,1
Vi,Yuumi,Ashe,Wukong,Jayce
NS,5,1,1,0,1
Caitlyn,Varus,Maokai,Camille,Elise
DnDn
Renekton,Teleport,Flash,3364,6630,2421,1029,4401,3111
3/2/7,5.0,378,9.7,17324k,25020
Sylvie
Sejuani,Smite,Flash,3364,3158,8020,6667
2/2/8,5.0,198,5.1,12486k,8514
FIESTA
Ryze,Flash,Teleport,3364,6657,2420,3040,3111,3135
7/2/3,5.0,345,8.8,16938k,18492
Vital
Lucian,Boost,Flash,3363,3094,3134,6671,3035,3031,2422
3/2/5,4.0,407,10.4,16361k,17413
Peter
Nami,Flash,Heal,3364,3853,1033,3114,4005,3158
0/3/13,4.3,14,0.4,8187k,2498
Morgan
Gragas,Teleport,Flash,3364,3111,3068,1011,3803,3076,6667
2/3/0,0.7,391,10,18389k,15713
UmTi
Viego,Smite,Flash,3364,6632,3742,2055,3047,1028
0/3/9,3.0,192,4.9,13705k,34320
Karis
Viktor,Teleport,Flash,3363,1058,1026,1052,6655,3135,3111
5/3/3,2.7,286,7.3,15709k,21139
Hena
Zeri,Barrier,Flash,3363,6673,3046,3006,3036
4/5/2,1.2,357,9.2,17819k,20071
Effort
Lulu,Flash,Heal,3364,3853,2065,3158,2055
0/1/7,7.0,24,0.6,9725k,4816
|
