NS,11,4,1,0,1
Caitlyn,Lucian,Ashe,Akali,Sylas
HLE,13,11,4,1,1
Maokai,Elise,KSante,Jax,Renekton
DnDn
Gnar,Teleport,Flash,3363,3053,3026,2055,6609,3047,3078
4/4/4,2.0,345,8.9,15523k,21768
Sylvie
Sejuani,Smite,Flash,3364,6660,3083,1028,6667,3158,2055
0/2/4,2.0,183,4.7,10127k,6906
FIESTA
Jayce,Teleport,Flash,3363,2055,3142,6694,3042,3158,6692
3/2/3,3.0,309,8,15072k,22431
Vital
Ziggs,Teleport,Flash,3363,6653,3040,3089,3020,4645
3/2/5,4.0,340,8.8,15236k,22390
Peter
Leona,Flash,Dot,3364,3860,3111,3001,3067,1011
1/3/7,2.7,36,0.9,8342k,4153
kingen
Camille,Teleport,Flash,3364,3026,3161,3047,1037,3074,6632
2/4/5,1.8,351,9.1,16702k,17855
Clid
MonkeyKing,Smite,Flash,3364,2420,3053,1031,3111,6632,3071
2/2/6,4.0,222,5.7,13888k,9364
Zeka
Azir,Teleport,Flash,3363,3089,3102,2421,3158,6655,4645
4/3/4,2.7,370,9.6,16646k,21047
Viper
Varus,Boost,Flash,3363,3142,3814,6691,3042,3009
4/0/5,9.0,378,9.8,16652k,40447
Life
Heimerdinger,Dot,Flash,3364,3853,3116,3165,3158
1/2/4,2.5,36,0.9,9686k,9664
|
NS,6,1,3,1,2
Caitlyn,Lucian,Ashe,Akali,Azir
HLE,13,10,2,0,0
Maokai,Elise,Sejuani,KSante,Jax
DnDn
Sion,Teleport,Flash,3364,6660,3047,1057,3110,6665,3066
4/4/4,2.0,345,8.9,15523k,21768
Sylvie
MonkeyKing,Smite,Flash,3364,3047,3123,2055,3071,6632,1033
0/2/4,2.0,183,4.7,10127k,6906
FIESTA
Viktor,Haste,Flash,3363,3089,6653,3040,3020,3916
3/2/3,3.0,309,8,15072k,22431
Vital
Xayah,Heal,Flash,3363,3006,6671,3094,3036,6675
3/2/5,4.0,340,8.8,15236k,22390
Peter
Rakan,Flash,Dot,3364,3860,2065,3067,3158,2055
1/3/7,2.7,36,0.9,8342k,4153
kingen
Gnar,Teleport,Flash,3364,3026,3193,1026,3071,3111,3078
2/4/5,1.8,351,9.1,16702k,17855
Clid
Viego,Smite,Flash,3364,1028,3047,3742,1057,6632
2/2/6,4.0,222,5.7,13888k,9364
Zeka
Kassadin,Teleport,Flash,3364,3040,3135,3157,6657,3020,1058
4/3/4,2.7,370,9.6,16646k,21047
Viper
Zeri,Haste,Flash,3363,3031,6673,3072,1018,3006
4/0/5,9.0,378,9.8,16652k,40447
Life
Lulu,Heal,Flash,3364,3853,2065,3158,3114,1052
1/2/4,2.5,36,0.9,9686k,9664
|
