T1,11,11,2,1,0
Maokai,Kassadin,Zeri,Jax,Azir
DRX,8,1,2,0,1
Elise,Ashe,Lucian,Jayce,Sylas
Zeus
Fiora,Haste,Teleport,3364,2420,6632,3074,3161,3111
5/1/2,7.0,311,9,15529k,23812
Oner
Sejuani,Smite,Flash,3364,3047,6667,3083,3076,1011
3/1/5,8.0,162,4.7,11370k,8539
Faker
Viktor,Haste,Flash,3363,2421,4644,3108,3135,3158,3100
2/3/4,2.0,290,8.3,13543k,21058
Gumayusi
Caitlyn,Heal,Flash,3363,3031,2015,6671,3006,3072,3086
1/2/5,3.0,339,9.8,14708k,12293
Keria
Lux,Dot,Flash,3364,2065,3853,3222,3158
0/1/6,6.0,33,1,8522k,9818
Rascal
KSante,Haste,Teleport,3364,3075,6665,3105,2055,3068,3047
1/4/1,0.5,256,7.4,12271k,12153
Croco
Vi,Smite,Flash,3364,2055,1011,1057,6667,3071,3111
1/1/4,5.0,180,5.2,10430k,9172
FATE
Akali,Teleport,Flash,3364,1058,3152,3165,3111,1082,4630
4/2/2,3.0,288,8.3,12796k,17058
deokdam
Varus,Flash,Heal,3363,3142,3042,2055,3035,3009,6692
1/1/2,3.0,300,8.6,12161k,18323
BeryL
Karma,Dot,Flash,3364,3853,2065,2055,1057,3114,3158
1/3/5,2.0,33,1,7694k,8551
|
DRX,7,1,0,0,0
No ban,Lucian,No ban,Jayce,No ban
T1,19,9,3,1,1
Vi,No ban,Poppy,No ban,Maokai
Zeus
Renekton,Flash,Teleport,3364,6630,3071,1001,1036,2055
5/1/2,7.0,311,9,15529k,23812
Oner
MonkeyKing,Smite,Flash,3364,2055,1036,1033,1036,6632,3047
3/1/5,8.0,162,4.7,11370k,8539
Faker
Sylas,Teleport,Flash,3364,2421,2055,4645,2422,6657,1082
2/3/4,2.0,290,8.3,13543k,21058
Gumayusi
Jhin,Flash,Heal,3363,6671,2031,3036,3009,3086
1/2/5,3.0,339,9.8,14708k,12293
Keria
Ashe,Barrier,Flash,3364,3864,3179,2055,3158,3067,1052
0/1/6,6.0,33,1,8522k,9818
Rascal
Sion,Teleport,Flash,3364,3068,6665,1033,2055,1029,3047
1/4/1,0.5,256,7.4,12271k,12153
Croco
Nidalee,Smite,Flash,3364,2055,3152,4645,3020
1/1/4,5.0,180,5.2,10430k,9172
FATE
Azir,Teleport,Flash,3363,3108,3165,2421,3158,4644
4/2/2,3.0,288,8.3,12796k,17058
deokdam
Varus,Heal,Flash,3363,6693,3142,3009,1036,3042
1/1/2,3.0,300,8.6,12161k,18323
BeryL
Caitlyn,Barrier,Flash,3364,3142,3864,2421,3158,3179
1/3/5,2.0,33,1,7694k,8551
|
