HLE,17,7,3,0,2
KSante,Maokai,Vi,Renekton,Jax
DRX,1,1,0,0,0
Milio,Yuumi,Neeko,Lulu,Zilean
kingen
Gragas,Teleport,Flash,3364,2055,3068,6667,3070,3158,3067
2/0/6,8.0,189,8.3,8662k,12087
Clid
Viego,Smite,Flash,3364,2055,1036,3067,6632,3133,3111
2/1/8,10.0,183,8,9731k,7000
Zeka
Annie,Teleport,Flash,3364,4645,3158,6653
3/0/7,10.0,190,8.3,9026k,16358
Viper
Aphelios,Boost,Flash,3363,6671,1018,6672,3006
6/0/5,11.0,204,9,10654k,14416
Life
Blitzcrank,Dot,Flash,3364,3857,6656,2055,3117
4/0/6,10.0,26,1.1,6338k,4582
Rascal
Malphite,Flash,Teleport,3364,3024,3068,3105,3067,3111
0/1/1,1.0,172,7.5,7736k,6805
Croco
MonkeyKing,Smite,Flash,3364,2055,1028,6632,3111
1/2/0,0.5,104,4.6,6350k,3573
Kyeahoo
Ahri,Teleport,Flash,3364,2033,1056,6656,1028,1082,3111
0/3/0,0.0,151,6.6,6192k,5289
Paduck
Xayah,Flash,Boost,3363,1083,2055,6672,3006,3133,1018
0/5/0,0.0,172,7.5,7669k,6823
BeryL
Rakan,Dot,Flash,3364,3860,2424,2055,3067,3111,4642
0/6/1,0.2,34,1.5,4841k,3230
|
DRX,3,0,0,0,0
Annie,Blitzcrank,Vi,Viego,Volibear
HLE,16,9,3,1,2
Neeko,KSante,Yuumi,Lucian,Draven
kingen
Jax,Flash,Teleport,3340,3047,3067,3133,6632,1036
2/0/6,8.0,189,8.3,8662k,12087
Clid
MonkeyKing,Smite,Flash,3364,1036,3067,2055,3133,6632,2422
2/1/8,10.0,183,8,9731k,7000
Zeka
Gragas,Teleport,Flash,3364,3145,2420,6656,3916,3158
3/0/7,10.0,190,8.3,9026k,16358
Viper
Jinx,Flash,Haste,3363,6671,2055,6672,1036,1018,3006
6/0/5,11.0,204,9,10654k,14416
Life
Milio,Heal,Flash,3364,3860,2065,2055,1004,2422,3113
4/0/6,10.0,26,1.1,6338k,4582
Rascal
Renekton,Teleport,Flash,3364,3071,6630,1055,3047,1028
0/1/1,1.0,172,7.5,7736k,6805
Croco
LeeSin,Smite,Flash,3340,6630,2420,2055,3071,3047
1/2/0,0.5,104,4.6,6350k,3573
Kyeahoo
Ahri,Teleport,Flash,3364,4628,6656,2055,1052,3158,3102
0/3/0,0.0,151,6.6,6192k,5289
Paduck
Aphelios,Haste,Flash,3363,6671,1038,1036,6672,3006
0/5/0,0.0,172,7.5,7669k,6823
BeryL
Nautilus,Dot,Flash,3364,3860,2031,2421,2055,3001,3117
0/6/1,0.2,34,1.5,4841k,3230
|
