NS,DEFEAT,7,0,0,1,1
Caitlyn,Ashe,Lucian,Gnar,Kassadin
GEN,VICTORY,15,11,4,1,1
Maokai,Elise,Annie,Gragas,Renekton
DnDn
Ornn,Teleport,Flash,3363,3047,7027,2055,3068,3082,1028
0/4/3,0.8,240,8.1,9624,6204
Sylvie
MonkeyKing,Smite,Flash,3364,6632,3067,2055,3111,3133,1036
0/5/5,1.0,125,4.2,7889,4177
FIESTA
Akali,Teleport,Flash,3364,2421,items/7011,1052,3108,3111,3916
0/6/1,0.2,215,7.3,9240,14020
Vital
Zeri,Boost,Flash,3363,3006,items/7008,3036,3046,3072
7/0/0,7.0,288,9.7,14598,21193
Peter
Lulu,Flash,Heal,3364,3860,3067,3222,3158,1052,2055
0/0/7,7.0,26,0.9,6629,3073
Doran
Jayce,Teleport,Flash,3363,6692,3142,3035,6695,3042,3158
4/0/2,6.0,302,10.2,14606,25105
Peanut
Sejuani,Flash,Smite,3364,6667,3068,3158,1033,2055,3083
4/3/6,3.3,167,5.6,11381,7274
Chovy
Sylas,Teleport,Flash,3364,6657,3157,2055,1082,3158,3135
5/1/5,10.0,282,9.5,14065,25136
Peyz
Varus,Heal,Flash,3363,3142,2422,3042,6692
2/1/5,7.0,261,8.8,11883,14282
Delight
Karma,Dot,Flash,3364,2065,3158,3853,2055,3916,3114
0/2/10,5.0,28,0.9,8239,7818
|
NS,DEFEAT,11,2,2,0,2
Caitlyn,Ashe,Lucian,Gnar,Jayce
GEN,VICTORY,20,10,3,2,0
Maokai,Elise,Annie,Gragas,Renekton
DnDn
KSante,Teleport,Flash,3364,6662,3193,3075,3047,1057
0/4/3,0.8,240,8.1,9624,6204
Sylvie
MonkeyKing,Smite,Flash,3364,6632,2421,2055,3071,3111
0/5/5,1.0,125,4.2,7889,4177
FIESTA
Akali,Teleport,Flash,3364,3157,3152,1058,1058,3135,3111
0/6/1,0.2,215,7.3,9240,14020
Vital
Zeri,Boost,Flash,3363,3006,3031,3036,3046,1053,6673
7/0/0,7.0,288,9.7,14598,21193
Peter
Lulu,Flash,Heal,3364,3860,2065,3158,1057,1004,2055
0/0/7,7.0,26,0.9,6629,3073
Doran
Jax,Teleport,Flash,3340,3071,3157,3082,3111,3161,6632
4/0/2,6.0,302,10.2,14606,25105
Peanut
Sejuani,Flash,Smite,3364,6660,6667,3047,1031,3083
4/3/6,3.3,167,5.6,11381,7274
Chovy
Kassadin,Teleport,Flash,3364,6657,3157,3040,3111,3089
5/1/5,10.0,282,9.5,14065,25136
Peyz
Varus,Heal,Flash,3363,3142,3009,6694,3042,6692
2/1/5,7.0,261,8.8,11883,14282
Delight
Karma,Dot,Flash,3364,2065,3011,3853,3158,1028
0/2/10,5.0,28,0.9,8239,7818
