HLE,12,8,3,1,0
Karma,Sejuani,Varus,KSante,Gragas
NS,3,3,0,0,2
Caitlyn,Annie,Ashe,Gnar,Akali
kingen
Ornn,Teleport,Flash,3363,1054,7027,3076,3047,1011
0/0/5,5.0,183,7.3,8256k,11255
Clid
Elise,Smite,Flash,3364,2421,4636,1052,3020
2/1/3,5.0,146,5.9,8241k,6801
Zeka
Jayce,Teleport,Flash,3363,1055,3158,2424,6692,3042,6694
5/0/3,8.0,238,9.6,11955k,24885
Viper
Lucian,Dot,Flash,3363,items/7006,2055,3094,3031,1001
5/1/3,8.0,232,9.3,12172k,19678
Life
Nami,Heal,Flash,3364,3853,2055,2420,4005,3916,3158
0/1/12,12.0,8,0.3,6983k,3392
DnDn
Renekton,Teleport,Flash,3364,6630,3053,2055,3047,3082
1/3/0,0.3,220,8.8,9592k,8893
Sylvie
Vi,Smite,Flash,3364,3071,3067,2055,3111,1033,1028
0/3/3,1.0,146,5.9,7497k,5073
FIESTA
Ahri,Teleport,Flash,3364,3157,6656,2055,1082,3158
0/3/2,0.7,200,8,7834k,6291
Vital
Zeri,Barrier,Flash,3363,1055,6673,2055,3072,3006,1036
2/2/1,1.5,223,8.9,9509k,10068
Peter
Lulu,Flash,Heal,3364,3853,2065,2031,3158,2055
0/1/3,3.0,8,0.3,5032k,3534
|
NS,5,0,0,0,0
Ashe,Lucian,Akali,Gnar,Kassadin
HLE,20,9,2,0,2
Annie,Varus,Sejuani,Vi,Wukong
kingen
KSante,Teleport,Haste,3364,6662,1033,1029,3047
0/0/5,5.0,183,7.3,8256k,11255
Clid
Viego,Smite,Flash,3364,6632,1102,2055,1036,2422
2/1/3,5.0,146,5.9,8241k,6801
Zeka
Syndra,Teleport,Flash,3363,2424,6655,3067,1001,3070,1056
5/0/3,8.0,238,9.6,11955k,24885
Viper
Ezreal,Heal,Flash,3363,3508,2031,3133,3070,2422
5/1/3,8.0,232,9.3,12172k,19678
Life
Karma,Flash,Dot,3364,3851,2065,1001,2055
0/1/12,12.0,8,0.3,6983k,3392
DnDn
Jayce,Teleport,Flash,3363,6692,3158,3004,3035,1036,1083
1/3/0,0.3,220,8.8,9592k,8893
Sylvie
LeeSin,Smite,Flash,3340,6630,1028,3133,1103,3111
0/3/3,1.0,146,5.9,7497k,5073
FIESTA
Gragas,Teleport,Flash,3364,3158,6657,3070,1056,1058
0/3/2,0.7,200,8,7834k,6291
Vital
Caitlyn,Heal,Flash,3363,6671,3094,1038,1001
2/2/1,1.5,223,8.9,9509k,10068
Peter
Lux,Dot,Flash,3364,3853,2031,4644,3158
0/1/3,3.0,8,0.3,5032k,3534
|
