T1,DEFEAT,3,3,1,0,1
Maokai,Sejuani,Ryze,Kassadin,KSante
KT,VICTORY,13,7,3,1,1
Caitlyn,Lissandra,Leblanc,Jayce,Azir
Zeus
Gnar,Teleport,Flash,3364,3078,3071,3051,3047
2/3/0,0.7,224,8.6,9977,8800
Oner
Vi,Smite,Flash,3364,3047,6609,6667
0/3/3,1.0,137,5.3,7672,3831
Faker
Galio,Haste,Flash,3364,6656,2055,3157,3158,1082
0/2/3,1.5,214,8.2,8407,7266
Gumayusi
Sivir,Haste,Flash,3363,3046,1037,2055,6672,1038,3006
1/2/1,1.0,263,10.1,10707,14122
Keria
Yuumi,Heal,Exhaust,3364,2065,3853,4642,3916
0/3/3,1.0,6,0.2,5772,5199
Kiin
Jax,Teleport,Flash,3340,2420,2055,6333,6632,3047
2/1/5,7.0,200,7.7,9607,8105
Cuzz
MonkeyKing,Smite,Flash,3364,6632,2055,2421,3133,3067,3047
2/0/9,11.0,148,5.7,9301,9715
Bdd
Syndra,Flash,Teleport,3363,4644,2055,2420,3040,1052,3020
2/2/5,3.5,229,8.8,9785,8766
Aiming
Zeri,Boost,Flash,3363,3085,2421,1038,6673,3006,6675
7/0/5,12.0,284,10.9,14627,17652
Lehends
Lulu,Heal,Flash,3364,3158,2065,3853,3114,1057
0/0/12,12.0,15,0.6,6733,3530
|
T1,VICTORY,15,8,2,1,1
Maokai,Ryze,Lulu,Kassadin,Jax
KT,DEFEAT,4,2,2,0,1
Caitlyn,Lissandra,Leblanc,Azir,Syndra
Zeus
KSante,Haste,Teleport,3364,3193,6662,3068,3047
2/3/0,0.7,224,8.6,9977,8800
Oner
Vi,Smite,Flash,3364,2421,6667,6609,3082,1028,3047
0/3/3,1.0,137,5.3,7672,3831
Faker
Orianna,Teleport,Flash,3363,3040,6655,2055,3135,3158,1056
0/2/3,1.5,214,8.2,8407,7266
Gumayusi
Sivir,Heal,Flash,3363,1037,3094,1038,6672,3036,3006
1/2/1,1.0,263,10.1,10707,14122
Keria
Yuumi,Dot,Exhaust,3364,2065,3853,3011
0/3/3,1.0,6,0.2,5772,5199
Kiin
Gnar,Teleport,Flash,3364,3051,6662,3071,3111
2/1/5,7.0,200,7.7,9607,8105
Cuzz
MonkeyKing,Smite,Flash,3364,6632,2055,3071,3047,1029
2/0/9,11.0,148,5.7,9301,9715
Bdd
Karma,Flash,Teleport,3363,6667,2055,3011,3040,3158
2/2/5,3.5,229,8.8,9785,8766
Aiming
Lucian,Boost,Flash,3363,6671,1037,1036,3036,3094,3047
7/0/5,12.0,284,10.9,14627,17652
Lehends
Nami,Heal,Flash,3364,4005,3158,3853,3916,2055
0/0/12,12.0,15,0.6,6733,3530
|
T1,VICTORY,16,11,3,1,1
Maokai,Yuumi,Lulu,Ezreal,Sivir
KT,DEFEAT,1,1,0,0,1
Caitlyn,Lissandra,Lucian,Syndra,Azir
Zeus
Renekton,Teleport,Flash,3364,2420,6630,3071,1054,3111
2/3/0,0.7,224,8.6,9977,8800
Oner
Sejuani,Smite,Flash,3364,2055,6667,3067,1011,1028,3158
0/3/3,1.0,137,5.3,7672,3831
Faker
Kassadin,Teleport,Flash,3364,2055,3158,3157,3040,6657
0/2/3,1.5,214,8.2,8407,7266
Gumayusi
Varus,Heal,Flash,3363,3004,3142,6692,3009
1/2/1,1.0,263,10.1,10707,14122
Keria
Ashe,Haste,Flash,3364,3123,3864,4005,3158,1036
0/3/3,1.0,6,0.2,5772,5199
Kiin
KSante,Haste,Teleport,3364,3105,1029,6660,6662,3047
2/1/5,7.0,200,7.7,9607,8105
Cuzz
MonkeyKing,Smite,Flash,3364,3047,2055,6632,1036,3155,1036
2/0/9,11.0,148,5.7,9301,9715
Bdd
Ryze,Flash,Teleport,3363,6657,2033,3040,3111
2/2/5,3.5,229,8.8,9785,8766
Aiming
Zeri,Boost,Flash,3363,3085,3006,6673
7/0/5,12.0,284,10.9,14627,17652
Lehends
Heimerdinger,Exhaust,Flash,3364,3116,3853,2055,3111
0/0/12,12.0,15,0.6,6733,3530
