KT,3,2,1,0,0
Kassadin,Ashe,KSante,Jayce,Akali
GEN,13,8,3,1,2
Maokai,Elise,Caitlyn,Jax,Azir
Kiin
Camille,Teleport,Flash,3364,6333,6632,3047
0/3/1,0.3,216,7.8,8962k,7607
Cuzz
MonkeyKing,Smite,Flash,3364,2422,1033,6632,3071,2055
1/3/1,0.7,149,5.4,8054k,4069
Bdd
Ryze,Flash,Teleport,3363,6657,3145,3040,3111
1/2/2,1.5,232,8.4,9221k,6910
Aiming
Lucian,Dot,Flash,3363,6671,1018,3094,2422,3036,1037
1/4/1,0.5,278,10,11193k,7668
Lehends
Nami,Heal,Flash,3364,4005,3158,3853,2055,3916
0/1/2,2.0,22,0.8,5675k,3458
Doran
Gnar,Teleport,Flash,3364,1054,3078,3053,3047,3082
2/1/3,5.0,217,7.8,10772k,12324
Peanut
Vi,Flash,Smite,3364,2421,6609,3047,6667
2/1/6,8.0,156,5.6,9621k,4866
Chovy
Viktor,Teleport,Flash,3363,6653,2420,3020,3191,3040,1052
3/1/6,9.0,252,9.1,12102k,16738
Peyz
Zeri,Heal,Flash,3363,3006,3085,6675,6673
5/0/3,8.0,322,11.6,13954k,12904
Delight
Lulu,Dot,Flash,3364,2065,3158,3853,3916,3114
1/0/10,11.0,8,0.3,7595k,4508
|
GEN,4,3,3,0,2
Karma,Maokai,Caitlyn,Yone,Jax
KT,11,6,1,1,0
Ashe,Elise,Vi,KSante,Jayce
Kiin
Camille,Teleport,Flash,3364,6632,3026,2055,3158,6333
0/3/1,0.3,216,7.8,8962k,7607
Cuzz
MonkeyKing,Flash,Smite,3364,2420,6632,3111,1057,3071
1/3/1,0.7,149,5.4,8054k,4069
Bdd
Ryze,Teleport,Flash,3363,3040,3157,6657,3111
1/2/2,1.5,232,8.4,9221k,6910
Aiming
Lucian,Boost,Flash,3363,1018,2422,3035,3508,6675,6672
1/4/1,0.5,278,10,11193k,7668
Lehends
Yuumi,Heal,Exhaust,3364,2065,3222,3853,2055,1052
0/1/2,2.0,22,0.8,5675k,3458
Doran
Gnar,Teleport,Flash,3364,3105,3082,3053,3078,3047
2/1/3,5.0,217,7.8,10772k,12324
Peanut
Sejuani,Smite,Flash,3364,3083,6660,6667,3047
2/1/6,8.0,156,5.6,9621k,4866
Chovy
Kassadin,Flash,Teleport,3364,6657,3157,3040,3158
3/1/6,9.0,252,9.1,12102k,16738
Peyz
Draven,Heal,Flash,3363,3047,2421,3031,3072,6673
5/0/3,8.0,322,11.6,13954k,12904
Delight
Nami,Exhaust,Flash,3364,3916,2421,3853,3158,4005
1/0/10,11.0,8,0.3,7595k,4508
|
KT,13,9,4,1,2
Kassadin,Ashe,Vi,LeBlanc,Gwen
GEN,7,6,3,1,0
Maokai,Elise,Caitlyn,Yone,Jax
Kiin
Jayce,Teleport,Flash,3364,6694,3134,3026,3042,6692,3158
0/3/1,0.3,216,7.8,8962k,7607
Cuzz
Sejuani,Smite,Flash,3364,3047,1011,6667,3083,6660
1/3/1,0.7,149,5.4,8054k,4069
Bdd
Azir,Flash,Teleport,3363,6653,3157,3089,4637,3020
1/2/2,1.5,232,8.4,9221k,6910
Aiming
Zeri,Heal,Flash,3363,6673,3026,3085,3036,3006,3031
1/4/1,0.5,278,10,11193k,7668
Lehends
Lulu,Exhaust,Flash,3364,3158,2065,3853,2420,4643,3916
0/1/2,2.0,22,0.8,5675k,3458
Doran
Gnar,Teleport,Flash,3364,4401,3143,2421,3047,3053,3078
2/1/3,5.0,217,7.8,10772k,12324
Peanut
MonkeyKing,Flash,Smite,3364,6632,3071,2420,1031,3111
2/1/6,8.0,156,5.6,9621k,4866
Chovy
Sylas,Teleport,Flash,3364,6657,3157,4645,3020,3089,4630
3/1/6,9.0,252,9.1,12102k,16738
Peyz
Lucian,Boost,Flash,3363,6671,3026,3094,3036,3072,3031
5/0/3,8.0,322,11.6,13954k,12904
Delight
Nami,Heal,Flash,3364,4005,3011,3853,2055,3158,1057
1/0/10,11.0,8,0.3,7595k,4508
|
