KT,VICTORY,12,8,1,1,1
Leblanc,Poppy,Tristana,Azir,Milio
BRO,DEFEAT,6,3,3,0,1
Annie,Viego,Vi,Volibear,Nautilus
Kiin
Renekton,Teleport,Flash,3364,3026,6630,3076,3071,3047
1/1/9,10.0,263,9,12495,17313
Cuzz
Nocturne,Smite,Flash,3364,6631,2421,3047,3071
1/1/7,8.0,222,7.6,11225,4777
Bdd
Neeko,Flash,Teleport,3364,2421,3152,3089,3020,1082
4/1/6,10.0,227,7.8,11617,13309
Aiming
Kaisa,Boost,Flash,3363,3115,2421,3006,3087,3124,1058
6/2/5,5.5,301,10.3,14567,17875
Lehends
Alistar,Exhaust,Flash,3364,3111,3143,3860,1029
0/1/10,10.0,34,1.2,7001,2461
Morgan
Jax,Teleport,Flash,3340,3157,2055,6632,3161,3111
4/1/1,5.0,266,9.1,11955,16766
UmTi
Sejuani,Smite,Flash,3364,3067,6667,3111,2055,6660,1031
0/2/6,3.0,156,5.3,8301,9357
Karis
Jayce,Flash,Teleport,3364,3133,3042,6691,3111,1036
1/2/4,2.5,225,7.7,9658,9711
Hena
Aphelios,Boost,Flash,3363,3006,1018,6671,6672,3035
1/4/2,0.8,289,9.9,11367,9044
Effort
Braum,Flash,Exhaust,3364,3857,1028,2055,3190,2138,3111
0/3/3,1.0,33,1.1,5990,3940
|
BRO,DEFEAT,8,3,1,0,2
Annie,Viego,Vi,Volibear,Poppy
KT,VICTORY,14,9,3,1,0
Tristana,Leblanc,Neeko,Rakan,Alistar
Kiin
Jax,Teleport,Flash,3340,3026,3067,3071,6632,3111
1/1/9,10.0,263,9,12495,17313
Cuzz
Sejuani,Smite,Flash,3364,2055,3001,8020,6660,3047,1057
1/1/7,8.0,222,7.6,11225,4777
Bdd
Akali,Flash,Teleport,3364,3152,3157,1026,3111,4630
4/1/6,10.0,227,7.8,11617,13309
Aiming
Xayah,Haste,Flash,3363,6672,3006,3036,6675,1053,2055
6/2/5,5.5,301,10.3,14567,17875
Lehends
Milio,Flash,Heal,3364,3860,2065,3114,1028,3158
0/1/10,10.0,34,1.2,7001,2461
Morgan
Renekton,Teleport,Flash,3364,3155,6630,2421,3076,3071,3047
4/1/1,5.0,266,9.1,11955,16766
UmTi
Skarner,Smite,Flash,3364,3001,8001,3082,3111,6660
0/2/6,3.0,156,5.3,8301,9357
Karis
Azir,Flash,Teleport,3364,4644,2055,3115,3135,1058,3020
1/2/4,2.5,225,7.7,9658,9711
Hena
Kaisa,Boost,Flash,3363,3124,2421,3089,3006,3115,3087
1/4/2,0.8,289,9.9,11367,9044
Effort
Nautilus,Dot,Flash,3364,3111,2421,3860,2055,3001,1028
0/3/3,1.0,33,1.1,5990,3940
