HLE,VICTORY,15,9,2,0,2
Sejuani,Caitlyn,MonkeyKing,Sylas,Jax
LSB,DEFEAT,4,2,2,1,0
Lucian,Annie,Varus,Leblanc,Kennen
kingen
KSante,Teleport,Flash,3364,3068,3105,3047,1033,6662
2/1/10,12.0,261,9.2,11627,6906
Clid
LeeSin,Smite,Flash,3340,6630,2420,1031,2055,3071,3111
2/2/6,4.0,178,6.3,10704,8141
Zeka
Veigar,Teleport,Flash,3363,3089,3040,2421,3158,6657,1026
9/1/2,11.0,304,10.7,14473,22665
Viper
Xayah,Boost,Flash,3363,6671,3046,6675,3006
1/0/8,9.0,311,11,12455,17887
Life
Rakan,Dot,Flash,3364,3860,2065,2421,1028,3111
1/0/8,9.0,40,1.4,7496,3230
Burdol
Gnar,Teleport,Flash,3364,1033,3051,1037,3071,3078,3047
1/3/0,0.3,268,9.5,10949,11693
Willer
Viego,Flash,Smite,3364,2055,6632,3071,3111,1036
3/3/0,1.0,183,6.5,9556,4273
Clozer
Taliyah,Teleport,Flash,3363,2055,3040,2424,4630,3111,6653
0/3/2,0.7,252,8.9,9559,11913
Envyy
Zeri,Flash,Boost,3363,3085,1038,1037,6673,3006
0/3/0,0.0,309,10.9,11199,7207
Kael
RenataGlasc,Dot,Flash,3364,3860,2065,3916,3158
0/3/2,0.7,36,1.3,6336,1613
|
LSB,VICTORY,17,7,1,1,1
Elise,Zeri,Ashe,Leblanc,Veigar
HLE,DEFEAT,8,3,3,1,1
Annie,Varus,Caitlyn,Gragas,Taliyah
kingen
Jayce,Teleport,Flash,3364,2420,1033,3142,3042,6692,3111
2/1/10,12.0,261,9.2,11627,6906
Clid
MonkeyKing,Flash,Smite,3364,6632,3111,1031,2421,3071
2/2/6,4.0,178,6.3,10704,8141
Zeka
Ahri,Teleport,Flash,3364,6656,2055,3135,3108,3111,4628
9/1/2,11.0,304,10.7,14473,22665
Viper
Jinx,Flash,Boost,3363,1038,2421,3094,3031,6672,3006
1/0/8,9.0,311,11,12455,17887
Life
Thresh,Exhaust,Flash,3364,1057,3857,2065,3114,3158
1/0/8,9.0,40,1.4,7496,3230
Burdol
Kennen,Teleport,Flash,3364,2421,3152,2055,3020,3135,4629
1/3/0,0.3,268,9.5,10949,11693
Willer
LeeSin,Smite,Flash,3340,6630,3044,3071,2421,3047
3/3/0,1.0,183,6.5,9556,4273
Clozer
Lissandra,Teleport,Flash,3364,2033,6656,3157,3158,3135
0/3/2,0.7,252,8.9,9559,11913
Envyy
Xayah,Boost,Flash,3363,6671,1053,3094,6675,3006
0/3/0,0.0,309,10.9,11199,7207
Kael
Rakan,Dot,Flash,3364,3860,2065,2055,3111,1028
0/3/2,0.7,36,1.3,6336,1613
|
HLE,VICTORY,21,9,4,2,2
Sejuani,Caitlyn,MonkeyKing,Karma,Ashe
LSB,DEFEAT,16,2,2,0,0
Lucian,Annie,Kennen,Leblanc,Taliyah
kingen
Gragas,Teleport,Flash,3364,2055,2421,3158,6657,3135,3040
2/1/10,12.0,261,9.2,11627,6906
Clid
Vi,Smite,Flash,3364,3044,2055,3026,6632,3071,3047
2/2/6,4.0,178,6.3,10704,8141
Zeka
Ahri,Teleport,Flash,3364,6656,3157,3089,3135,3158
9/1/2,11.0,304,10.7,14473,22665
Viper
Varus,Heal,Flash,3363,3142,6694,3042,6691,3009
1/0/8,9.0,311,11,12455,17887
Life
Heimerdinger,Dot,Flash,3364,3853,4643,2421,3165,3116,3020
1/0/8,9.0,40,1.4,7496,3230
Burdol
Jayce,Teleport,Flash,3364,3133,3067,6630,6694,3042,3111
1/3/0,0.3,268,9.5,10949,11693
Willer
LeeSin,Flash,Smite,3340,2420,3111,3071,3155,6630
3/3/0,1.0,183,6.5,9556,4273
Clozer
Sylas,Teleport,Flash,3363,3157,3135,1052,3111,6657
0/3/2,0.7,252,8.9,9559,11913
Envyy
Samira,Flash,Boost,3363,6673,3035,3031,3111,1018,3072
0/3/0,0.0,309,10.9,11199,7207
Kael
Rell,Dot,Flash,3364,3860,2055,8001,3001,3158
0/3/2,0.7,36,1.3,6336,1613
