LSB,VICTORY,18,7,4,0,1
Jayce,Ashe,Caitlyn,Renekton,Annie
T1,DEFEAT,3,2,0,0,1
Maokai,Elise,Sejuani,Sylas,Jax
Burdol
Gnar,Teleport,Flash,3364,1028,2055,1029,3053,3078,3047
2/0/4,6.0,256,9.6,10679,4750
Willer
MonkeyKing,Flash,Smite,3364,6632,3047,3071,2421
7/0/7,14.0,179,6.7,11137,11888
Clozer
Akali,Teleport,Flash,3364,3152,4645,1054,3020,2421
3/1/4,7.0,222,8.4,9748,13182
Envyy
Lucian,Flash,Dot,3363,6675,6671,3094,3158
3/1/5,8.0,264,9.9,11843,15615
Kael
Nami,Heal,Flash,3364,3916,3853,4005,3158,3114
3/1/14,17.0,15,0.6,7858,5121
Zeus
Yasuo,Teleport,Flash,3363,6673,3031,1036,2055,3006
0/4/0,0.0,253,9.5,9154,6944
Oner
Vi,Smite,Flash,3364,2055,6632,3133,3067,1036,3111
1/3/1,0.7,144,5.4,7694,3334
Faker
Azir,Teleport,Flash,3363,2055,1056,3157,3020,1058,6655
1/3/0,0.3,240,9,9694,13789
Gumayusi
Zeri,Barrier,Flash,3363,1055,3006,2055,6673,6675,3086
1/4/2,0.8,268,10.1,10063,10640
Keria
Lulu,Heal,Flash,3364,2065,3853,2055,3158,1052
0/4/2,0.5,14,0.5,5334,3289
|
T1,VICTORY,27,9,3,1,2
Maokai,Karma,Irelia,Akali,Sylas
LSB,DEFEAT,4,0,0,0,0
Ashe,Lucian,Elise,Renekton,Viktor
Burdol
Sion,Teleport,Flash,3364,3193,3068,6665,3076,3047
2/0/4,6.0,256,9.6,10679,4750
Willer
Sejuani,Smite,Flash,3364,2055,3068,3083,3211,1028,3047
7/0/7,14.0,179,6.7,11137,11888
Clozer
Corki,Teleport,Flash,3363,3026,3042,2055,3020,6655,3155
3/1/4,7.0,222,8.4,9748,13182
Envyy
Caitlyn,Heal,Flash,3363,1038,1037,6671,1055,3006,3072
3/1/5,8.0,264,9.9,11843,15615
Kael
Lux,Dot,Flash,3364,2421,3853,4644,3158,3916,3145
3/1/14,17.0,15,0.6,7858,5121
Zeus
Jayce,Teleport,Flash,3363,3133,2055,6630,3042,3158
0/4/0,0.0,253,9.5,9154,6944
Oner
MonkeyKing,Flash,Smite,3364,3133,6632,3111,3067,2055,1036
1/3/1,0.7,144,5.4,7694,3334
Faker
Azir,Teleport,Flash,3363,3191,2421,3020,1056,6653,3108
1/3/0,0.3,240,9,9694,13789
Gumayusi
Varus,Flash,Boost,3363,2031,3142,3133,3070,2422,6692
1/4/2,0.8,268,10.1,10063,10640
Keria
Heimerdinger,Heal,Flash,3364,2055,3853,1052,3116,2422
0/4/2,0.5,14,0.5,5334,3289
|
LSB,DEFEAT,7,2,1,0,0
Jayce,Ashe,Caitlyn,Lulu,Yasuo
T1,VICTORY,15,11,3,2,1
Maokai,Lucian,Varus,Irelia,Renekton
Burdol
Gnar,Teleport,Flash,3364,4401,2055,3071,3078,3047
2/0/4,6.0,256,9.6,10679,4750
Willer
Elise,Flash,Smite,3364,2421,3020,2055,3135,3152
7/0/7,14.0,179,6.7,11137,11888
Clozer
Azir,Teleport,Flash,3363,3157,3135,3020,6653,1058
3/1/4,7.0,222,8.4,9748,13182
Envyy
Ezreal,Flash,Heal,3363,3158,3035,3042,3508,3133,6691
3/1/5,8.0,264,9.9,11843,15615
Kael
Karma,Dot,Flash,3364,1057,3853,2065,3114,3158
3/1/14,17.0,15,0.6,7858,5121
Zeus
Jax,Teleport,Flash,3340,3157,3161,3091,6632,3111
0/4/0,0.0,253,9.5,9154,6944
Oner
LeeSin,Smite,Flash,3340,2055,6630,3156,3071,3111
1/3/1,0.7,144,5.4,7694,3334
Faker
Akali,Teleport,Flash,3364,3152,3089,3102,3020
1/3/0,0.3,240,9,9694,13789
Gumayusi
Zeri,Heal,Flash,3363,6673,3072,3085,6675,3006
1/4/2,0.8,268,10.1,10063,10640
Keria
Annie,Dot,Flash,3364,2065,3853,8001,3158
0/4/2,0.5,14,0.5,5334,3289
