BRO,5,5,5,1,2
Caitlyn,Kassadin,Ashe,KSante,Azir
KT,11,10,1,1,0
Lucian,Maokai,Akali,Renekton,Jax
Morgan
Gnar,Teleport,Flash,3364,3742,2055,3143,1057,3078,3047
0/3/3,1.0,312,8.2,13767k,9949
UmTi
Elise,Smite,Flash,3364,3152,3157,3145,3020
2/2/1,1.5,187,4.9,11525k,7856
Karis
Viktor,Flash,Teleport,3364,6653,4645,3020,4630,3089
1/2/3,2.0,341,9,14628k,22532
Hena
Varus,Haste,Flash,3363,6673,3124,3006,3085,3091
2/2/0,1.0,352,9.3,15327k,11894
Effort
Heimerdinger,Flash,Heal,3364,3853,2421,3108,3165,3158
0/2/1,0.5,37,1,8570k,6347
Kiin
Jayce,Teleport,Flash,3364,6694,3134,3156,3042,6692,3158
3/2/4,3.5,321,8.5,16427k,31368
Cuzz
MonkeyKing,Smite,Flash,3364,6632,2421,3111,1031,3156
0/1/8,8.0,167,4.4,11373k,4475
Bdd
Ryze,Flash,Teleport,3364,6657,3105,3102,3040,3135,3111
4/1/5,9.0,342,9,16710k,12650
Aiming
Zeri,Boost,Flash,3363,3094,3139,3031,6673,3085,3006
4/0/4,8.0,426,11.2,18458k,14157
Lehends
Yuumi,Exhaust,Heal,3364,3158,2065,3853,4643,3114
0/1/10,10.0,7,0.2,8625k,9219
|
KT,22,9,3,1,2
Varus,Elise,Lucian,Wukong,Sejuani
BRO,2,0,0,0,0
Caitlyn,Yuumi,Zeri,Jax,Jayce
Morgan
Camille,Teleport,Flash,3364,3133,2421,3067,6333,6632,3111
0/3/3,1.0,312,8.2,13767k,9949
UmTi
Maokai,Smite,Flash,3364,3158,4637,6667,3067
2/2/1,1.5,187,4.9,11525k,7856
Karis
Yone,Flash,Teleport,3364,6673,1038,1037,1054,3086,3006
1/2/3,2.0,341,9,14628k,22532
Hena
Ezreal,Boost,Flash,3363,3508,3134,3042,6694,3158
2/2/0,1.0,352,9.3,15327k,11894
Effort
Karma,Dot,Flash,3364,3114,2065,3860,3158
0/2/1,0.5,37,1,8570k,6347
Kiin
KSante,Teleport,Haste,3364,3076,1028,6662,3047
3/2/4,3.5,321,8.5,16427k,31368
Cuzz
Vi,Smite,Flash,3364,6609,3067,3047,1028,1029
0/1/8,8.0,167,4.4,11373k,4475
Bdd
Kassadin,Flash,Teleport,3364,6657,3003,3047
4/1/5,9.0,342,9,16710k,12650
Aiming
Ashe,Haste,Flash,3363,6673,6677,3006,1018,1042,2055
4/0/4,8.0,426,11.2,18458k,14157
Lehends
Heimerdinger,Flash,Heal,3364,3853,3116,2055,3916,3158
0/1/10,10.0,7,0.2,8625k,9219
|
