HLE,VICTORY,23,9,5,2,1
Sejuani,Yuumi,Leblanc,Xayah,Varus
LSB,DEFEAT,8,1,0,0,1
Milio,Neeko,Aphelios,Zeri,Lucian
kingen
Renekton,Teleport,Flash,3364,3026,6630,2055,1057,3071,3047
3/1/5,8.0,293,9.5,13818,15629
Clid
Vi,Smite,Flash,3364,3047,2421,3071,2055,6632,1031
3/1/10,13.0,192,6.2,11830,10417
Zeka
Annie,Teleport,Flash,3364,3089,3152,2055,3158,3116
7/2/9,8.0,247,8,13999,25658
Viper
Draven,Heal,Flash,3363,3036,3139,3078,3072,6676,3006
10/2/10,10.0,314,10.1,19452,27652
Life
RenataGlasc,Dot,Flash,3364,3860,2065,3157,3158
0/2/19,9.5,36,1.2,9132,3585
Burdol
Gnar,Teleport,Flash,3364,3181,3071,3078,3047
1/4/5,1.5,269,8.7,11522,15813
Willer
Poppy,Flash,Smite,3364,3068,3001,3047,3067,2055
1/6/5,1.0,144,4.7,9198,6605
Clozer
Azir,Teleport,Flash,3363,4644,3135,3111,3089
3/4/3,1.5,273,8.8,11314,16424
Teddy
Kalista,Flash,Boost,3363,3006,6672,1055,3124,3072,2420
2/5/4,1.2,275,8.9,12355,9576
Kael
Blitzcrank,Dot,Flash,3364,2031,3860,2055,2065,1028,3047
1/4/0,0.2,26,0.8,5984,4355
|
HLE,DEFEAT,4,2,0,0,1
Sejuani,Leblanc,Yuumi,Braum,Nautilus
LSB,VICTORY,18,10,4,1,1
Milio,Neeko,Renekton,Gwen,RenataGlasc
kingen
Malphite,Teleport,Flash,3364,3068,6662,2055,1057,1028,3111
3/1/5,8.0,293,9.5,13818,15629
Clid
Viego,Smite,Flash,3364,2055,3047,3071,6632
3/1/10,13.0,192,6.2,11830,10417
Zeka
Annie,Teleport,Flash,3364,3116,3152,3158,1056,1052
7/2/9,8.0,247,8,13999,25658
Viper
Aphelios,Boost,Flash,3363,6671,3006,3072,3155,6672
10/2/10,10.0,314,10.1,19452,27652
Life
TahmKench,Heal,Flash,3364,3860,3190,3023,3111
0/2/19,9.5,36,1.2,9132,3585
Burdol
Poppy,Teleport,Flash,3364,3068,3075,6665,3111
1/4/5,1.5,269,8.7,11522,15813
Willer
MonkeyKing,Flash,Smite,3364,2055,6632,3071,3111,2421,1031
1/6/5,1.0,144,4.7,9198,6605
Clozer
Azir,Teleport,Flash,3363,3157,3111,1058,6653,3115
3/4/3,1.5,273,8.8,11314,16424
Teddy
Varus,Flash,Boost,3363,3006,4644,2421,1026,3087,3115
2/5/4,1.2,275,8.9,12355,9576
Kael
Leona,Dot,Flash,3364,3001,2055,3860,3047,1011
1/4/0,0.2,26,0.8,5984,4355
|
HLE,VICTORY,22,9,2,1,1
Sejuani,Leblanc,Yuumi,Poppy,Nautilus
LSB,DEFEAT,16,4,3,1,1
Milio,Renekton,Neeko,Rakan,Malphite
kingen
Gragas,Teleport,Flash,3364,6665,2420,1011,8020,3111,3068
3/1/5,8.0,293,9.5,13818,15629
Clid
Vi,Smite,Flash,3364,3111,3133,1031,6632,3071,3026
3/1/10,13.0,192,6.2,11830,10417
Zeka
Azir,Teleport,Flash,3363,3115,3102,2421,6653,3111,3089
7/2/9,8.0,247,8,13999,25658
Viper
Zeri,Boost,Flash,3363,3085,3139,3078,3748,3072,3006
10/2/10,10.0,314,10.1,19452,27652
Life
Blitzcrank,Dot,Flash,3364,3857,6656,3222,4638,3117
0/2/19,9.5,36,1.2,9132,3585
Burdol
KSante,Teleport,Flash,3364,2421,3076,3193,3068,6665,3111
1/4/5,1.5,269,8.7,11522,15813
Willer
MonkeyKing,Flash,Smite,3364,3026,6632,3111,3071,3123
1/6/5,1.0,144,4.7,9198,6605
Clozer
Annie,Teleport,Flash,3364,3152,2420,1052,3111,3135,3089
3/4/3,1.5,273,8.8,11314,16424
Teddy
Varus,Flash,Heal,3363,3006,4633,3157,3135,3087,3115
2/5/4,1.2,275,8.9,12355,9576
Kael
Leona,Dot,Flash,3364,3066,2055,3860,3190,1057,3111
1/4/0,0.2,26,0.8,5984,4355
