GEN,13,5,2,1,2
Akali,Kassadin,Caitlyn,KSante,Irelia
LSB,23,7,3,0,0
Lucian,Yuumi,Elise,Ryze,LeBlanc
Doran
Renekton,Teleport,Flash,3364,1031,6630,2420,4401,3047,6333
2/4/4,1.5,298,8.4,13636k,15489
Peanut
Maokai,Flash,Smite,3364,6667,4637,3111,3067,3024,2055
2/5/8,2.0,187,5.3,11742k,28411
Chovy
Azir,Teleport,Flash,3363,6653,3157,3145,3135,3089,3111
5/5/7,2.4,329,9.3,16783k,38758
Peyz
Jhin,Boost,Flash,3363,3142,3009,3035,3042,6692
3/3/6,3.0,278,7.8,13020k,22947
Delight
Heimerdinger,Heal,Flash,3364,3020,2421,3853,2055,3165,3116
1/6/9,1.7,43,1.2,9552k,18806
Burdol
Gnar,Teleport,Flash,3364,3091,3066,4401,3078,3047
1/1/12,13.0,300,8.4,13239k,22241
Willer
Sejuani,Flash,Smite,3364,4401,6667,3111,1011
1/5/12,2.6,155,4.4,10305k,11766
Clozer
Sylas,Teleport,Flash,3364,6657,3157,3089,3135,1033,3111
10/3/9,6.3,321,9,17714k,28891
Envyy
Varus,Flash,Boost,3363,3142,6694,3158,3042,6692
8/1/12,20.0,298,8.4,16113k,39376
Kael
Ashe,Heal,Flash,3364,1036,3864,2055,3179,4005,3158
3/3/16,6.3,35,1,9859k,14184
|
GEN,17,10,3,1,0
Kassadin,Caitlyn,Maokai,Gnar,Heimerdinger
LSB,8,2,2,0,2
Lucian,Yuumi,Wukong,Ryze,Akali
Doran
Gwen,Teleport,Haste,3364,4633,3157,3089,3158,4645
2/4/4,1.5,298,8.4,13636k,15489
Peanut
Vi,Flash,Smite,3364,6632,3111,3742,1057,2421
2/5/8,2.0,187,5.3,11742k,28411
Chovy
Azir,Teleport,Flash,3363,6653,3157,1082,3135,3102,3020
5/5/7,2.4,329,9.3,16783k,38758
Peyz
Sivir,Exhaust,Flash,3363,2420,3006,3046,3072,3031,6672
3/3/6,3.0,278,7.8,13020k,22947
Delight
Ashe,Heal,Flash,3364,6609,4005,3864,2055,3158,1036
1/6/9,1.7,43,1.2,9552k,18806
Burdol
KSante,Teleport,Haste,3364,3066,3193,1033,6665,3111
1/1/12,13.0,300,8.4,13239k,22241
Willer
Sejuani,Flash,Smite,3364,3111,6667,4401,2055
1/5/12,2.6,155,4.4,10305k,11766
Clozer
Sylas,Teleport,Flash,3364,6657,3157,3089,3158,3102,1052
10/3/9,6.3,321,9,17714k,28891
Envyy
Varus,Flash,Heal,3363,6692,3142,2055,3158,6694,3042
8/1/12,20.0,298,8.4,16113k,39376
Kael
Kalista,Dot,Flash,3364,6609,2055,3864,3158,3179,1036
3/3/16,6.3,35,1,9859k,14184
|
GEN,15,7,3,0,1
Kassadin,Caitlyn,Maokai,Sylas,Akali
LSB,4,3,2,0,1
Lucian,Elise,Sivir,KSante,Jayce
Doran
Gnar,Teleport,Flash,3364,3053,3078,3047,3066,1057
2/4/4,1.5,298,8.4,13636k,15489
Peanut
Vi,Flash,Smite,3364,6667,6609,3111,2421,1033
2/5/8,2.0,187,5.3,11742k,28411
Chovy
Ryze,Teleport,Flash,3363,6657,3157,3040,1052,3111
5/5/7,2.4,329,9.3,16783k,38758
Peyz
Varus,Boost,Flash,3363,6693,3142,3009,6694,3042
3/3/6,3.0,278,7.8,13020k,22947
Delight
Karma,Heal,Flash,3364,2065,3158,3860,3114,1057
1/6/9,1.7,43,1.2,9552k,18806
Burdol
Irelia,Teleport,Flash,3364,3053,2055,6632,3153,3047
1/1/12,13.0,300,8.4,13239k,22241
Willer
MonkeyKing,Flash,Smite,3364,3071,6632,3047,1036,2055
1/5/12,2.6,155,4.4,10305k,11766
Clozer
Cassiopeia,Teleport,Flash,3363,2421,3040,3108,6657,3135
10/3/9,6.3,321,9,17714k,28891
Envyy
Ashe,Flash,Boost,3363,3074,4005,3133,3158,3070
8/1/12,20.0,298,8.4,16113k,39376
Kael
Heimerdinger,Heal,Flash,3364,3853,2055,3158,3116,1052
3/3/16,6.3,35,1,9859k,14184
|
