HLE,DEFEAT,7,2,3,0,2
Renekton,Annie,Viego,Nautilus,Ahri
KT,VICTORY,20,11,1,1,0
Tristana,Neeko,Leblanc,Rumble,Gragas
kingen
Kennen,Teleport,Flash,3363,3157,3152,2055,1055,3020
0/4/0,0.0,210,8,8675,15328
Grizzly
Sejuani,Smite,Flash,3364,3105,3068,2055,1011,3111,1029
0/5/3,0.6,125,4.8,7359,6204
Zeka
Yone,Teleport,Flash,3363,6671,2420,3006,3072
3/2/1,2.0,231,8.8,9653,11649
Viper
Aphelios,Haste,Flash,3363,6671,1018,1038,1053,6672,3006
3/5/2,1.0,257,9.8,11635,12750
Life
Alistar,Dot,Flash,3364,3860,1057,2055,3001,1028,3158
1/4/3,1.0,24,0.9,6165,3090
Kiin
Jax,Teleport,Flash,3340,3157,3161,6632,3111
4/0/8,12.0,195,7.4,11562,12929
Cuzz
Vi,Smite,Flash,3364,3111,2055,2420,3071,6632,1029
1/3/6,2.3,164,6.3,9713,6118
Bdd
Azir,Flash,Teleport,3363,4644,2421,3115,3108,1058,3020
7/1/11,18.0,226,8.6,12821,21374
Aiming
Kaisa,Boost,Flash,3363,3115,2421,3006,3087,3124
8/2/6,7.0,248,9.5,13665,19581
Lehends
RenataGlasc,Exhaust,Flash,3364,6667,3067,3860,3158
0/1/14,14.0,34,1.3,7023,3258
|
HLE,VICTORY,14,11,4,2,1
Renekton,Annie,Viego,Nautilus,Azir
KT,DEFEAT,6,2,0,0,1
Tristana,Neeko,Leblanc,Rakan,Gragas
kingen
Poppy,Teleport,Flash,3364,3076,6665,3111,3068
0/4/0,0.0,210,8,8675,15328
Grizzly
Sejuani,Smite,Flash,3364,6667,3068,1028,3111,1057
0/5/3,0.6,125,4.8,7359,6204
Zeka
Yone,Teleport,Flash,3363,3026,6671,1033,3072,3006
3/2/1,2.0,231,8.8,9653,11649
Viper
Xayah,Haste,Flash,3363,1038,2421,6675,3036,6672,3006
3/5/2,1.0,257,9.8,11635,12750
Life
Rell,Dot,Flash,3364,3860,2421,3158,3001,3191
1/4/3,1.0,24,0.9,6165,3090
Kiin
Jax,Teleport,Flash,3340,3157,3161,6632,3047
4/0/8,12.0,195,7.4,11562,12929
Cuzz
Vi,Smite,Flash,3364,3047,2055,3071,6667
1/3/6,2.3,164,6.3,9713,6118
Bdd
Veigar,Flash,Teleport,3364,3020,3040,6656,1058,1058
7/1/11,18.0,226,8.6,12821,21374
Aiming
Kaisa,Boost,Flash,3363,3115,3124,3006,3087,1055
8/2/6,7.0,248,9.5,13665,19581
Lehends
Alistar,Dot,Flash,3364,3111,1011,3860,3082
0/1/14,14.0,34,1.3,7023,3258
|
KT,VICTORY,14,8,3,1,2
Yone,Tristana,Leblanc,Rakan,Rell
HLE,DEFEAT,8,2,1,0,0
Annie,Sejuani,Neeko,Alistar,Poppy
kingen
Renekton,Teleport,Flash,3364,3026,6630,3155,3071,3047
0/4/0,0.0,210,8,8675,15328
Grizzly
Maokai,Smite,Flash,3364,8020,2055,3076,3047,6667,6660
0/5/3,0.6,125,4.8,7359,6204
Zeka
Azir,Flash,Teleport,3364,4644,3157,1058,3115,3020
3/2/1,2.0,231,8.8,9653,11649
Viper
Kaisa,Heal,Flash,3363,3124,3157,4630,3115,3006,3087
3/5/2,1.0,257,9.8,11635,12750
Life
Leona,Dot,Flash,3364,3047,3190,3860,3067
1/4/3,1.0,24,0.9,6165,3090
Kiin
Gnar,Teleport,Flash,3363,3078,1057,3047,3053,3066,2055
4/0/8,12.0,195,7.4,11562,12929
Cuzz
Viego,Smite,Flash,3364,3111,3078,2055,3133,3067,1036
1/3/6,2.3,164,6.3,9713,6118
Bdd
Akali,Teleport,Flash,3364,1058,3152,3157,1058,3087,3111
7/1/11,18.0,226,8.6,12821,21374
Aiming
Xayah,Boost,Flash,3363,2055,6675,6672,3036,3155,3006
8/2/6,7.0,248,9.5,13665,19581
Lehends
Nautilus,Dot,Flash,3364,3860,2031,2055,3001,3117
0/1/14,14.0,34,1.3,7023,3258
