LSB,VICTORY,6,11,3,2,1
Renekton,Yuumi,KSante,Sylas,Kassadin
NS,DEFEAT,2,2,1,0,1
Ashe,Lucian,Caitlyn,Gnar,Akali
Burdol
Fiora,Teleport,Haste,3364,3181,2055,1036,3074,6632,3047
1/0/1,2.0,307,9.7,12961,11988
Willer
Maokai,Flash,Smite,3364,4637,3111,6667,1028
0/0/3,3.0,168,5.3,9840,8880
Clozer
Jayce,Teleport,Flash,3363,6694,1038,6692,3111,3042
1/1/4,5.0,314,9.9,13920,16933
Envyy
Varus,Flash,Heal,3363,6692,3142,2055,3042,3134,3158
4/1/1,5.0,311,9.8,14865,18855
Kael
Heimerdinger,Dot,Flash,3364,3853,3165,3116,3020
0/0/6,6.0,34,1.1,8703,10879
DnDn
Jax,Teleport,Flash,3340,6632,3158,3110,3153,3123
1/1/0,1.0,302,9.5,12186,14491
Sylvie
Sejuani,Smite,Flash,3364,6667,3083,2055,3158
0/0/2,2.0,169,5.3,8814,4510
FIESTA
Syndra,Teleport,Flash,3363,2421,2055,3020,3108,6655,3040
0/4/1,0.2,283,8.9,10723,10807
Vital
Jhin,Boost,Flash,3363,2055,3042,3142,3086,3009,6692
1/0/1,2.0,296,9.3,12248,8699
Peter
Karma,Flash,Heal,3364,3860,3222,3067,3158,1004,2055
0/1/2,2.0,50,1.6,6549,1603
|
NS,DEFEAT,7,2,1,0,1
Ashe,Maokai,Varus,Kassadin,KSante
LSB,VICTORY,18,9,3,1,1
Yuumi,Lucian,Elise,Ryze,Renekton
Burdol
Jax,Teleport,Flash,3340,3153,6632,2055,3158,1011
1/0/1,2.0,307,9.7,12961,11988
Willer
MonkeyKing,Smite,Flash,3364,6632,6609,2055,3111,3133,1036
0/0/3,3.0,168,5.3,9840,8880
Clozer
Akali,Teleport,Flash,3364,3108,3152,2055,3020,1082,4645
1/1/4,5.0,314,9.9,13920,16933
Envyy
Jhin,Heal,Flash,3363,3094,6671,2055,3009,3036
4/1/1,5.0,311,9.8,14865,18855
Kael
Karma,Flash,Dot,3364,3853,3222,4642,3158,3067,2055
0/0/6,6.0,34,1.1,8703,10879
DnDn
Fiora,Teleport,Haste,3364,3044,2055,1037,3074,6632,3047
1/1/0,1.0,302,9.5,12186,14491
Sylvie
Sejuani,Flash,Smite,3364,3068,3047,6667,1028,3076
0/0/2,2.0,169,5.3,8814,4510
FIESTA
Sylas,Teleport,Flash,3364,3157,6657,3135,3158
0/4/1,0.2,283,8.9,10723,10807
Vital
Caitlyn,Flash,Heal,3363,3031,6671,1018,1036,3006,3094
1/0/1,2.0,296,9.3,12248,8699
Peter
Lux,Dot,Flash,3364,3853,2055,6656,3158,3011
0/1/2,2.0,50,1.6,6549,1603
