GEN,VICTORY,23,10,3,1,1
Rell,Neeko,Tristana,Xayah,Milio
DK,DEFEAT,11,4,2,1,1
Kaisa,Sejuani,Annie,Zeri,Rakan
Doran
Jax,Teleport,Flash,3340,3161,3157,3111,6632,3156
7/5/6,2.6,264,8,15083,17080
Peanut
Vi,Flash,Smite,3364,3026,6632,3111,3133,3071
5/1/9,14.0,228,6.9,13909,12833
Chovy
Leblanc,Teleport,Flash,3364,3087,2421,3102,3100,4636,3020
5/2/8,6.5,339,10.3,16384,17236
Peyz
Sivir,Boost,Flash,3363,2420,3006,1038,3087,3072,6675
5/1/10,15.0,333,10.1,15270,19300
Delight
Alistar,Dot,Flash,3364,3190,3111,3860,2055,3067,1057
1/2/13,7.0,42,1.3,8112,2769
Canna
Rumble,Teleport,Flash,3363,4636,4630,2421,3916,3020,4637
4/8/4,1.0,242,7.3,12460,16632
Canyon
Nautilus,Smite,Flash,3364,2055,1031,8020,6660,3001,3047
0/7/5,0.7,177,5.4,9559,5919
ShowMaker
Jayce,Teleport,Flash,3363,6694,2420,1038,3158,6691,3042
2/2/6,4.0,289,8.8,14620,16164
Deft
Varus,Flash,Heal,3363,3026,6691,6694,3042,3158,2055
4/3/3,2.3,303,9.2,13551,21589
Kellin
Heimerdinger,Dot,Flash,3364,3853,3116,2055,2420,3158,3916
1/3/4,1.7,39,1.2,8072,11446
|
DK,DEFEAT,15,9,1,1,2
Annie,Sejuani,Vi,Nautilus,Zeri
GEN,VICTORY,26,10,5,1,0
Neeko,Tristana,Kaisa,Rakan,Heimerdinger
Doran
Renekton,Teleport,Flash,3364,2055,6630,2421,3075,3111,3071
7/5/6,2.6,264,8,15083,17080
Peanut
Lillia,Smite,Flash,3364,3157,4637,6657,3089,3111
5/1/9,14.0,228,6.9,13909,12833
Chovy
Leblanc,Teleport,Flash,3364,3135,3108,3089,3020,3087,4636
5/2/8,6.5,339,10.3,16384,17236
Peyz
Ashe,Flash,Boost,3363,2421,1038,3078,6672,3087,3006
5/1/10,15.0,333,10.1,15270,19300
Delight
Rell,Dot,Flash,3364,3860,3001,2055,3111,8020
1/2/13,7.0,42,1.3,8112,2769
Canna
Jax,Teleport,Flash,3340,6632,3157,2055,3071,3111,3155
4/8/4,1.0,242,7.3,12460,16632
Canyon
Poppy,Flash,Smite,3364,2055,3068,3111,8020,3075,3001
0/7/5,0.7,177,5.4,9559,5919
ShowMaker
Azir,Teleport,Flash,3363,6655,3157,3102,3115,4645,3111
2/2/6,4.0,289,8.8,14620,16164
Deft
Varus,Boost,Flash,3363,3142,3009,3155,3814,6694,3042
4/3/3,2.3,303,9.2,13551,21589
Kellin
Alistar,Dot,Flash,3364,3001,2421,3860,2055,8020,3111
1/3/4,1.7,39,1.2,8072,11446
