T1,VICTORY,12,11,4,1,2
Maokai,Ryze,Varus,Jax,KSante
KDF,DEFEAT,3,1,0,0,0
Vi,Azir,Jayce,Renekton,Karma
Zeus
Kennen,Teleport,Flash,3363,6673,3748,3124,1055,3006
1/1/2,3.0,274,10.6,12376,17262
Oner
Elise,Smite,Flash,3364,2420,4636,4645,3020
6/1/4,10.0,147,5.7,11238,15456
Faker
Sett,Haste,Flash,3364,3111,3077,2055,6667,1028,1011
0/0/8,8.0,185,7.2,9065,6884
Gumayusi
Caitlyn,Heal,Flash,3363,1055,6671,3006,3094,3036
4/0/4,8.0,254,9.9,12380,10299
Keria
Ashe,Barrier,Flash,3364,4642,3864,3158,3179,3067
1/1/10,11.0,22,0.9,7721,11160
DuDu
Fiora,Teleport,Haste,3364,3074,3158,6632
1/1/0,1.0,200,7.8,8439,3381
YoungJae
Sejuani,Flash,Smite,3364,3067,6660,3111,2055,6667
1/3/2,1.0,112,4.3,7312,3853
Bulldog
Viktor,Haste,Flash,3363,1052,1058,6657,3040,3020
0/2/1,0.5,227,8.8,9096,18596
Taeyoon
Lucian,Flash,Boost,3363,6671,2055,1018,1037,3094,3158
1/2/0,0.5,212,8.2,8888,7197
Moham
Nami,Flash,Heal,3364,3851,2031,4005,3158
0/4/1,0.2,13,0.5,4839,2553
|
KDF,DEFEAT,14,1,0,0,1
Vi,Elise,Ryze,Sylas,Kassadin
T1,VICTORY,14,10,3,1,1
MonkeyKing,Lucian,KSante,Jax,Ziggs
Zeus
Renekton,Teleport,Flash,3364,3153,3047,6693,1036
1/1/2,3.0,274,10.6,12376,17262
Oner
Maokai,Flash,Smite,3364,6667,3111,4637
6/1/4,10.0,147,5.7,11238,15456
Faker
Akali,Teleport,Flash,3364,3152,2055,4645,3111,1054
0/0/8,8.0,185,7.2,9065,6884
Gumayusi
Zeri,Flash,Boost,3363,2055,1018,1037,3085,6673,3006
4/0/4,8.0,254,9.9,12380,10299
Keria
Yuumi,Heal,Exhaust,3364,3853,2065,3222,2055,2031
1/1/10,11.0,22,0.9,7721,11160
DuDu
Jayce,Teleport,Flash,3340,6692,3042,6694,2055,3158
1/1/0,1.0,200,7.8,8439,3381
YoungJae
Sejuani,Smite,Flash,3364,3111,6667,3083
1/3/2,1.0,112,4.3,7312,3853
Bulldog
Azir,Teleport,Flash,3363,3070,4645,2421,3020,6655,1082
0/2/1,0.5,227,8.8,9096,18596
Taeyoon
Varus,Heal,Flash,3363,3009,3042,3142,6692
1/2/0,0.5,212,8.2,8888,7197
Moham
Caitlyn,Barrier,Flash,3364,6609,3864,2055,3179,3134,3158
0/4/1,0.2,13,0.5,4839,2553
