HLE,13,8,2,2,1
Varus,Ashe,Sejuani,LeBlanc,Renekton
DRX,5,2,3,0,1
Elise,Maokai,Lucian,Akali,Kassadin
kingen
Jax,Teleport,Flash,3340,6632,2421,3161,3111,3108
1/1/5,6.0,254,7.8,12058k,11798
Clid
MonkeyKing,Smite,Flash,3364,2055,1036,3067,3156,6632,3111
3/1/5,8.0,165,5.1,11058k,9786
Zeka
Sylas,Teleport,Flash,3364,3089,4630,3157,1026,6657,3158
2/2/8,5.0,321,9.9,15454k,12489
Viper
Caitlyn,Heal,Flash,3363,6671,3072,3031,3006
5/1/5,10.0,297,9.1,14670k,12529
Life
Lux,Dot,Flash,3364,3853,6656,2055,2421,3108,3158
2/0/8,10.0,19,0.6,8724k,9588
Rascal
Gragas,Flash,Teleport,3364,3158,3165,3135,1058,1058,6657
2/1/0,2.0,300,9.2,12776k,17216
Croco
Vi,Smite,Flash,3364,2055,3067,1028,3105,3071,3111
0/4/2,0.5,161,4.9,8352k,4653
FATE
Viktor,Haste,Flash,3363,1058,6653,3165,3158,3135,2055
2/1/1,3.0,303,9.3,12651k,15317
deokdam
Ezreal,Flash,Heal,3363,6694,3158,6675,3508,6670
0/3/3,1.0,306,9.4,12162k,18891
BeryL
Karma,Dot,Flash,3364,3853,2065,3158,3114
1/4/2,0.8,22,0.7,6820k,6824
|
DRX,6,2,2,0,0
Lucian,Elise,Kassadin,Akali,Sylas
HLE,17,9,2,2,2
Maokai,Ashe,Caitlyn,Renekton,LeBlanc
kingen
Jax,Flash,Teleport,3340,1033,3161,3111,6632,3051,1037
1/1/5,6.0,254,7.8,12058k,11798
Clid
Sejuani,Smite,Flash,3364,1028,3083,3105,6660,2055,3047
3/1/5,8.0,165,5.1,11058k,9786
Zeka
Viktor,Teleport,Flash,3363,2033,2055,6655,3020,4630,4645
2/2/8,5.0,321,9.9,15454k,12489
Viper
Ezreal,Flash,Teleport,3363,6694,6670,3042,3158,3508,2055
5/1/5,10.0,297,9.1,14670k,12529
Life
Karma,Heal,Flash,3364,3853,2065,1004,3158,3916
2/0/8,10.0,19,0.6,8724k,9588
Rascal
Gnar,Teleport,Flash,3364,3078,2421,1038,3091,3071,3047
2/1/0,2.0,300,9.2,12776k,17216
Croco
Vi,Smite,Flash,3364,3082,2421,3071,3001,3111
0/4/2,0.5,161,4.9,8352k,4653
FATE
Azir,Teleport,Flash,3364,6655,3089,3020,1052,4645
2/1/1,3.0,303,9.3,12651k,15317
deokdam
Zeri,Haste,Flash,3363,2055,6673,3072,6675,3006
0/3/3,1.0,306,9.4,12162k,18891
BeryL
Lulu,Heal,Flash,3364,3860,3222,2420,2055,2065,3158
1/4/2,0.8,22,0.7,6820k,6824
|
