T1,15,11,3,1,2
Maokai,Annie,Karma,Akali,Jax
LSB,10,1,1,0,0
Ashe,Elise,Caitlyn,Jayce,Viktor
Zeus
Gnar,Teleport,Flash,3364,3078,3091,3044,3071,3111
2/1/6,8.0,288,9.4,13946k,13132
Oner
MonkeyKing,Smite,Flash,3364,2421,6632,3156,1031,3111
5/4/3,2.0,164,5.3,11435k,6819
Faker
Gragas,Teleport,Flash,3364,2055,6657,3157,3040,1056,3158
3/2/5,4.0,255,8.3,11660k,20950
Gumayusi
Lucian,Dot,Flash,3363,3094,6671,3026,3031,2422
3/2/7,5.0,312,10.2,14150k,20452
Keria
Nami,Heal,Flash,3364,4005,3853,2055,3158,3916,3145
2/1/11,13.0,7,0.2,8036k,6537
Burdol
Azir,Exhaust,Teleport,3363,2055,1052,3145,3135,4644,3020
0/4/1,0.2,230,7.5,9138k,10379
Willer
Vi,Flash,Smite,3364,2055,6609,6667,3047,2421
3/3/5,2.7,167,5.4,9473k,7949
Clozer
Sylas,Teleport,Flash,3364,6657,3157,2055,3158,1058,3135
2/3/4,2.0,286,9.3,12048k,15197
Envyy
Zeri,Flash,Barrier,3363,6673,3031,3046,3006
4/3/2,2.0,314,10.2,13171k,16001
Kael
Lulu,Heal,Flash,3364,3916,3853,2055,2065,1004,3158
1/2/8,4.5,10,0.3,6842k,4550
|
LSB,12,1,0,0,0
Jayce,Annie,Varus,Nidalee,LeBlanc
T1,24,10,4,1,2
Maokai,Lucian,Elise,Jax,Akali
Zeus
Gnar,Teleport,Flash,3364,3067,6609,3078,3047
2/1/6,8.0,288,9.4,13946k,13132
Oner
Sejuani,Flash,Smite,3364,2055,6660,6667,3076,2421,3047
5/4/3,2.0,164,5.3,11435k,6819
Faker
Sylas,Teleport,Flash,3363,6656,3157,1052,1056,3158
3/2/5,4.0,255,8.3,11660k,20950
Gumayusi
Ezreal,Flash,Heal,3363,3508,2421,3035,3042,3158,6691
3/2/7,5.0,312,10.2,14150k,20452
Keria
Ashe,Barrier,Flash,3364,4642,2055,3864,3158,3179,3067
2/1/11,13.0,7,0.2,8036k,6537
Burdol
Yasuo,Teleport,Flash,3364,2421,3072,3031,6673,1031,3006
0/4/1,0.2,230,7.5,9138k,10379
Willer
LeeSin,Smite,Flash,3340,2055,6630,2421,3071,1031,3111
3/3/5,2.7,167,5.4,9473k,7949
Clozer
Gragas,Teleport,Flash,3364,3158,2421,1058,3040,6657
2/3/4,2.0,286,9.3,12048k,15197
Envyy
Jhin,Heal,Flash,3363,6693,3142,1036,3042,3009
4/3/2,2.0,314,10.2,13171k,16001
Kael
Caitlyn,Barrier,Flash,3364,3142,3864,3179,3009
1/2/8,4.5,10,0.3,6842k,4550
|
