HLE,DEFEAT,10,3,2,0,1
MonkeyKing,Elise,Sylas,Renekton,Fiora
GEN,VICTORY,20,10,3,2,1
Caitlyn,Lucian,Yuumi,Akali,Kassadin
kingen
Gnar,Teleport,Flash,3364,3078,2421,1057,3742,3047,3071
1/4/4,1.2,318,8.7,14438,15001
Clid
Sejuani,Smite,Flash,3364,6667,2055,1011,8020,3076,3047
1/5/7,1.6,180,4.9,11041,9036
Zeka
Viktor,Teleport,Flash,3363,1058,3020,2055,6657,3040,3135
1/4/5,1.5,330,9,12879,29814
Viper
Varus,Boost,Flash,3363,3123,3142,6694,6692,3042,3158
6/2/2,4.0,371,10.1,17011,37872
Life
Ashe,Haste,Flash,3364,3864,2055,4005,6609,3158
1/5/6,1.4,25,0.7,7768,9516
Doran
KSante,Teleport,Haste,3364,6665,3193,4401,3067,3742,3111
7/2/4,5.5,304,8.3,16575,17991
Peanut
Maokai,Flash,Smite,3364,6667,3111,4637,1058,1058
3/2/12,7.5,198,5.4,12928,20975
Chovy
Irelia,Teleport,Flash,3363,3153,3026,1033,6632,3110,3111
3/4/8,2.8,370,10.1,16319,24808
Peyz
Jhin,Boost,Flash,3363,3142,2055,3047,6694,3042,6692
4/1/12,16.0,349,9.5,16168,27860
Delight
Heimerdinger,Heal,Flash,3364,3116,3165,3853,2055,3158,4630
3/1/11,14.0,60,1.6,10452,10181
|
GEN,DEFEAT,11,5,3,0,1
Caitlyn,Heimerdinger,Yuumi,Akali,Ahri
HLE,VICTORY,17,10,2,2,1
Elise,Maokai,Ryze,Renekton,Kassadin
kingen
Fiora,Teleport,Flash,3364,6632,3074,1037,3181,1031,3158
1/4/4,1.2,318,8.7,14438,15001
Clid
MonkeyKing,Flash,Smite,3364,2420,6632,3111,1031,3071
1/5/7,1.6,180,4.9,11041,9036
Zeka
Azir,Teleport,Flash,3363,6653,3157,3135,1058,3089,3158
1/4/5,1.5,330,9,12879,29814
Viper
Lucian,Dot,Flash,3363,6671,2422,1038,3094,3036,3031
6/2/2,4.0,371,10.1,17011,37872
Life
Nami,Heal,Flash,3364,4005,3011,3853,2055,3158,1033
1/5/6,1.4,25,0.7,7768,9516
Doran
KSante,Teleport,Haste,3364,6662,3193,2055,1057,3047,3075
7/2/4,5.5,304,8.3,16575,17991
Peanut
Vi,Smite,Flash,3364,6667,2055,3110,1057,6609,3047
3/2/12,7.5,198,5.4,12928,20975
Chovy
Taliyah,Teleport,Flash,3363,3040,4630,3157,4644,3158,3089
3/4/8,2.8,370,10.1,16319,24808
Peyz
Zeri,Barrier,Flash,3363,3086,3085,3031,6673,3072,3047
4/1/12,16.0,349,9.5,16168,27860
Delight
Lulu,Heal,Flash,3364,3853,2065,2420,4643,3158,3011
3/1/11,14.0,60,1.6,10452,10181
|
GEN,VICTORY,13,9,3,2,1
Zeri,Vi,Caitlyn,Akali,Taliyah
HLE,DEFEAT,3,3,2,0,0
Maokai,Elise,Yuumi,Ryze,Sylas
kingen
Gnar,Teleport,Flash,3364,3742,2421,3111,3078,1057,1028
1/4/4,1.2,318,8.7,14438,15001
Clid
MonkeyKing,Flash,Smite,3364,3156,6632,3111,3071
1/5/7,1.6,180,4.9,11041,9036
Zeka
Azir,Teleport,Flash,3363,6653,4645,3102,3089,1082,3020
1/4/5,1.5,330,9,12879,29814
Viper
Lucian,Boost,Flash,3363,6671,2055,2422,3094,3036,6675
6/2/2,4.0,371,10.1,17011,37872
Life
Nami,Heal,Flash,3364,4005,3222,3853,2055,3158,1052
1/5/6,1.4,25,0.7,7768,9516
Doran
KSante,Teleport,Haste,3364,3068,3105,1033,3047,6662,1057
7/2/4,5.5,304,8.3,16575,17991
Peanut
Sejuani,Smite,Flash,3364,6667,2055,3066,3076,1057,3047
3/2/12,7.5,198,5.4,12928,20975
Chovy
Kassadin,Teleport,Flash,3363,3040,3157,6657,1052,3158
3/4/8,2.8,370,10.1,16319,24808
Peyz
Varus,Barrier,Flash,3363,2055,1038,6673,3124,3091,3047
4/1/12,16.0,349,9.5,16168,27860
Delight
Ashe,Heal,Flash,3364,3864,2055,3158,4005,3179
3/1/11,14.0,60,1.6,10452,10181
