KT,15,7,4,1,0
Milio,Varus,Tristana,Vi,Ashe
KDF,7,5,1,0,2
Viego,Gragas,Ivern,Xayah,Draven
Kiin
Renekton,Teleport,Flash,3364,1038,6630,2421,3053,3071,3111
4/3/9,4.3,315,8.8,15307k,22753
Cuzz
Sejuani,Smite,Flash,3364,6667,3111,6660,3023,8020
4/1/8,12.0,202,5.6,11669k,7841
Bdd
Neeko,Flash,Teleport,3364,3089,3157,3152,3020
1/1/9,10.0,281,7.8,11992k,18478
Aiming
Aphelios,Boost,Flash,3363,6671,3026,3086,6672,3006,3036
6/1/6,12.0,365,10.1,18072k,28982
Lehends
Alistar,Exhaust,Flash,3364,3111,3190,3860,2055,1057,3066
0/1/11,11.0,35,1,8033k,2747
DuDu
KSante,Teleport,Flash,3364,2421,6662,3047,3193,3075,1057
1/3/5,2.0,295,8.2,13125k,14033
YoungJae
Poppy,Flash,Smite,3364,3068,3001,3111,3076,8020,2055
2/2/4,3.0,204,5.7,11377k,13115
Bulldog
LeBlanc,Teleport,Flash,3364,3111,3089,1026,4636,3100,3087
1/2/2,1.5,394,10.9,15950k,26530
Taeyoon
Kaisa,Flash,Boost,3363,2420,1058,3124,3115,3087,3006
1/3/4,1.7,329,9.1,13717k,25058
Jun
Rell,Dot,Flash,3364,3001,2055,3860,3109,1029,3111
2/5/3,1.0,30,0.8,7865k,5560
|
KT,16,10,4,1,1
Milio,Varus,Tristana,Rakan,Jax
KDF,1,1,0,0,1
Viego,Renekton,Ivern,Alistar,Gragas
Kiin
KSante,Teleport,Flash,3364,1011,3105,3068,6662,3111
4/3/9,4.3,315,8.8,15307k,22753
Cuzz
Vi,Smite,Flash,3364,3071,6667,1028,3111,3076
4/1/8,12.0,202,5.6,11669k,7841
Bdd
Neeko,Flash,Teleport,3364,4645,2421,3152,1058,3111
1/1/9,10.0,281,7.8,11992k,18478
Aiming
Kaisa,Boost,Flash,3363,3124,2421,3115,3006,1058,3087
6/1/6,12.0,365,10.1,18072k,28982
Lehends
Nautilus,Dot,Flash,3364,3111,3001,3860,3067,1028
0/1/11,11.0,35,1,8033k,2747
DuDu
Poppy,Teleport,Flash,3364,1054,3068,3047,6665
1/3/5,2.0,295,8.2,13125k,14033
YoungJae
Sejuani,Flash,Smite,3364,3047,3068,3001,2055
2/2/4,3.0,204,5.7,11377k,13115
Bulldog
LeBlanc,Teleport,Flash,3364,4636,1026,4630,3087,3020
1/2/2,1.5,394,10.9,15950k,26530
Taeyoon
Xayah,Flash,Haste,3363,1055,1036,1036,6675,6672,3006
1/3/4,1.7,329,9.1,13717k,25058
Jun
Rell,Dot,Flash,3364,3001,2055,3860,3047
2/5/3,1.0,30,0.8,7865k,5560
|
