DRX,DEFEAT,14,7,4,1,0
Yone,Rell,Vi,Sejuani,Maokai
HLE,VICTORY,20,6,2,2,0
Poppy,Jax,Tristana,Rakan,Alistar
Rascal
KSante,Flash,Teleport,3364,3193,3082,6665,3075,3111,1011
4/3/5,3.0,260,6.3,14089,15924
Croco
Nocturne,Smite,Flash,3364,6631,1036,3155,3026,3071,3047
2/5/7,1.8,276,6.7,14078,12207
FATE
Leblanc,Teleport,Flash,3364,3089,4636,3087,3111,3100,3135
2/2/6,4.0,403,9.8,18231,36303
Paduck
Kaisa,Flash,Heal,3363,3135,2421,3124,3020,3087,3115
5/5/4,1.8,326,7.9,16373,24294
BeryL
Leona,Dot,Flash,3364,3860,8001,4638,3047,3001
1/5/10,2.2,55,1.3,10324,6139
kingen
Renekton,Teleport,Flash,3364,2055,6630,3071,3026,3111,1057
3/2/8,5.5,310,7.5,14682,18100
Grizzly
Viego,Smite,Flash,3364,3026,3111,3155,3071,3078
4/3/13,5.7,236,5.7,15706,16072
Zeka
Azir,Teleport,Flash,3363,4644,3157,3111,3115,3089
6/1/9,15.0,375,9.1,17931,29685
Viper
Aphelios,Boost,Flash,3363,6671,3026,6672,3156,3035,3006
5/4/11,4.0,373,9.1,17901,26397
Life
Nautilus,Dot,Flash,3364,3860,8020,3001,3111
2/4/14,4.0,38,0.9,9965,5873
|
DRX,DEFEAT,4,0,0,0,0
Yone,Rell,Vi,Xayah,Varus
HLE,VICTORY,19,11,3,1,2
Poppy,Jax,Leblanc,Jayce,Nocturne
Rascal
KSante,Flash,Teleport,3364,6662,3075,3047,1033
4/3/5,3.0,260,6.3,14089,15924
Croco
Nautilus,Smite,Flash,3364,2055,1103,1028,3076,6667,3158
2/5/7,1.8,276,6.7,14078,12207
FATE
Azir,Teleport,Flash,3363,3115,1001,6653
2/2/6,4.0,403,9.8,18231,36303
Paduck
Kaisa,Flash,Boost,3363,3006,6675,6672,1055
5/5/4,1.8,326,7.9,16373,24294
BeryL
Alistar,Dot,Flash,3364,3860,3001,2055,3158
1/5/10,2.2,55,1.3,10324,6139
kingen
Renekton,Teleport,Flash,3364,2421,6630,1057,1031,3071,3111
3/2/8,5.5,310,7.5,14682,18100
Grizzly
Sejuani,Smite,Flash,3364,2421,1028,2055,6667,3111,3068
4/3/13,5.7,236,5.7,15706,16072
Zeka
Tristana,Teleport,Flash,3363,6675,3087,3111,3072
6/1/9,15.0,375,9.1,17931,29685
Viper
Ezreal,Heal,Flash,3363,3802,3508,1026,3042,3158
5/4/11,4.0,373,9.1,17901,26397
Life
Maokai,Dot,Flash,3364,3860,2055,2421,6667,3047,1028
2/4/14,4.0,38,0.9,9965,5873
