LSB,1,3,2,0,0
Annie,Sejuani,Poppy,Draven,Jinx
HLE,11,9,2,2,2
LeBlanc,Neeko,Kaisa,Alistar,Braum
Clear
KSante,Teleport,Flash,3364,2055,3047,1057,3066,3075,6665
0/2/0,0.0,254,8.7,9976k,7948
Willer
Ivern,Flash,Smite,3364,2065,3158,3222,1028,2424
0/2/0,0.0,140,4.8,7777k,1708
Clozer
Tristana,Teleport,Flash,3363,3072,6675,1018,3111,2055,3087
1/2/0,0.5,331,11.4,12445k,12507
Teddy
Aphelios,Flash,Boost,3363,3006,6671,2421,6672,3035
0/3/1,0.3,296,10.2,10755k,6695
Kael
Nautilus,Exhaust,Flash,3364,3860,2055,3001,3111
0/2/1,0.5,30,1,5948k,1762
kingen
Renekton,Teleport,Flash,3364,3026,6630,2055,3047,3071
2/0/4,6.0,303,10.4,13674k,10164
Grizzly
Maokai,Smite,Flash,3364,6667,2421,2055,3047,3075,4637
4/0/4,8.0,212,7.3,12301k,4378
Zeka
Azir,Teleport,Flash,3363,3115,2055,2420,6653,3020,4645
3/0/2,5.0,335,11.5,14092k,14154
Viper
Samira,Boost,Flash,3363,3035,2420,1018,6691,6676,3047
2/0/6,8.0,275,9.5,12744k,6202
Life
Rell,Dot,Flash,3364,3860,2421,3158,3001,3191
0/1/9,9.0,35,1.2,7755k,3651
|
LSB,10,4,2,1,2
Annie,Sejuani,Tristana,Poppy,Rakan
HLE,20,8,3,0,0
LeBlanc,Neeko,Kaisa,Ashe,Varus
Clear
Renekton,Teleport,Flash,3364,3111,6630,3026,3082,3071,3156
0/2/0,0.0,254,8.7,9976k,7948
Willer
LeeSin,Flash,Smite,3340,2421,3071,3111,1031,6630,2055
0/2/0,0.0,140,4.8,7777k,1708
Clozer
Akali,Teleport,Flash,3364,3152,1058,4645,1058,3111
1/2/0,0.5,331,11.4,12445k,12507
Teddy
Ezreal,Flash,Heal,3363,3158,3133,3042,1053,3078,6694
0/3/1,0.3,296,10.2,10755k,6695
Kael
Rell,Dot,Flash,3364,3801,2055,3860,3111,3001,3023
0/2/1,0.5,30,1,5948k,1762
kingen
KSante,Teleport,Flash,3363,1011,3193,6662,3047,3082,3075
2/0/4,6.0,303,10.4,13674k,10164
Grizzly
Maokai,Smite,Flash,3364,6667,4637,3075,3047
4/0/4,8.0,212,7.3,12301k,4378
Zeka
Azir,Teleport,Flash,3363,4645,4644,3158,3115,1058
3/0/2,5.0,335,11.5,14092k,14154
Viper
Xayah,Boost,Flash,3363,6671,6672,3156,3036,3006
2/0/6,8.0,275,9.5,12744k,6202
Life
Nautilus,Dot,Flash,3364,3860,2055,3076,1011,3001,3117
0/1/9,9.0,35,1.2,7755k,3651
|
