BRO,VICTORY,11,9,3,1,1
KSante,Rakan,Vi,Annie,Malphite
NS,DEFEAT,0,2,1,0,1
Maokai,Lucian,Neeko,Viego,Volibear
Morgan
Gragas,Teleport,Flash,3364,3157,6656,2055,1058,3165,3047
2/0/4,6.0,322,10,13746,15398
UmTi
LeeSin,Smite,Flash,3340,6630,2421,1038,3071,3047
1/0/9,10.0,211,6.6,11728,6460
Karis
Syndra,Flash,Teleport,3364,1058,6653,3135,3158,1052,1058
3/0/6,9.0,264,8.2,12224,14606
Hena
Aphelios,Haste,Flash,3363,3033,3095,6671,3006,3094
4/0/5,9.0,341,10.6,16107,27653
Effort
Milio,Flash,Exhaust,3364,3853,2065,3504,3114,3158
1/0/9,10.0,14,0.4,8516,1677
DnDn
Aatrox,Teleport,Flash,3363,6630,2055,3053,1011,3082,3111
0/4/0,0.0,288,9,11291,10017
Sylvie
MonkeyKing,Smite,Flash,3364,6632,3111,2055,3071
0/2/0,0.0,175,5.5,9110,4167
Quad
Cassiopeia,Teleport,Flash,3363,2033,3040,3116,6665,1029,2055
0/1/0,0.0,292,9.1,10748,5837
Vital
Zeri,Boost,Flash,3363,1038,3085,3006,3078,3748
0/2/0,0.0,352,11,13365,14176
Peter
Yuumi,Heal,Exhaust,3364,3853,2003,4005,3504,2055
0/2/0,0.0,5,0.2,6088,7137
|
NS,VICTORY,9,7,4,0,1
Zeri,Maokai,Lucian,Gwen,Gnar
BRO,DEFEAT,2,5,1,1,1
KSante,Neeko,Vi,MonkeyKing,Malphite
Morgan
Sion,Teleport,Haste,3363,3068,6665,3075,3009,1028
2/0/4,6.0,322,10,13746,15398
UmTi
Khazix,Smite,Flash,3364,3179,3142,3814,3035,3111
1/0/9,10.0,211,6.6,11728,6460
Karis
Annie,Teleport,Flash,3363,4645,3152,2424,3111,1058,1058
3/0/6,9.0,264,8.2,12224,14606
Hena
Jinx,Haste,Flash,3363,3095,6671,2421,3006,3072,3036
4/0/5,9.0,341,10.6,16107,27653
Effort
Milio,Flash,Heal,3364,3853,2065,3114,3158,1052
1/0/9,10.0,14,0.4,8516,1677
DnDn
Gragas,Teleport,Flash,3364,1029,8001,2055,6662,3068,3047
0/4/0,0.0,288,9,11291,10017
Sylvie
Viego,Smite,Flash,3364,2420,2055,3067,3071,6632,3047
0/2/0,0.0,175,5.5,9110,4167
Quad
Syndra,Flash,Teleport,3364,4644,2421,3089,3158,3135,3108
0/1/0,0.0,292,9.1,10748,5837
Vital
Aphelios,Boost,Flash,3363,3036,3095,6671,3006,3094,2420
0/2/0,0.0,352,11,13365,14176
Peter
Yuumi,Heal,Exhaust,3364,3853,6620,3222,2055,3114,1052
0/2/0,0.0,5,0.2,6088,7137
|
BRO,DEFEAT,5,1,0,0,1
KSante,Annie,Vi,Khazix,Malphite
NS,VICTORY,15,10,4,2,1
Maokai,Lucian,Neeko,LeeSin,Volibear
Morgan
Gragas,Teleport,Flash,3364,2055,6656,2421,4629,3108,3158
2/0/4,6.0,322,10,13746,15398
UmTi
MonkeyKing,Smite,Flash,3364,2420,3071,3047,6632
1/0/9,10.0,211,6.6,11728,6460
Karis
Azir,Flash,Teleport,3363,4630,3165,6653,3020,2055
3/0/6,9.0,264,8.2,12224,14606
Hena
Aphelios,Haste,Flash,3363,3033,3095,6671,3006,1036,2055
4/0/5,9.0,341,10.6,16107,27653
Effort
Milio,Flash,Exhaust,3364,3853,2065,2055,1004,3113,3158
1/0/9,10.0,14,0.4,8516,1677
DnDn
Gnar,Teleport,Flash,3363,3026,1043,2055,3111,3181,3078
0/4/0,0.0,288,9,11291,10017
Sylvie
Viego,Smite,Flash,3364,6632,2055,2421,1033,3047,3071
0/2/0,0.0,175,5.5,9110,4167
Quad
Cassiopeia,Teleport,Flash,3364,6657,3157,3040,1028
0/1/0,0.0,292,9.1,10748,5837
Vital
Zeri,Boost,Flash,3363,3748,3085,2421,3006,3053,3078
0/2/0,0.0,352,11,13365,14176
Peter
Yuumi,Heal,Exhaust,3364,3853,4005,6620,3114,3113
0/2/0,0.0,5,0.2,6088,7137
