LSB,6,2,2,0,1
Annie,Milio,Tristana,Vi,Rell
GEN,23,10,3,2,1
Neeko,Sejuani,LeBlanc,Aphelios,Xayah
Burdol
Renekton,Teleport,Flash,3364,3211,2055,6631,3053,3047
0/5/2,0.4,243,7.8,9808k,8599
Willer
Viego,Flash,Smite,3364,3078,3111,3071,1036,2055
3/3/2,1.7,176,5.7,10053k,7457
Clozer
Azir,Teleport,Flash,3363,2420,1058,1058,6653,3115,3111
2/3/1,1.0,319,10.3,12656k,21628
Teddy
Ashe,Flash,Heal,3363,3006,3124,3051,6672,3086,2055
1/7/2,0.4,270,8.7,10974k,12062
Kael
Braum,Dot,Flash,3364,1028,2055,3857,3190,3023,3111
0/5/6,1.2,35,1.1,6732k,4448
Doran
Quinn,Boost,Flash,3363,3006,6671,3026,3036,3087
5/1/9,14.0,318,10.3,15790k,25325
Peanut
Poppy,Flash,Smite,3364,3111,3110,3001,3742
2/1/11,13.0,170,5.5,11047k,6819
Chovy
Ahri,Teleport,Flash,3364,6656,3157,3111,3135,1058
2/0/14,16.0,287,9.3,13880k,18596
Peyz
Kaisa,Boost,Flash,3363,2421,3020,1058,3087,3115,3124
12/2/5,8.5,304,9.8,17374k,24076
Delight
Rakan,Dot,Flash,3364,2065,3111,3860,3916,3067
2/2/15,8.5,46,1.5,8682k,5746
|
LSB,5,1,0,0,1
Annie,Milio,Tristana,Quinn,Rell
GEN,15,10,3,1,1
Neeko,Sejuani,LeBlanc,Xayah,Aphelios
Burdol
Renekton,Teleport,Flash,3364,1054,6630,1028,3044,3047
0/5/2,0.4,243,7.8,9808k,8599
Willer
Poppy,Flash,Smite,3364,3068,3111,3001
3/3/2,1.7,176,5.7,10053k,7457
Clozer
Azir,Teleport,Flash,3363,2055,3115,1001,4644,1058,1058
2/3/1,1.0,319,10.3,12656k,21628
Teddy
Ezreal,Flash,Heal,3363,2422,1055,3042,3155,3078
1/7/2,0.4,270,8.7,10974k,12062
Kael
Alistar,Dot,Flash,3364,2031,2055,3860,3023,3047,1033
0/5/6,1.2,35,1.1,6732k,4448
Doran
Gangplank,Teleport,Flash,3364,6675,3508,3158,6676,1018
5/1/9,14.0,318,10.3,15790k,25325
Peanut
Vi,Flash,Smite,3364,2421,6632,3111,3071
2/1/11,13.0,170,5.5,11047k,6819
Chovy
Ahri,Teleport,Flash,3364,6656,2421,4628,1058,3111,1082
2/0/14,16.0,287,9.3,13880k,18596
Peyz
Kaisa,Boost,Flash,3363,1055,3020,1058,3087,3115,3124
12/2/5,8.5,304,9.8,17374k,24076
Delight
Nautilus,Dot,Flash,3364,3001,2421,3860,2055,3047,3067
2/2/15,8.5,46,1.5,8682k,5746
|
