KDF,8,7,4,0,1
Lucian,Vi,Blitzcrank,Wukong,Gwen
BRO,2,1,0,0,1
Neeko,KSante,Maokai,Jax,Gnar
DuDu
Poppy,Teleport,Flash,3364,1033,3068,3111,6665,3076,1011
1/0/4,5.0,270,8.6,11079k,26493
YoungJae
Sejuani,Flash,Smite,3364,6667,3111,3068,1028
0/0/5,5.0,191,6.1,9550k,7711
Bulldog
Jayce,Teleport,Flash,3363,3142,2420,3134,3042,6694,3111
1/1/5,6.0,301,9.6,13430k,14610
Taeyoon
Aphelios,Flash,Haste,3363,6671,1018,3033,3095,3006
5/0/2,7.0,305,9.7,14288k,16381
Jun
Milio,Exhaust,Flash,3364,2065,3860,3114,3113,3158
1/1/6,7.0,35,1.1,7506k,836
Morgan
Gragas,Teleport,Flash,3364,2421,6657,3076,3110,1011,3047
1/2/0,0.5,252,8,10476k,21753
UmTi
Viego,Smite,Flash,3364,3071,2055,6632,3111
1/3/1,0.7,161,5.1,9270k,5202
Karis
Annie,Flash,Teleport,3364,6653,2423,3116,3020,2055,1026
0/1/2,2.0,236,7.5,9832k,11351
Hena
Zeri,Boost,Flash,3363,3078,3006,1036,3085,3748,1036
0/1/0,0.0,330,10.5,12405k,10866
Effort
Yuumi,Heal,Exhaust,3364,3860,4005,2055,6620
0/1/2,2.0,28,0.9,6082k,3074
|
BRO,5,0,0,1,1
KSante,Annie,Maokai,Wukong,Gwen
KDF,11,10,5,0,1
Milio,Lucian,Neeko,Lissandra,Gragas
DuDu
Poppy,Teleport,Flash,3364,2420,1028,3076,6665,3068,3047
1/0/4,5.0,270,8.6,11079k,26493
YoungJae
Vi,Smite,Flash,3364,6667,3111,2055,3071,1028
0/0/5,5.0,191,6.1,9550k,7711
Bulldog
Azir,Flash,Teleport,3364,4644,3135,4645,3020,2055
1/1/5,6.0,301,9.6,13430k,14610
Taeyoon
Aphelios,Boost,Flash,3363,3036,3095,6671,3006
5/0/2,7.0,305,9.7,14288k,16381
Jun
Yuumi,Heal,Exhaust,3364,3860,6620,3222,2055,1004
1/1/6,7.0,35,1.1,7506k,836
Morgan
Sion,Teleport,Flash,3364,3193,3068,3047,3076,6665
1/2/0,0.5,252,8,10476k,21753
UmTi
Volibear,Flash,Smite,3364,4401,6662,3158
1/3/1,0.7,161,5.1,9270k,5202
Karis
Ahri,Teleport,Flash,3364,6656,2421,3191,3089,3102,3158
0/1/2,2.0,236,7.5,9832k,11351
Hena
Zeri,Flash,Haste,3363,2421,1038,3748,3085,3078,3006
0/1/0,0.0,330,10.5,12405k,10866
Effort
Nautilus,Dot,Flash,3364,2055,3001,3860,3109,3047
0/1/2,2.0,28,0.9,6082k,3074
|
