T1,16,11,4,2,2
KSante,Kassadin,Yuumi,Samira,Akali
NS,8,3,0,0,0
Caitlyn,Varus,Lucian,Azir,Ryze
Zeus
Renekton,Teleport,Flash,3364,2420,6630,4401,2055,6333,3047
5/2/3,4.0,251,8.2,13883k,12196
Oner
Sejuani,Smite,Flash,3364,6667,4401,3067,1011,3111
0/1/9,9.0,156,5.1,11196k,6729
Faker
Viktor,Haste,Flash,3363,3089,4644,3100,3158,1052
5/1/3,8.0,292,9.5,13716k,26890
Gumayusi
Zeri,Haste,Flash,3363,6675,6673,1053,3006,3085,1038
5/3/4,3.0,344,11.2,15604k,13309
Keria
Ashe,Heal,Flash,3364,4005,3864,6609,3158
1/1/12,13.0,30,1,9305k,11558
DnDn
Jayce,Teleport,Flash,3363,3042,3158,2055,3035,3134,6692
1/4/2,0.8,292,9.5,11348k,13805
Sylvie
Elise,Smite,Flash,3364,2055,3152,2420,1052,3020,3108
1/7/5,0.9,118,3.9,8508k,9842
FIESTA
Sylas,Teleport,Flash,3364,3157,2055,1058,3135,6657,3111
1/2/3,2.0,285,9.3,13123k,12467
Vital
Aphelios,Haste,Flash,3363,3036,6671,2055,3006,6676,1018
4/1/0,4.0,285,9.3,12393k,13161
Peter
Nautilus,Flash,Dot,3364,3860,2421,3001,3111,2055
1/3/4,1.7,35,1.1,6660k,3653
|
NS,21,7,2,0,1
Ashe,Caitlyn,Kassadin,Draven,Kalista
T1,8,3,2,0,1
Lucian,Yuumi,Heimerdinger,Akali,Sylas
Zeus
KSante,Teleport,Haste,3364,3047,6662,3076,4401,1028,3068
5/2/3,4.0,251,8.2,13883k,12196
Oner
Maokai,Smite,Flash,3364,4637,6667,3111,1028,1057
0/1/9,9.0,156,5.1,11196k,6729
Faker
LeBlanc,Teleport,Flash,3364,3102,1082,4630,3020,6655,1026
5/1/3,8.0,292,9.5,13716k,26890
Gumayusi
Varus,Heal,Flash,3363,3042,6692,3142,3035,1036,3009
5/3/4,3.0,344,11.2,15604k,13309
Keria
Karma,Flash,Dot,3364,3853,2065,3114,3158,1057
1/1/12,13.0,30,1,9305k,11558
DnDn
Jayce,Teleport,Flash,3363,6692,3042,6694,2055,3133,3158
1/4/2,0.8,292,9.5,11348k,13805
Sylvie
Sejuani,Smite,Flash,3364,2055,6667,3083,1028,1033,3111
1/7/5,0.9,118,3.9,8508k,9842
FIESTA
Azir,Teleport,Flash,3363,2055,3135,3157,6653,1082,3111
1/2/3,2.0,285,9.3,13123k,12467
Vital
Ezreal,Heal,Flash,3363,3508,3158,2055,3042,1053,6694
4/1/0,4.0,285,9.3,12393k,13161
Peter
Twitch,Dot,Flash,3364,3115,3864,3158,1028,3802
1/3/4,1.7,35,1.1,6660k,3653
|
T1,13,10,4,1,0
Maokai,Kassadin,KSante,Jax,Akali
NS,4,2,0,0,1
Caitlyn,Varus,Elise,Ryze,Gnar
Zeus
Jayce,Teleport,Flash,3363,6692,3042,6694,3158
5/2/3,4.0,251,8.2,13883k,12196
Oner
Vi,Smite,Flash,3364,2421,6667,6609,1029,3111
0/1/9,9.0,156,5.1,11196k,6729
Faker
Azir,Teleport,Flash,3340,3089,3020,2421,3916,6653,1026
5/1/3,8.0,292,9.5,13716k,26890
Gumayusi
Lucian,Dot,Flash,3363,3094,3031,6671,3158,3036
5/3/4,3.0,344,11.2,15604k,13309
Keria
Nami,Heal,Flash,3364,4005,3853,3158,3011
1/1/12,13.0,30,1,9305k,11558
DnDn
Sion,Teleport,Flash,3364,3068,6667,1028,3047
1/4/2,0.8,292,9.5,11348k,13805
Sylvie
MonkeyKing,Smite,Flash,3364,6632,3071,2055,3047
1/7/5,0.9,118,3.9,8508k,9842
FIESTA
Sylas,Teleport,Flash,3363,3157,2055,3020,3145,6657,1058
1/2/3,2.0,285,9.3,13123k,12467
Vital
Zeri,Barrier,Flash,3363,3031,3006,6673,3085
4/1/0,4.0,285,9.3,12393k,13161
Peter
Yuumi,Heal,Exhaust,3364,3853,6617,3011,2055
1/3/4,1.7,35,1.1,6660k,3653
|
