HLE,DEFEAT,1,2,1,0,2
MonkeyKing,Yuumi,Caitlyn,KSante,Irelia
KT,VICTORY,11,11,3,1,0
Lucian,Ashe,Maokai,Elise,Sylas
kingen
Gnar,Teleport,Flash,3364,1054,6662,1042,3047,1036,3071
0/5/0,0.0,222,7.2,9219,8797
Clid
Kindred,Smite,Flash,3364,2055,1042,1042,6672,3071,3111
0/2/1,0.5,183,5.9,9316,8025
Zeka
Ryze,Teleport,Flash,3363,6657,2055,3157,1052,3111,3040
0/0/0,0.0,354,11.4,12709,11413
Viper
Varus,Boost,Flash,3363,2055,3142,6692,3042,3009
1/1/0,1.0,278,9,11218,19165
Life
Heimerdinger,Dot,Flash,3364,3853,3152,2055,3020,1028,1052
0/3/0,0.0,20,0.6,6683,9465
Kiin
Camille,Teleport,Flash,3364,3026,3133,3074,6632,3111
7/0/1,8.0,261,8.4,13939,17999
Cuzz
Sejuani,Smite,Flash,3364,6667,2055,3158,3075,1011,3067
1/0/7,8.0,209,6.7,11171,10513
Bdd
TwistedFate,Flash,Teleport,3364,3094,3100,2424,6657,1058,3111
0/0/5,5.0,280,9,13384,8447
Aiming
Ezreal,Teleport,Flash,3363,6694,3077,1053,3042,3158,3508
3/0/0,3.0,313,10.1,13774,20052
Lehends
Karma,Dot,Flash,3364,3158,2065,3860,3222
0/1/4,4.0,42,1.4,7285,5703
|
HLE,DEFEAT,1,2,0,0,1
Yuumi,Ryze,Karma,Renekton,Jax
KT,VICTORY,15,8,4,1,0
Lucian,Maokai,Ashe,Sylas,Kassadin
kingen
Fiora,Teleport,Haste,3364,6632,3133,1031,3111,3074
0/5/0,0.0,222,7.2,9219,8797
Clid
Sejuani,Smite,Flash,3364,6667,2055,1029,4401,3111
0/2/1,0.5,183,5.9,9316,8025
Zeka
Yone,Teleport,Flash,3363,1054,3031,1033,3006,1042,6673
0/0/0,0.0,354,11.4,12709,11413
Viper
Caitlyn,Boost,Flash,3363,6671,3094,3036,3006
1/1/0,1.0,278,9,11218,19165
Life
Lux,Dot,Flash,3364,3853,2055,2031,4644,3158,1028
0/3/0,0.0,20,0.6,6683,9465
Kiin
KSante,Haste,Teleport,3364,3105,6660,3075,6662,3047
7/0/1,8.0,261,8.4,13939,17999
Cuzz
Elise,Smite,Flash,3364,4636,4630,2421,1082,3020,1052
1/0/7,8.0,209,6.7,11171,10513
Bdd
Azir,Flash,Teleport,3363,1056,3157,6653,4637,3020
0/0/5,5.0,280,9,13384,8447
Aiming
Varus,Boost,Flash,3363,3042,3142,6694,6691,3158
3/0/0,3.0,313,10.1,13774,20052
Lehends
Leona,Dot,Flash,3364,3111,6667,3857,2421,2055
0/1/4,4.0,42,1.4,7285,5703
