GEN,11,8,3,1,1
Sejuani,Maokai,Vi,Poppy,LeeSin
DRX,0,1,0,0,1
LeBlanc,Neeko,Annie,Wukong,Nocturne
Doran
Renekton,Teleport,Flash,3364,1038,6630,2421,3071,3111
2/0/1,3.0,240,10.5,11357k,10637
Peanut
KhaZix,Flash,Smite,3364,6692,3179,3047
2/0/0,2.0,174,7.6,8766k,7007
Chovy
Azir,Teleport,Flash,3363,6655,2421,3020,1082,4645
3/0/5,8.0,224,9.8,9958k,18753
Peyz
Aphelios,Boost,Flash,3363,6671,1018,3006,6672
3/0/6,9.0,239,10.5,11317k,16176
Delight
Yuumi,Exhaust,Heal,3364,6620,3916,3860,3113,1004
1/0/9,10.0,22,1,6736k,7964
Rascal
Jax,Flash,Teleport,3340,2420,3067,3133,1001,6632
0/3/0,0.0,184,8,7428k,8094
Juhan
Viego,Smite,Flash,3364,2055,3047,6632,3067
0/1/0,0.0,130,5.7,6674k,3710
FATE
Ahri,Teleport,Flash,3364,2033,6656,3145,3158,1082,3916
0/1/0,0.0,192,8.4,7106k,7560
Paduck
Draven,Flash,Boost,3363,6676,2421,1001,3078
0/3/0,0.0,196,8.6,8121k,6249
BeryL
Milio,Exhaust,Flash,3364,3853,2065,2055,3158,1004
0/3/0,0.0,11,0.5,4788k,1974
|
DRX,2,2,1,0,2
Sejuani,Vi,Azir,Tristana,Renekton
GEN,15,11,3,1,0
Neeko,LeBlanc,LeeSin,Poppy,Gnar
Doran
Gragas,Flash,Teleport,3364,3068,3076,3158,1011,3105,2055
2/0/1,3.0,240,10.5,11357k,10637
Peanut
MonkeyKing,Smite,Flash,3364,2055,6632,3067,3111,3133,1036
2/0/0,2.0,174,7.6,8766k,7007
Chovy
Annie,Teleport,Flash,3364,3145,6653,1082,3158,3916,1026
3/0/5,8.0,224,9.8,9958k,18753
Peyz
Draven,Flash,Boost,3363,3078,2055,6676,3006,3036,1018
3/0/6,9.0,239,10.5,11317k,16176
Delight
Milio,Heal,Flash,3364,3853,2065,2055,3114,3158,3113
1/0/9,10.0,22,1,6736k,7964
Rascal
KSante,Teleport,Flash,3364,6662,3068,3105,3111,3076,1011
0/3/0,0.0,184,8,7428k,8094
Juhan
Maokai,Flash,Smite,3364,6667,3158,4637,1011
0/1/0,0.0,130,5.7,6674k,3710
FATE
Sylas,Teleport,Flash,3364,6656,3157,2055,4645,3111,1056
0/1/0,0.0,192,8.4,7106k,7560
Paduck
Aphelios,Boost,Flash,3363,6671,1018,3006,3035,6672
0/3/0,0.0,196,8.6,8121k,6249
BeryL
Yuumi,Exhaust,Heal,3364,6620,3916,3860,3113,1004
0/3/0,0.0,11,0.5,4788k,1974
|
